OBS	IDNUMBER	SALARY	LOGSAL	EDUC	SALBEGIN	LOGSALBEGIN	GENDER	MINORITY	JOBCAT
52	52	45150	10.71774556	15	15000	9.61580548	1	0	1
53	53	73750	11.20843627	18	26250	10.17542127	1	0	3
54	54	25050	10.12862911	12	13500	9.510444964	1	0	1
55	55	27000	10.20359214	12	15000	9.61580548	1	0	1
56	56	26850	10.1980211	15	13500	9.510444964	1	0	1
57	57	33900	10.43117029	15	15750	9.664595644	1	0	1
58	58	26400	10.18111929	15	13500	9.510444964	0	0	1
59	59	28050	10.24174391	15	14250	9.564512186	1	1	1
60	60	30900	10.33851146	12	15000	9.61580548	1	1	1
61	61	22500	10.02127059	8	9750	9.185022564	1	1	1
62	62	48000	10.77895629	16	21750	9.987369037	1	0	3
63	63	55000	10.91508846	17	26250	10.17542127	1	0	3
64	64	53125	10.88040291	16	21000	9.952277717	1	0	3
65	65	21900	9.994241916	8	14550	9.585346273	1	0	1
66	66	78125	11.26606539	19	30000	10.30895266	1	0	3
67	67	46000	10.73639668	16	21240	9.963641475	1	0	3
68	68	45250	10.71995795	16	21480	9.974877549	1	0	3
69	69	56550	10.94288048	16	25000	10.1266311	1	0	3
70	70	41100	10.6237634	15	20250	9.915910073	1	0	1
71	71	82500	11.32055357	17	34980	10.46253175	1	0	3
72	72	54000	10.89673933	16	18000	9.798127037	0	0	1
73	73	26400	10.18111929	12	10500	9.259130536	0	0	1
74	74	33900	10.43117029	15	19500	9.878169745	0	0	1
75	75	24150	10.09203966	15	11550	9.354440716	0	0	1
76	76	29250	10.28363485	15	11550	9.354440716	0	0	1
77	77	27600	10.22557105	12	11400	9.341368634	0	0	1
78	78	22950	10.04107322	12	10500	9.259130536	0	0	1
79	79	34800	10.45737267	16	14550	9.585346273	0	0	1
80	80	51000	10.83958091	16	18000	9.798127037	0	0	1
81	81	24300	10.09823163	12	10950	9.301094735	0	0	1
82	82	24750	10.11658077	12	14250	9.564512186	0	1	1
83	83	22950	10.04107322	12	11250	9.328123408	0	1	1
84	84	25050	10.12862911	8	10950	9.301094735	0	1	1
85	85	25950	10.16392689	15	17100	9.746833742	1	0	1
86	86	31650	10.36249343	15	15750	9.664595644	1	0	1
87	87	24150	10.09203966	12	14100	9.553930076	1	0	1
88	88	72500	11.19134184	19	28740	10.26604516	1	0	3
89	89	68750	11.13823202	19	27480	10.22121375	1	0	3
90	90	16200	9.692766521	8	9750	9.185022564	0	0	1
91	91	20100	9.908475094	12	11250	9.328123408	0	0	1
92	92	24000	10.08580911	8	10950	9.301094735	0	0	1
93	93	25950	10.16392689	12	10950	9.301094735	0	0	1
94	94	24600	10.11050172	12	10050	9.215327913	0	0	1
95	95	28500	10.25765937	12	10500	9.259130536	0	0	1
96	96	30750	10.33364527	8	15000	9.61580548	1	1	2
97	97	40200	10.60162227	17	19500	9.878169745	1	1	1
98	98	30000	10.30895266	8	15000	9.61580548	1	1	2
99	99	22050	10.00106788	12	10950	9.301094735	0	1	1
100	100	78250	11.26766411	18	27480	10.22121375	1	0	3
101	101	60625	11.01246263	16	22500	10.02127059	1	0	3
102	102	39900	10.5941316	14	15750	9.664595644	1	0	1
103	103	97000	11.48246626	19	35010	10.46338901	1	0	3
104	104	27450	10.22012145	15	15750	9.664595644	1	0	1
105	105	31650	10.36249343	15	13500	9.510444964	1	0	1
106	106	91250	11.42135827	19	29490	10.2918065	1	0	3
107	107	25200	10.13459927	12	14400	9.574983486	0	0	1
108	108	21000	9.952277717	12	11550	9.354440716	0	0	1
109	109	30450	10.32384127	12	15000	9.61580548	1	1	1
110	110	28350	10.25238231	15	18000	9.798127037	1	1	1
111	111	30750	10.33364527	12	9000	9.104979856	1	1	2
112	112	30750	10.33364527	12	15000	9.61580548	1	1	2
113	113	54875	10.91281315	16	27480	10.22121375	1	0	3
114	114	37800	10.54006438	14	16500	9.71111566	1	0	1
115	115	33450	10.41780707	15	14100	9.553930076	1	0	1
116	116	30300	10.31890299	15	16500	9.71111566	1	0	1
117	117	31500	10.35774282	12	18750	9.838949031	0	0	1
118	118	31650	10.36249343	12	14250	9.564512186	0	0	1
119	119	25200	10.13459927	12	14100	9.553930076	0	0	1
120	120	37800	10.54006438	16	15750	9.664595644	0	0	3
121	121	18750	9.838949031	15	10500	9.259130536	0	0	1
122	122	32550	10.39053265	15	13500	9.510444964	0	0	1
123	123	33300	10.41331268	12	15000	9.61580548	0	0	1
124	124	38550	10.55971138	16	16500	9.71111566	0	0	1
125	125	27450	10.22012145	12	15000	9.61580548	1	1	1
126	126	24300	10.09823163	15	15000	9.61580548	1	1	2
127	127	30750	10.33364527	12	15000	9.61580548	1	1	2
128	128	19650	9.885832617	12	9750	9.185022564	0	1	1
129	129	68750	11.13823202	17	27510	10.22230485	1	0	3
130	130	59375	10.99162854	20	30000	10.30895266	1	0	3
131	131	31500	10.35774282	15	15750	9.664595644	1	0	1
132	132	27300	10.21464198	12	17250	9.755567422	1	0	1
133	133	27000	10.20359214	15	15750	9.664595644	1	0	1
134	134	41550	10.6346528	16	24990	10.12623102	0	0	3
135	135	26250	10.17542127	12	10950	9.301094735	0	0	1
136	136	22200	10.00784757	12	15000	9.61580548	1	0	1
137	137	65000	11.08214255	21	37500	10.53209621	1	0	3
138	138	30900	10.33851146	12	15000	9.61580548	1	0	1
139	139	20100	9.908475094	8	13200	9.487972109	0	0	1
140	140	22350	10.0145816	12	13500	9.510444964	0	0	1
141	141	35550	10.47869544	15	13350	9.499271664	0	0	1
142	142	28500	10.25765937	12	13950	9.543234787	0	0	1
143	143	24450	10.10438549	12	13200	9.487972109	0	0	1
144	144	16650	9.720165495	8	9750	9.185022564	0	0	1
145	145	26700	10.19241884	12	13500	9.510444964	1	1	1
146	146	43950	10.6908079	18	23250	10.05406041	1	1	1
147	147	23700	10.07323033	15	13500	9.510444964	1	1	1
148	148	26550	10.18678503	15	14250	9.564512186	0	1	1
149	149	27600	10.22557105	12	15000	9.61580548	1	0	1
150	150	25800	10.15812977	12	15000	9.61580548	1	0	1
151	151	42300	10.65254237	16	26250	10.17542127	1	0	3
152	152	30750	10.33364527	8	15000	9.61580548	1	0	2
153	153	26700	10.19241884	12	12900	9.46498259	0	0	1
154	154	20850	9.945109227	12	12000	9.392661929	0	0	1
155	155	35250	10.47022081	15	15000	9.61580548	1	1	1
156	156	26700	10.19241884	15	15000	9.61580548	1	1	1
157	157	26550	10.18678503	12	13050	9.476543413	0	1	1
158	158	27750	10.23099112	12	12000	9.392661929	0	1	1
159	159	25050	10.12862911	16	12750	9.453286551	0	1	1
160	160	66000	11.09741002	16	47490	10.76827444	1	0	3
161	161	52650	10.87142152	16	19500	9.878169745	1	0	1
162	162	45625	10.72821109	16	23250	10.05406041	1	0	3
163	163	30900	10.33851146	15	15000	9.61580548	1	0	1
164	164	29400	10.28874995	15	16500	9.71111566	0	0	1
165	165	33300	10.41331268	15	13500	9.510444964	0	0	1
166	166	21900	9.994241916	12	9750	9.185022564	0	0	1
167	167	18150	9.80642584	12	9750	9.185022564	0	0	1
168	168	46875	10.75523976	16	17250	9.755567422	0	0	3
169	169	25500	10.14643373	12	14400	9.574983486	1	1	1
170	170	26550	10.18678503	12	15000	9.61580548	1	1	1
171	171	26700	10.19241884	12	13500	9.510444964	1	1	1
172	172	29850	10.30394012	15	15000	9.61580548	0	1	1
173	173	69250	11.14547842	20	42480	10.65678866	1	0	3
174	174	31950	10.37192746	8	15000	9.61580548	1	0	2
175	175	26250	10.17542127	8	15600	9.655026193	1	0	1
176	176	35700	10.48290597	16	17250	9.755567422	0	0	1
177	177	28500	10.25765937	12	16500	9.71111566	0	0	1
178	178	17100	9.746833742	12	10200	9.230142999	0	0	1
179	179	25200	10.13459927	12	13050	9.476543413	1	1	1
180	180	24000	10.08580911	12	12750	9.453286551	0	1	1
181	181	27450	10.22012145	12	10200	9.230142999	0	1	1
182	182	18450	9.822819649	12	10200	9.230142999	0	1	1
183	183	39300	10.5789798	15	15750	9.664595644	1	0	1
184	184	38850	10.56746336	15	15000	9.61580548	1	0	1
185	185	30750	10.33364527	8	15000	9.61580548	1	0	2
186	186	37500	10.53209621	15	20400	9.92329018	1	0	1
187	187	58750	10.98104643	16	21750	9.987369037	1	0	3
188	188	34500	10.4487146	12	18750	9.838949031	0	0	1
189	189	36000	10.49127422	12	19980	9.902487052	0	0	1
190	190	29100	10.27849345	8	16500	9.71111566	0	0	1
191	191	16500	9.71111566	12	10200	9.230142999	0	0	1
192	192	19650	9.885832617	12	12750	9.453286551	1	1	1
193	193	24750	10.11658077	12	12000	9.392661929	0	1	1
194	194	27150	10.20913233	15	15750	9.664595644	0	1	1
195	195	26400	10.18111929	12	12750	9.453286551	0	1	1
196	196	23100	10.0475879	16	12000	9.392661929	0	1	1
197	197	54900	10.91326863	15	25500	10.14643373	1	0	3
198	198	70875	11.16867304	19	43500	10.68051622	1	0	3
199	199	51250	10.8444709	16	27480	10.22121375	1	0	3
200	200	67500	11.11988288	17	34980	10.46253175	1	0	3
201	201	29340	10.28670705	12	19500	9.878169745	1	0	1
202	202	39600	10.5865844	15	16500	9.71111566	1	0	1
203	203	29100	10.27849345	12	15000	9.61580548	1	0	1
204	204	33150	10.408798	15	16500	9.71111566	1	0	1
205	205	66750	11.10870958	16	52500	10.86856845	1	0	3
206	206	33750	10.4267357	12	15000	9.61580548	1	0	2
207	207	27300	10.21464198	15	17250	9.755567422	1	0	1
208	208	24000	10.08580911	12	11250	9.328123408	0	0	1
209	209	19800	9.893437217	8	10200	9.230142999	0	0	1
210	210	30600	10.32875529	15	16500	9.71111566	1	1	1
211	211	28950	10.27332548	15	15000	9.61580548	1	1	1
212	212	38400	10.55581274	15	16500	9.71111566	1	1	1
213	213	30750	10.33364527	8	15000	9.61580548	1	1	2
214	214	20400	9.92329018	12	10950	9.301094735	0	1	1
215	215	19200	9.862665558	12	11100	9.314700387	0	1	1
216	216	30150	10.3139402	15	15750	9.664595644	1	0	1
217	217	34620	10.45218683	16	27750	10.23099112	1	0	1
218	218	80000	11.28978191	15	15750	9.664595644	1	0	1
219	219	25350	10.14053401	12	15000	9.61580548	1	0	1
220	220	29850	10.30394012	12	15750	9.664595644	1	0	1
221	221	24000	10.08580911	12	13800	9.532423871	0	0	1
222	222	27750	10.23099112	15	19500	9.878169745	0	0	1
223	223	22350	10.0145816	8	10200	9.230142999	0	0	1
224	224	16200	9.692766521	12	10200	9.230142999	0	0	1
225	225	21900	9.994241916	15	12750	9.453286551	0	0	1
226	226	23250	10.05406041	16	15750	9.664595644	0	0	1
227	227	33900	10.43117029	12	12000	9.392661929	0	0	1
228	228	25650	10.15229885	15	14250	9.564512186	0	0	1
229	229	17250	9.755567422	12	10200	9.230142999	0	0	1
230	230	22500	10.02127059	15	15000	9.61580548	1	1	1
231	231	40200	10.60162227	16	21000	9.952277717	1	0	3
232	232	55500	10.9241383	19	33750	10.4267357	1	0	3
233	233	26550	10.18678503	15	15000	9.61580548	1	0	1
234	234	50550	10.83071822	15	19500	9.878169745	1	0	1
235	235	75000	11.22524339	19	31500	10.35774282	1	0	3
236	236	27450	10.22012145	8	12000	9.392661929	0	0	1
237	237	22650	10.02791513	12	11250	9.328123408	0	0	1
238	238	27300	10.21464198	12	11250	9.328123408	0	0	1
239	239	27750	10.23099112	12	11225	9.325898713	0	0	1
240	240	54375	10.90365977	16	18750	9.838949031	0	0	3
241	241	17400	9.764225485	8	10200	9.230142999	0	0	1
242	242	40800	10.61643736	12	18000	9.798127037	0	0	1
243	243	23100	10.0475879	12	10950	9.301094735	0	0	1
244	244	22500	10.02127059	8	10950	9.301094735	0	0	1
245	245	26700	10.19241884	12	11550	9.354440716	0	0	1
246	246	24900	10.12262308	12	11250	9.328123408	0	0	1
247	247	19650	9.885832617	12	10950	9.301094735	0	0	1
248	248	22050	10.00106788	12	10950	9.301094735	0	0	1
249	249	25500	10.14643373	12	12000	9.392661929	0	0	1
250	250	28200	10.24707726	15	12750	9.453286551	0	0	1
251	251	23100	10.0475879	12	11250	9.328123408	0	0	1
252	252	25500	10.14643373	12	11400	9.341368634	1	1	1
253	253	17100	9.746833742	8	10200	9.230142999	0	1	1
254	254	68125	11.12909953	18	32490	10.38868763	1	0	3
255	255	30600	10.32875529	12	15750	9.664595644	1	0	2
256	256	52125	10.86139996	19	27480	10.22121375	1	0	3
257	257	61875	11.0328715	19	36750	10.5118935	1	0	3
258	258	21300	9.966462352	8	11550	9.354440716	1	0	1
259	259	19650	9.885832617	12	11250	9.328123408	0	0	1
260	260	22350	10.0145816	12	11250	9.328123408	0	0	1
261	261	23400	10.0604913	12	11250	9.328123408	0	0	1
262	262	24300	10.09823163	12	10950	9.301094735	0	0	1
263	263	28500	10.25765937	12	11250	9.328123408	0	0	1
264	264	19950	9.900984422	12	11250	9.328123408	0	0	1
265	265	23400	10.0604913	12	11250	9.328123408	0	0	1
266	266	34500	10.4487146	16	17250	9.755567422	0	0	1
267	267	18150	9.80642584	12	10950	9.301094735	0	0	1
268	268	22350	10.0145816	12	15000	9.61580548	1	1	1
269	269	40200	10.60162227	15	17250	9.755567422	1	0	1
270	270	28650	10.26290872	15	18000	9.798127037	1	0	1
271	271	27750	10.23099112	15	16500	9.71111566	1	0	1
272	272	66875	11.11058048	18	31980	10.37286599	1	0	1
273	273	30000	10.30895266	12	15750	9.664595644	1	0	2
274	274	83750	11.33559145	16	21750	9.987369037	1	0	3
275	275	33900	10.43117029	12	16500	9.71111566	1	0	1
276	276	56500	10.94199592	16	21000	9.952277717	1	0	3
277	277	43000	10.66895539	16	17490	9.769384568	0	0	3
278	278	20850	9.945109227	8	12000	9.392661929	0	0	1
279	279	24450	10.10438549	12	12000	9.392661929	0	0	1
280	280	24750	10.11658077	12	10950	9.301094735	0	0	1
281	281	34500	10.4487146	8	15750	9.664595644	1	1	2
282	282	27900	10.23638197	14	15000	9.61580548	1	1	1
283	283	68125	11.12909953	19	32010	10.37380363	1	0	3
284	284	73500	11.20504069	19	33000	10.40426284	1	0	3
285	285	30750	10.33364527	8	15750	9.664595644	1	0	2
286	286	40050	10.59788395	15	25500	10.14643373	1	0	3
287	287	40350	10.60534667	16	19500	9.878169745	1	0	1
288	288	38700	10.56359488	15	23730	10.07449535	1	0	3
289	289	65000	11.08214255	17	30750	10.33364527	1	0	3
290	290	51450	10.84836574	18	36240	10.49791876	1	0	3
291	291	35250	10.47022081	12	15750	9.664595644	1	0	2
292	292	25950	10.16392689	14	15000	9.61580548	1	0	1
293	293	25050	10.12862911	15	14250	9.564512186	1	0	1
294	294	26700	10.19241884	12	12750	9.453286551	1	0	1
295	295	24000	10.08580911	8	15750	9.664595644	1	0	1
296	296	26850	10.1980211	12	15000	9.61580548	1	0	1
297	297	23400	10.0604913	12	15300	9.635608107	0	0	1
298	298	24600	10.11050172	12	13500	9.510444964	0	0	1
299	299	32550	10.39053265	15	18000	9.798127037	0	0	1
300	300	26550	10.18678503	16	15000	9.61580548	1	1	1
301	301	31500	10.35774282	12	13500	9.510444964	1	1	1
302	302	22350	10.0145816	8	15000	9.61580548	1	1	1
303	303	35250	10.47022081	12	15750	9.664595644	1	1	2
304	304	25800	10.15812977	15	13500	9.510444964	0	1	1
305	305	30750	10.33364527	12	15750	9.664595644	1	0	2
306	306	30750	10.33364527	15	16500	9.71111566	1	0	1
307	307	50000	10.81977828	16	32490	10.38868763	1	0	3
308	308	34500	10.4487146	15	18000	9.798127037	1	0	1
309	309	26250	10.17542127	15	15750	9.664595644	1	0	1
310	310	44875	10.71163613	16	21240	9.963641475	1	0	1
311	311	22500	10.02127059	12	12000	9.392661929	0	0	1
312	312	25650	10.15229885	12	14250	9.564512186	0	0	1
313	313	21300	9.966462352	12	11250	9.328123408	0	0	1
314	314	29850	10.30394012	12	13500	9.510444964	0	0	1
315	315	34500	10.4487146	12	12150	9.405084449	0	0	1
316	316	27750	10.23099112	15	15000	9.61580548	1	1	1
317	317	27750	10.23099112	12	11550	9.354440716	1	1	1
318	318	48750	10.79446048	16	21990	9.998343084	1	0	3
319	319	43410	10.67844511	15	15750	9.664595644	1	0	1
320	320	22050	10.00106788	12	15000	9.61580548	1	0	1
321	321	22050	10.00106788	12	12000	9.392661929	0	0	1
322	322	22500	10.02127059	12	14250	9.564512186	0	0	1
323	323	25500	10.14643373	15	12000	9.392661929	0	0	1
324	324	29160	10.28055319	12	15000	9.61580548	0	0	1
325	325	16800	9.729134165	8	10200	9.230142999	0	0	1
326	326	29550	10.29383902	8	15750	9.664595644	1	1	2
327	327	26700	10.19241884	12	15750	9.664595644	1	1	1
328	328	55000	10.91508846	18	32490	10.38868763	1	0	3
329	329	62500	11.04292184	18	34980	10.46253175	1	0	3
330	330	27300	10.21464198	15	17250	9.755567422	1	0	1
331	331	24450	10.10438549	12	12000	9.392661929	0	0	1
332	332	33000	10.40426284	16	18000	9.798127037	0	0	1
333	333	37050	10.52002363	15	18000	9.798127037	0	0	1
334	334	24450	10.10438549	12	10950	9.301094735	0	1	1
335	335	31950	10.37192746	8	15750	9.664595644	1	0	2
336	336	47250	10.76320793	16	21240	9.963641475	1	0	3
337	337	26100	10.16969059	12	11550	9.354440716	0	0	1
338	338	15900	9.674074388	8	10200	9.230142999	0	0	1
339	339	23700	10.07323033	8	10650	9.273315171	0	0	1
340	340	21750	9.987369037	8	12450	9.429475902	0	0	1
341	341	59400	10.99204951	12	33750	10.4267357	1	1	3
342	342	24450	10.10438549	12	14250	9.564512186	0	1	1
343	343	103500	11.54732689	16	60000	11.00209984	1	0	3
344	344	35700	10.48290597	12	16500	9.71111566	1	0	1
345	345	22200	10.00784757	12	16500	9.71111566	0	0	1
346	346	22950	10.04107322	15	13950	9.543234787	0	0	1
347	347	23100	10.0475879	12	12000	9.392661929	0	0	1
348	348	56750	10.94641094	16	30000	10.30895266	0	0	3
349	349	29100	10.27849345	17	12750	9.453286551	0	0	1
350	350	37650	10.53608823	12	15750	9.664595644	0	0	1
351	351	27900	10.23638197	12	13500	9.510444964	0	0	1
352	352	21150	9.959395184	8	12000	9.392661929	0	0	1
353	353	31200	10.34817337	12	15750	9.664595644	1	1	2
354	354	20550	9.93061622	12	11250	9.328123408	0	1	1
355	355	25950	10.16392689	15	17250	9.755567422	1	0	1
356	356	28350	10.25238231	15	15000	9.61580548	1	0	1
357	357	17700	9.781319919	8	10200	9.230142999	0	0	1
358	358	23550	10.0668811	15	13500	9.510444964	0	0	1
359	359	19950	9.900984422	12	10200	9.230142999	0	0	1
360	360	29400	10.28874995	12	15300	9.635608107	0	0	1
361	361	28800	10.26813067	12	13950	9.543234787	0	0	1
362	362	16950	9.738023113	8	10200	9.230142999	0	0	1
363	363	35700	10.48290597	16	18000	9.798127037	1	1	1
364	364	17400	9.764225485	12	10200	9.230142999	0	1	1
365	365	21450	9.973479924	8	10200	9.230142999	0	1	1
366	366	24750	10.11658077	12	12000	9.392661929	0	1	1
367	367	16950	9.738023113	12	10200	9.230142999	0	1	1
368	368	26100	10.16969059	12	13500	9.510444964	0	1	1
369	369	28050	10.24174391	14	15000	9.61580548	1	0	1
370	370	36600	10.50780352	16	18000	9.798127037	0	0	1
371	371	58125	10.97035114	16	18000	9.798127037	0	0	3
372	372	21300	9.966462352	15	15750	9.664595644	1	0	1
373	373	22500	10.02127059	12	16500	9.71111566	1	0	1
374	374	29400	10.28874995	15	15750	9.664595644	1	0	1
375	375	27450	10.22012145	12	14700	9.595602773	1	0	1
376	376	29850	10.30394012	15	15750	9.664595644	1	0	1
377	377	25350	10.14053401	15	15750	9.664595644	1	0	1
378	378	15750	9.664595644	8	10200	9.230142999	0	0	1
379	379	19650	9.885832617	8	13050	9.476543413	0	0	1
380	380	21000	9.952277717	12	13500	9.510444964	0	0	1
381	381	27000	10.20359214	17	18000	9.798127037	1	1	1
382	382	24000	10.08580911	12	15750	9.664595644	1	1	1
383	383	78500	11.2708539	17	28740	10.26604516	1	1	3
384	384	20850	9.945109227	12	13050	9.476543413	0	1	1
385	385	30000	10.30895266	12	15750	9.664595644	1	0	2
386	386	28500	10.25765937	8	15750	9.664595644	1	0	2
387	387	65000	11.08214255	19	31980	10.37286599	1	0	3
388	388	30150	10.3139402	14	16500	9.71111566	1	0	1
389	389	66875	11.11058048	19	32490	10.38868763	1	0	3
390	390	24150	10.09203966	15	13500	9.510444964	0	0	1
391	391	24450	10.10438549	12	12450	9.429475902	0	0	1
392	392	21600	9.980448594	12	12000	9.392661929	0	0	1
393	393	27900	10.23638197	12	12450	9.429475902	0	0	1
394	394	29100	10.27849345	8	12450	9.429475902	0	0	1
395	395	22650	10.02791513	12	11250	9.328123408	0	0	1
396	396	20850	9.945109227	12	11250	9.328123408	0	0	1
397	397	22950	10.04107322	12	12300	9.417354541	0	0	1
398	398	30600	10.32875529	12	12450	9.429475902	0	0	1
399	399	20400	9.92329018	12	11250	9.328123408	0	0	1
400	400	23850	10.0795395	12	12750	9.453286551	0	0	1
401	401	22800	10.03451581	12	11250	9.328123408	0	0	1
402	402	20700	9.937888979	12	11250	9.328123408	0	0	1
403	403	21300	9.966462352	12	11250	9.328123408	0	1	1
404	404	24300	10.09823163	12	15000	9.61580548	0	1	1
405	405	19650	9.885832617	12	13950	9.543234787	0	1	1
406	406	60000	11.00209984	17	32490	10.38868763	1	0	3
407	407	30300	10.31890299	15	15750	9.664595644	1	0	1
408	408	61250	11.02271913	19	33000	10.40426284	1	0	3
409	409	36000	10.49127422	19	19500	9.878169745	1	0	1
410	410	25200	10.13459927	8	18750	9.838949031	0	0	1
411	411	16200	9.692766521	12	10200	9.230142999	0	0	1
412	412	22800	10.03451581	12	11250	9.328123408	0	0	1
413	413	43500	10.68051622	16	19500	9.878169745	0	0	3
414	414	30300	10.31890299	8	15750	9.664595644	1	1	2
415	415	31950	10.37192746	15	15750	9.664595644	1	1	1
416	416	35250	10.47022081	15	13500	9.510444964	1	0	1
417	417	37800	10.54006438	15	15000	9.61580548	1	0	1
418	418	31200	10.34817337	15	15750	9.664595644	1	0	1
419	419	29400	10.28874995	15	16500	9.71111566	1	0	1
420	420	70000	11.15625052	19	35040	10.46424555	1	0	3
421	421	33900	10.43117029	15	15750	9.664595644	1	0	1
422	422	27150	10.20913233	15	16500	9.71111566	1	0	1
423	423	22200	10.00784757	12	13800	9.532423871	0	0	1
424	424	31350	10.35296955	15	11100	9.314700387	0	0	1
425	425	20850	9.945109227	12	13500	9.510444964	0	0	1
426	426	33300	10.41331268	16	17490	9.769384568	1	1	1
427	427	26250	10.17542127	8	16050	9.683464129	1	1	1
428	428	31950	10.37192746	15	15750	9.664595644	1	1	1
429	429	30000	10.30895266	8	15750	9.664595644	1	1	2
430	430	66250	11.10119074	19	34980	10.46253175	1	1	3
431	431	86250	11.36500533	18	45000	10.71441777	1	0	3
432	432	30750	10.33364527	12	15000	9.61580548	1	0	1
433	433	33540	10.42049404	12	15750	9.664595644	1	0	1
434	434	34950	10.46167375	16	20250	9.915910073	1	0	1
435	435	40350	10.60534667	15	16500	9.71111566	1	0	1
436	436	30270	10.3179124	12	15750	9.664595644	1	0	1
437	437	26250	10.17542127	8	16050	9.683464129	1	0	1
438	438	32400	10.3859137	15	15000	9.61580548	1	0	1
439	439	20400	9.92329018	12	11250	9.328123408	0	0	1
440	440	24150	10.09203966	8	12750	9.453286551	0	0	1
441	441	23850	10.0795395	15	13500	9.510444964	0	0	1
442	442	29700	10.29890232	12	13500	9.510444964	0	0	1
443	443	21600	9.980448594	8	13500	9.510444964	0	0	1
444	444	24450	10.10438549	12	15750	9.664595644	0	0	1
445	445	28050	10.24174391	15	16500	9.71111566	1	1	1
446	446	100000	11.51292546	16	44100	10.69421506	1	1	3
447	447	49000	10.79957558	15	20550	9.93061622	1	1	1
448	448	16350	9.701983176	12	10200	9.230142999	0	1	1
449	449	70000	11.15625052	16	21750	9.987369037	1	0	3
450	450	55000	10.91508846	19	34980	10.46253175	1	0	3
451	451	28500	10.25765937	15	14250	9.564512186	1	0	1
452	452	28800	10.26813067	12	18000	9.798127037	1	0	1
453	453	24450	10.10438549	15	15750	9.664595644	1	0	1
454	454	90625	11.41448539	19	31250	10.34977466	1	0	3
455	455	43650	10.68395856	16	19500	9.878169745	1	0	3
456	456	75000	11.22524339	19	42510	10.65749462	1	0	3
457	457	31650	10.36249343	15	14250	9.564512186	1	0	1
458	458	61875	11.0328715	19	28740	10.26604516	1	0	3
459	459	21750	9.987369037	12	11250	9.328123408	0	0	1
460	460	22500	10.02127059	12	12750	9.453286551	0	0	1
461	461	21600	9.980448594	8	13500	9.510444964	0	0	1
462	462	34410	10.4461025	16	19500	9.878169745	0	0	3
