ID,age,schooling,height,weight,earnings,siblings
887,41,18,63,140,17.3,5
912,44,16,64,129,10.41,2
916,43,16,70,175,62.5,2
917,43,12,75,190,13.23,3
929,37,12,73,180,8.01,2
952,38,12,63,112,23,3
956,38,13,73,165,14,2
959,42,14,74,180,39.91,3
963,39,12,67,128,27.32,3
972,38,12,65,118,15.38,4
973,39,12,69,170,16.34,2
982,39,12,68,160,13.75,5
1011,39,12,70,140,18.25,0
1037,40,12,61,150,16.15,2
1039,42,15,67,120,19.99,3
1042,40,12,69,160,15,6
1081,40,14,69,155,15,3
1085,41,12,72,175,14,1
1107,45,12,71,195,27.77,0
1114,41,12,64,183,16.15,0
1130,42,12,62,135,18.99,3
1131,43,12,64,121,16.34,4
1156,45,12,73,230,10.57,1
1169,43,12,71,155,23.33,3
1178,39,17,64,125,13.84,2
1179,39,12,66,150,13.86,2
1188,39,15,69,180,16.53,2
1237,43,12,68,180,10.46,3
1240,38,18,69,185,21.15,1
1257,38,12,77,164,9.31,1
1286,41,16,64,140,12.92,2
1323,40,17,63,120,16.62,2
1353,38,12,70,165,8.23,1
1356,39,16,67,125,9.4,0
1361,38,8,60,87,7.5,1
1366,44,12,64,180,10.46,7
1386,41,12,68,155,15.75,4
1390,38,12,74,191,21.11,3
1394,42,15,66,120,23,4
1438,39,12,65,163,7,2
1444,40,13,62,130,3.88,2
1468,44,12,70,130,18.3,3
1471,44,8,66,160,25,4
1490,39,12,61,137,13.42,3
1495,44,12,60,135,8.3,3
1503,38,20,70,140,18.63,1
1508,37,14,68,120,11.21,3
1510,38,16,67,137,12.5,2
1519,41,12,65,135,17.5,5
1521,41,12,68,185,16,6
1527,45,12,68,143,12,6
1548,41,10,64,110,7,1
1556,39,12,74,185,16,4
1558,39,14,66,135,15.86,3
1571,39,15,68,120,15.54,4
1589,40,16,63,142,17,3
1591,39,12,69,180,7.54,3
1592,37,12,64,158,6.75,3
1612,40,15,71,210,8,3
1627,38,12,73,165,8.88,3
1631,40,16,74,230,25.64,3
1646,37,14,62,125,43.85,1
1662,39,12,66,140,6.25,7
1663,38,12,68,153,22,7
1677,39,12,67,135,25.5,5
1708,43,16,72,175,15.69,3
1727,38,12,63,100,38.46,10
1733,40,16,66,110,25.17,4
1751,41,12,61,145,16,3
1759,41,13,66,131,11,1
1784,38,15,68,145,39.53,1
1788,37,12,70,135,20.02,2
1790,41,12,70,155,14.9,1
1802,38,12,74,170,13,5
1837,45,13,66,155,12.98,6
1847,42,14,66,115,23.64,3
1848,40,13,67,120,16.82,3
1851,43,14,68,147,24.03,3
1859,44,12,72,195,16.61,5
1863,43,12,68,155,7.75,6
1867,39,12,68,200,20.1,1
1868,44,13,66,125,11,4
1885,42,16,64,120,17.62,2
1887,41,12,67,158,7.54,3
1902,38,12,68,175,16.84,4
1916,39,19,72,150,33.92,2
1917,40,12,68,170,18.34,1
1952,38,17,69,183,61.53,2
1962,43,12,65,170,21.16,3
1967,39,16,60,140,18.5,3
1975,38,12,64,140,14.42,4
2005,38,16,71,180,26.51,2
2007,40,14,70,180,38.46,0
2010,44,19,74,170,47,1
2013,42,12,63,135,6.15,2
2016,41,17,63,115,20.63,4
2024,42,15,71,190,17.02,1
2033,39,12,72,165,55,1
2046,37,12,62,135,11.22,4
2051,38,11,66,150,7,3
2067,39,12,70,150,23.07,11
2086,43,12,71,158,11.78,6
2088,40,14,63,95,13,6
2089,39,12,74,150,15,6
2104,45,12,64,165,16.58,1
2107,40,14,71,230,18.01,1
2112,44,12,65,135,12,5
2113,39,19,68,160,48.07,2
2122,43,12,71,204,9.8,2
2138,40,12,74,180,21.53,5
2140,39,12,67,155,15.47,3
2156,38,12,65,125,18,2
2157,44,12,76,188,12,4
2163,44,14,69,195,8.5,0
2165,42,12,64,145,7.5,1
2186,43,16,64,115,29.27,1
2187,40,13,68,230,30,1
2190,42,13,65,160,10.25,3
2191,44,12,76,295,11.32,1
2194,38,9,69,130,14,2
2203,40,12,63,150,10.28,2
2211,41,12,68,169,10.79,5
2216,41,12,70,190,23.07,2
2222,43,16,67,140,15.71,2
2230,37,16,65,150,21.78,2
2237,41,18,67,140,12.75,2
2261,38,12,68,150,14.5,5
2275,37,12,63,110,9.25,1
2291,37,16,74,180,29.45,1
2294,38,16,60,115,8.65,2
2330,40,14,74,150,22.29,1
2335,45,13,74,150,21.36,1
2342,40,12,62,111,10.57,3
2386,40,15,64,150,24.61,2
2405,42,16,66,127,16.95,5
2408,42,12,61,102,16.53,2
2419,39,10,73,148,20.89,2
2442,43,18,66,135,32.21,0
2463,44,15,69,160,9.61,4
2466,40,10,74,180,8,5
2473,37,12,68,135,17.25,3
2475,39,12,68,150,17.8,5
2516,40,12,71,210,17.3,3
2521,39,12,62,120,10.21,4
2529,39,12,65,135,7,2
2530,38,12,65,140,6,2
2573,44,17,66,140,9.28,2
2578,41,12,69,167,9.97,10
2585,42,13,62,155,14,3
2615,37,12,62,137,6,3
2649,41,18,75,271,15.38,8
2652,37,12,72,146,12.24,8
2661,41,9,65,210,6.5,7
2672,43,12,61,143,4.8,3
2694,43,15,64,135,8,7
2703,42,16,67,155,40.86,8
2706,40,12,62,103,11.5,8
2731,40,16,65,128,4.54,2
2746,42,13,61,141,14.42,1
2748,45,12,66,136,17.78,2
2762,42,12,66,190,5,4
2767,38,14,63,110,15.38,2
2770,43,16,66,170,19.1,10
2774,45,14,73,205,21.9,5
2775,42,12,64,122,14.5,5
2776,40,14,76,202,13.73,5
2781,42,12,67,155,7,4
2785,42,12,69,233,5.37,2
2787,38,12,73,200,11.05,2
2800,40,18,71,170,50.16,1
2816,41,12,73,194,26.22,0
2828,41,10,59,95,7.14,3
2845,39,20,69,155,25.98,3
2848,42,16,67,124,62.79,1
2861,39,17,69,162,39.86,1
2879,45,12,67,140,17,2
2911,41,12,62,107,8.33,3
2959,39,20,65,115,80.12,2
2998,41,12,70,175,12.3,4
3023,40,12,67,130,18,3
3036,44,12,63,140,25.82,0
3041,43,13,66,126,2.13,1
3055,39,12,75,165,12.5,2
3057,43,12,62,110,7.75,3
3059,45,12,71,190,21.39,5
3091,37,14,64,140,12.5,1
3094,43,12,62,130,6.25,1
3096,43,13,63,106,10,3
3109,40,18,63,105,23.31,3
3127,40,12,72,195,9,5
3134,43,12,65,125,11.64,3
3141,40,16,74,200,33.65,2
3146,42,17,67,120,27.07,2
3150,43,16,71,120,47.86,1
3156,40,19,61,100,9.5,1
3159,41,15,70,165,17.5,2
3168,44,19,71,168,37.11,3
3170,41,19,72,162,34.96,1
3172,43,20,68,137,3.36,2
3199,40,12,61,135,12.3,3
3202,43,12,70,180,14.25,4
3213,39,12,69,168,18.71,6
3219,41,14,72,195,23.07,5
3242,40,12,63,119,14.75,2
3243,44,16,62,140,9.61,1
3285,40,12,59,138,15,0
3310,39,12,72,160,13.94,0
3317,41,12,62,118,9.3,5
3321,37,10,63,130,12.35,7
3337,40,18,68,128,31.01,3
3343,38,10,65,135,9,1
3353,41,12,67,210,18.85,3
3355,42,14,65,132,18.37,2
3364,42,14,65,160,16.25,4
3374,40,12,72,165,18.96,5
3390,42,20,69,185,30.55,2
3397,38,12,69,125,8.2,3
3406,38,17,62,125,11.87,2
3424,43,14,64,115,29.06,4
3425,38,13,70,185,34.15,4
3431,38,17,70,160,47,6
3444,43,12,68,200,6.14,2
3455,42,12,70,160,21,4
3457,39,14,63,105,13.8,4
3458,40,14,63,105,14.3,4
3479,38,12,72,180,25.5,2
3493,44,12,70,200,14,3
3494,45,13,69,215,30,3
3496,42,14,63,125,11.72,4
3512,37,12,64,115,21.87,2
3523,39,12,63,116,12,6
3533,44,14,71,212,41.02,1
3540,41,11,71,167,12.2,3
3544,39,12,64,150,7.85,13
3545,39,14,66,155,16.34,4
3553,39,12,70,150,22,8
3569,38,12,73,190,15.6,4
3570,41,9,73,170,17.12,4
3574,37,12,69,180,20.19,1
3581,44,16,75,185,37.5,3
3588,40,18,71,160,27.24,2
3591,41,12,70,163,26.82,6
3598,43,12,72,190,19.36,1
3606,41,13,65,140,14.28,3
3609,42,14,60,115,23.45,3
3615,40,12,67,145,14,4
3616,39,12,72,150,19.45,3
3620,40,12,75,225,14.42,2
3640,37,12,69,145,9,3
3669,40,16,63,116,15,3
3690,40,18,66,165,52.88,1
3706,45,13,72,170,20.19,4
3719,44,12,69,145,7.9,2
3735,37,12,66,130,23.93,2
3751,38,12,74,195,18.37,3
3754,40,12,61,126,14.75,3
3756,38,12,66,115,14.32,3
3757,39,18,66,165,27.69,1
3775,41,16,63,112,23,2
3777,42,12,67,170,21.63,3
3787,45,15,64,107,6.28,0
3790,42,12,62,117,9.8,5
3802,43,13,65,120,10.5,3
3803,41,18,71,170,24.51,1
3812,42,16,68,125,17.14,2
3829,43,12,69,235,37.78,0
3830,38,12,71,140,16.5,3
3837,39,12,61,87,14.75,3
3845,42,12,69,145,10,4
3855,38,20,64,120,32,1
3879,42,13,64,115,9.25,2
3887,40,20,75,205,109.61,2
3894,40,18,70,155,35,0
3897,41,17,67,150,48.07,3
3932,40,12,64,155,23.07,3
3937,42,12,71,240,11.77,2
3942,44,11,74,180,6.15,7
3964,44,16,63,116,13,2
3971,39,19,74,180,32.69,2
3999,38,11,74,200,9.5,4
4000,44,7,72,145,14,4
4001,40,13,62,140,8,2
4008,44,13,68,155,22.75,2
4049,42,12,61,110,16.75,5
4064,38,12,73,200,18.85,1
4068,39,8,69,160,12,7
4088,45,13,70,180,110.57,1
4093,39,18,62,99,23,3
4107,40,19,61,105,18,1
4120,42,13,66,125,16.75,1
4125,39,13,66,140,13.46,2
4128,43,12,66,135,14.23,3
4129,39,14,67,143,14.21,4
4151,44,12,62,170,12,0
4152,44,13,65,116,13.5,2
4159,41,12,71,200,14.8,1
4181,39,11,72,197,9,7
4190,41,20,67,120,24.12,4
4219,40,14,62,189,15.78,1
4274,42,9,64,130,8.5,2
4278,42,12,72,225,19.46,6
4280,43,16,64,110,21.15,1
4290,41,20,67,141,24.03,3
4327,37,12,70,145,13.5,4
4329,43,12,71,200,27.8,2
4335,42,11,72,168,14.67,2
4348,38,14,71,140,22,1
4373,38,12,62,124,27.52,2
4407,41,16,71,155,85.47,3
4412,39,12,69,178,13.4,5
4425,42,18,64,124,18.55,2
4448,38,16,71,158,32.05,1
4468,43,13,72,200,29.5,2
4488,38,13,65,115,36.11,2
4499,38,14,67,150,21.65,4
4514,44,15,74,210,44.07,1
4518,37,15,75,180,30.34,2
4538,45,12,67,160,24.03,8
4544,38,12,59,125,5.76,3
4545,45,12,74,180,40.06,4
4551,40,13,61,109,12.82,3
4552,38,15,72,158,18.09,1
4564,44,16,65,135,19.6,2
4569,41,12,71,197,22.8,10
4576,41,18,62,230,10.52,2
4586,37,12,72,155,26.5,2
4589,42,12,66,145,13.66,3
4609,41,20,73,172,72.11,2
4618,41,12,65,127,18.75,3
4635,40,17,73,165,31.25,3
4655,39,14,64,124,25.41,3
4684,44,13,64,120,24.03,0
4698,38,16,71,195,8.75,1
4707,37,12,72,150,43.75,2
4732,40,12,74,270,9.96,5
4746,39,12,65,110,12.77,5
4763,44,15,66,110,23.25,1
4765,38,12,73,180,19.4,3
4770,38,12,73,145,13.95,3
4785,39,12,67,150,8.25,8
4799,40,18,69,225,15.5,2
4803,38,13,66,165,6,2
4815,42,14,60,110,20,6
4826,41,18,67,118,25.09,2
4829,39,16,71,170,30.76,4
4831,37,18,70,140,23.07,4
4841,39,15,66,160,39.72,2
4873,41,16,62,109,21.1,2
4876,41,12,65,140,8.88,3
4877,44,16,65,132,16.28,2
4879,44,12,74,170,10.37,0
4880,42,14,68,117,14.03,2
4883,44,13,67,150,12.98,6
4884,44,12,72,180,14.6,3
4888,41,12,73,195,16.23,5
4902,44,12,72,205,12.32,1
4907,42,20,72,185,127.9,1
4924,43,13,66,114,8.56,2
4929,41,14,62,110,7.57,1
4931,38,14,63,115,15,4
4934,41,12,62,182,6.75,2
4971,38,13,66,130,10.56,2
4972,40,13,64,140,9.35,4
4976,37,15,69,200,36.53,2
4979,37,12,67,140,12.82,2
4981,38,14,60,115,12.3,4
4988,41,16,67,135,32.05,3
5014,38,10,67,122,9,0
5017,42,14,71,170,38.04,0
5029,40,16,72,170,52.85,1
5037,43,14,72,160,7.79,2
5049,43,13,67,127,9,4
5055,40,14,62,118,10.48,2
5063,39,12,63,165,9.88,1
5066,38,18,63,125,6.15,0
5067,39,16,72,190,44.71,2
5091,38,20,64,110,31.15,1
5097,40,12,66,157,48.84,1
5121,43,12,65,115,21,1
5132,42,10,70,145,6.75,4
5147,44,12,75,205,32.05,3
5167,42,12,70,170,20.5,3
5187,41,13,71,140,12,1
5193,39,16,69,150,25.3,4
5199,44,15,62,120,10,5
5207,43,14,75,295,5.5,3
5211,38,12,74,170,15,3
5212,44,17,67,150,12,4
5222,39,16,70,190,14.24,4
5235,38,14,72,185,25.58,3
5244,41,16,72,210,24.64,6
5262,41,12,64,130,14.33,5
5263,45,14,70,165,10.68,2
5272,40,12,68,130,8.8,1
5275,43,12,66,160,7.08,3
5282,43,13,67,124,13.79,3
5286,40,12,68,143,2.6,3
5291,39,12,67,180,16.16,3
5296,42,12,62,174,9.35,5
5301,39,12,60,100,19.6,2
5307,42,12,73,190,12.19,6
5323,41,10,68,120,13.5,5
5327,42,12,65,160,8.55,1
5329,40,13,67,180,14.8,4
5344,38,16,74,240,13.71,1
5347,40,14,72,195,19.23,2
5351,38,18,65,115,18.02,3
5356,40,12,68,148,13.7,2
5358,39,14,75,230,29.06,1
5372,43,16,69,130,7.69,3
5377,41,14,71,177,16.88,4
5421,41,12,62,115,5.49,9
5469,38,6,64,115,6.5,5
5485,37,16,65,147,9.13,5
5508,42,12,66,125,12.12,2
5510,40,12,64,149,8.72,3
5511,42,14,64,120,13,1
5519,39,8,62,154,8,5
5579,40,12,72,245,41.25,3
5580,38,12,67,155,15,3
5586,41,12,68,146,15.55,1
5604,42,9,65,200,12.75,3
5626,37,12,61,127,31.39,5
5631,38,13,65,140,11,2
5651,44,18,75,230,16.66,2
5666,43,16,76,200,27.21,2
5687,39,12,65,154,9,9
5691,43,11,65,150,9,2
5702,44,13,69,125,10.25,6
5705,42,12,69,135,27.97,3
5712,40,12,67,142,12,1
11791,38,16,69,140,57.69,2
11794,39,12,67,130,20.19,4
11809,38,16,74,175,21.87,1
11818,39,10,63,260,6.84,2
11834,43,9,69,250,7.23,4
11850,39,8,62,155,9.7,5
11851,43,14,61,102,34.18,3
11854,42,16,68,160,26.33,4
11866,42,18,66,130,12.55,3
11868,37,16,68,130,33.46,1
11871,39,15,60,100,9.25,3
11888,40,12,71,155,13.4,2
11889,38,17,72,145,16.25,2
11901,42,14,64,150,11.97,1
11905,42,15,66,190,16.02,4
11911,42,13,70,170,15.03,7
11918,40,17,64,145,41.66,2
11937,41,20,73,185,16.99,2
11953,42,12,69,250,8.5,4
11958,38,12,63,110,34.34,0
11972,40,20,67,135,40,2
11981,40,12,66,145,13,8
12005,40,15,62,150,16,2
12018,45,12,61,102,17.76,7
12022,45,12,65,127,20.72,1
12044,40,18,68,210,11.11,1
12045,44,20,68,170,18.38,1
12056,42,15,76,250,2.5,2
12068,39,16,68,185,18.6,2
12096,38,15,64,101,38.46,0
12099,37,18,68,145,11,1
12100,40,12,71,170,16.62,3
12104,45,15,65,160,16.32,3
12106,38,18,71,160,31.25,3
12122,45,8,70,163,24.73,9
