comp_name,year,year_estab,dom,pub,rev,revproj,exrev,exproj,domrev,capital,iso9000,iso9001,iso9002,qcyear,seicmm,level,anyotherqc,product,distr,services,projects,alliances,jv,us,uk,canada,europe,asia,australia,india,africa,middleeast,latinamer,eduntrain,ent,engineering,defence,health,telecomm,transport,port,textiles,publishing,travel,financial,manuf,egov,leasehire,web,libmgmt,airrailway,ecom,edesign,officeauto,oilpetro,softemp,othemp,projnserv,lang_os_ser,ites,rdbms,net_sysinter,multimedia,contentdev,itedu,webnecom,proddev,con,nochange,div,relateddiv,unreldiv,totaos,conglomorate
ABO Software Private Limited,2002,1995,1,0,6,,5,,1,2.5,0,0,0,,0,,0,3,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,4,0
ABO Software Private Limited,2003,1995,1,0,1,,1,,0,2.5,0,0,0,,0,,0,,,,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0
ACE Software Exports Ltd.,1997,1992,1,0,16.4,,15.5,,0.9,50,0,0,0,,0,,0,0,,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,25,300,1,1,0,0,0,1,1,0,1,0,,,,,,5,0
ACE Software Exports Ltd.,1998,1992,1,0,16.4,,15.5,,0.9,50,0,0,0,,0,,0,0,0,0,2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,25,300,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,6,0
ACE Software Exports Ltd.,1999,1992,1,1,21.7,25.12,21.3,24.2,0.4,50,0,0,0,,0,,0,0,0,1,4,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,330,,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,6,0
ACE Software Exports Ltd.,2001,1992,1,1,37.98,80,37.98,80,0,50,0,0,0,,0,,0,0,0,2,4,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,313,17,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,8,0
ACE Software Exports Ltd.,2002,1992,1,1,51.43,80,51.43,80,0,50,0,1,0,,0,,0,2,0,3,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,18,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,6,0
ACE Software Exports Ltd.,2003,1992,1,1,52.26,80,52.26,80,0,50,0,1,0,,0,,0,,,,3,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,133,22,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,4,0
ACE Technosoft Pvt. Ltd.,1999,1990,1,0,12.6,18.5,12.6,18.5,0,2.4,0,0,0,,0,,0,5,0,1,3,,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,36,8,1,1,1,0,0,1,1,0,1,0,,,,,,6,0
ACE Technosoft Pvt. Ltd.,2001,1990,1,1,1.3,25,1.3,25,0,2.4,0,0,0,,0,,0,1,0,4,9,,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,55,5,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0
ACES Infotech Private Limited,1997,1989,1,0,,,,,,,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150,45,0,1,0,0,0,0,0,1,0,1,,,,,,3,0
ACES Infotech Private Limited,1998,1989,1,0,,,,,,,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,175,20,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0
ACES Infotech Private Limited,1999,1989,1,0,,,,,,1.5,0,0,0,,0,,0,5,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,350,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0
ACES Infotech Private Limited,2001,1989,1,0,30,,20,,10,,0,0,0,,0,,0,1,2,1,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,150,50,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,6,0
ACES Infotech Private Limited,2002,1989,1,0,15,20,15,,0,,0,0,0,,0,,0,1,2,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,150,50,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,6,0
ACES Infotech Private Limited,2003,1989,1,0,15,20,15,,0,,0,0,0,,0,,0,,,,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,150,50,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0
ADCC Research & Computing Centre Ltd.,2002,1997,1,0,37,42,29,33,8,75,0,0,0,,0,,0,5,6,3,3,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,58,10,1,1,0,1,0,0,1,1,1,1,,,,,,7,0
ADCC Research & Computing Centre Ltd.,2003,1997,1,0,31.42,45,24.2,35,7.22,75,0,0,0,,0,,0,,,,5,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,9,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0
ADP Wilco (India) Private Limited,2003,1999,0,0,317.18,326.97,317.18,326.97,0,170,0,0,0,,0,,0,,,,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,272,28,1,1,1,0,0,0,0,0,0,0,,,,,,3,0
AG Technologies Private Limited,2002,1999,1,0,1,4,0.5,2,0.5,10,0,0,0,,0,,0,2,0,0,3,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,10,1,1,0,1,0,1,0,0,1,1,,,,,,6,0
AG Technologies Private Limited,2003,1999,1,0,1373.8,40,1373.8,20,0,20.75,0,1,0,2000,0,,0,,,,3,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,10,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0
ARB Software India (P)Ltd.,1999,1995,1,0,2.1,5.1,2.1,5.1,0,0.01,0,0,0,,0,,0,3,0,2,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,3,1,1,1,0,0,0,0,0,1,1,,,,,,5,0
ARB Software India (P)Ltd.,2001,1995,1,0,4.1,10.7,4.1,10.7,0,1.5,0,0,0,,0,,0,2,0,1,1,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,8,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0
ARB Software India(P) Ltd.,2002,1995,1,0,5.1,6,5.1,6,0,1.5,0,0,0,,0,,0,3,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,0,,,,,,2,0
ASC Solutions (I) Pvt. Ltd.,1997,1995,1,0,,,,,,,0,0,0,,0,,0,0,,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,0,1,0,,,,,,2,0
ASC Solutions (I) Pvt. Ltd.,1998,1995,1,0,1.4,,1.4,,0,,0,0,0,,0,,0,3,0,0,2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0
ASM Technologies Limited,2002,1992,1,1,24.33,300,18.33,20,6,50,0,0,0,,0,,0,1,0,3,3,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,70,20,1,0,0,0,0,0,0,0,1,1,,,,,,3,0
ASM Technologies Limited,2003,1992,1,1,133.46,150,102.29,120,31.17,50,0,0,0,,0,,0,,,,7,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82,20,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0
AVL India Software Pvt. Ltd.,2002,1990,1,1,19.1,20,19.1,,0,0.1,0,0,0,,0,,0,0,0,3,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,40,6,1,0,0,1,0,1,0,0,1,0,,,,,,4,0
AXA Business Services Pvt. Ltd.,2002,1997,1,1,30,87,30,,0,,0,0,1,,0,,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,200,1,0,1,0,0,1,0,0,0,0,,,,,,3,0
AXA Business Services Pvt. Ltd.,2003,1997,1,0,266,420,266,420,0,355.24,0,0,0,,0,,0,,,,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,404,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0
AXS Online (P) Limited,2003,2000,1,0,77.5,100,0.1,1,77.4,5,0,1,0,2000,0,,0,,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,50,0,0,0,0,1,0,0,1,1,0,,,,,,3,0
Aalayance eCom Services Pvt. Ltd.,2002,1999,1,0,47.2,,47.2,100,0,10.5,0,0,0,,0,,0,1,9,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,53,14,1,1,0,0,0,0,0,0,1,0,,,,,,3,0
Aalayance eCom Services Pvt. Ltd.,2003,1999,1,0,92.6,,5.28,7,87.32,,0,0,0,,0,,0,,,,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,85,25,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,6,0
Abacus Computers,1994,1984,1,1,3.58,,0.062,,3.518,14.2,0,0,0,,0,,0,4,,,2,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,,,,,,2,0
Abacus Computers,1995,1984,1,1,,,,,,,0,0,0,,0,,0,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,4,0
Abacus Computers,1997,1984,1,1,,,,,,29,0,0,0,,0,,0,0,,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,4,0
AccPac India Private Limited,2003,2002,1,0,,,,,,210,0,0,0,,0,,0,,,,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,11,1,1,0,0,0,0,0,0,1,1,,,,,,4,0
Accel Software and Technologies Ltd.,2002,2000,1,0,35.07,80,1.83,30,33.24,1.8,1,0,0,,0,,0,4,0,4,3,2,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,154,52,1,1,1,1,0,1,1,1,1,1,,,,,,9,0
Accel Software and Technologies Ltd.,2003,2000,1,0,58.52,80,10.51,30,48.01,4.65,1,0,1,2000,0,,0,,,,9,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,190,45,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,6,0
Accel Tree Software Private limited,2003,2002,1,0,,23.7,,12.45,,14,0,0,0,,0,,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,0,0,0,0,0,0,0,,,,,,1,0
Access Computer Services,1997,1994,1,0,2.5,,0.1,,2.4,0.5,0,0,0,,0,,0,0,,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,1,1,1,0,0,0,0,0,0,0,,,,,,3,0
Access Computer Services,1998,1994,1,0,2.5,,0.1,,2.4,0.5,0,0,0,,0,,0,1,0,3,4,,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,5,0
Access Computer Services,1999,1994,1,0,1.42,2.3,0.16,1.5,1.26,0.7,0,0,0,,0,,0,2,0,2,4,,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,7,4,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,5,0
Access Computer Services,2001,1994,1,0,2.5,5,1,2,1.5,0.7,0,0,0,,0,,0,3,0,1,3,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,5,0
Acsys Software (India) Pvt. Ltd.,1997,1996,1,0,9.9,,9.9,,0,1.5,0,0,0,,0,,0,4,0,0,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,1,1,1,1,1,0,0,0,0,1,,,,,,6,0
Acsys Software (India) Pvt. Ltd.,1998,1996,1,0,9.9,,9.9,,0,1.5,0,0,0,,0,,0,4,0,0,3,,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,6,0
Acsys Software (India) Pvt. Ltd.,2002,1996,1,0,40,50,30,40,10,7.5,0,0,0,,0,,0,4,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,40,5,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,6,0
Acsys Software (India) Pvt. Ltd.,2003,1996,1,0,33.4,27,24,9.5,9.4,7.5,0,0,0,,0,,0,,,,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0
Acumen Software Technologies Ltd.,2003,1998,1,1,8,2,8,,8,16.98,0,1,0,2000,0,,0,,,,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42,6,0,1,0,0,0,0,0,0,1,1,,,,,,3,0
Ada Software & Services Pvt. Ltd.,1994,1991,1,0,6.3,6.3,6.3,,0,1.2,0,0,0,,0,,0,9,,,3,,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73,7,1,1,1,1,1,1,0,0,0,0,,,,,,6,0
Ada Software & Services Pvt. Ltd.,1995,1991,1,0,,,,,,,0,0,0,,0,,0,,,,,,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,8,0
Ada Software & Services Pvt. Ltd.,1997,1991,1,0,12,,12,,0,2,0,0,0,,0,,0,0,,0,,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,15,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,9,0
Ada Software & Services Pvt. Ltd.,1998,1991,1,0,12,,12,,0,2,0,0,0,,0,,0,5,2,3,4,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75,15,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,9,0
Ada Software & Services Pvt. Ltd.,1999,1991,1,0,13.2,14,13.2,14,0,2.01,0,0,0,,0,,0,6,2,7,9,,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,60,15,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,9,0
Ada Software & Services Pvt. Ltd.,2001,1991,1,0,14.56,20,14.56,20,0,2.1,0,0,0,,0,,0,5,2,4,9,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,80,15,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,7,0
Adam Compro,1994,1989,1,0,,,,,,,0,0,0,,0,,0,4,,,0,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,1,1,1,0,1,0,1,0,0,0,,,,,,5,0
Adam Comsoft Limited,1994,1991,1,0,,,,,,,0,0,0,,0,,0,1,,,0,,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,25,1,1,0,0,0,1,0,0,0,1,,,,,,4,0
Adam Comsoft Limited,1995,1989,1,0,,,,,,,0,0,0,,0,,0,,,,,,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4,0
Adam Comsoft Limited,1997,1991,1,0,,,,,,,0,0,0,,0,,0,1,,0,,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,20,25,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,4,0
Adam Comsoft Limited,2001,1991,1,1,130,145,5,50,125,83,0,0,0,,0,,0,3,2,1,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,5,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,4,0
Adam Comsoft Limited,2002,1991,1,1,130,145,5,50,125,83,0,0,0,,0,,0,7,2,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,30,15,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,6,0
Aditi Technologies Pvt. Ltd.,1997,1994,1,0,738,850,738,850,0,162.48,0,0,0,,0,,0,1,0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,268,31,1,1,1,1,1,1,0,0,1,0,,,,,,7,0
Aditi Technologies Pvt. Ltd.,1998,1994,1,0,48.4,,48.4,,0,20.1,0,0,0,,0,,0,0,0,3,3,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,120,32,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,7,0
Aditi Technologies Pvt. Ltd.,1999,1994,1,0,73.7,116.8,72,114.3,1.7,40,0,0,0,,0,,0,1,0,2,3,,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,34,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0
Aditi Technologies Pvt. Ltd.,2001,1994,1,0,,,,,,,0,0,0,,0,,0,1,0,4,4,,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,275,50,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0
Aditi Technologies Pvt. Ltd.,2002,1994,1,0,738,850,738,850,0,162.48,0,0,0,,0,,0,1,0,3,3,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,268,31,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,8,0
Aditi Technologies Pvt. Ltd.,2003,1994,1,0,600,850,550,700,50,160,0,1,0,2000,0,,0,,,,8,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,170,40,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,4,0
Adobe Systems India Pvt. Ltd.,1999,1997,0,0,8.32,50,8.32,47.5,0,3.6,0,0,0,,0,,0,6,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,28,4,0,1,0,0,0,0,0,0,1,1,,,,,,3,0
Adobe Systems India Pvt. Ltd.,2001,1997,0,0,80,120,73.8,110,6.2,3.6,0,0,0,,0,,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,50,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
Adobe Systems India Pvt. Ltd.,2002,1997,0,0,139.7,175,122.4,150,17.3,3.6,0,0,0,,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,73,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
Adroit Computer Technique Pvt. Ltd.,1999,1988,1,0,6.45,17,2.2,14.8,4.25,20,0,0,0,,0,,0,4,0,7,2,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,60,8,1,1,0,0,0,0,0,0,1,1,,,,,,4,0
Adroit Computer Technique Pvt. Ltd.,2001,1988,1,0,40,200,4.1,150,35.9,20,0,0,0,,0,,0,4,0,1,3,,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,75,21,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,9,0
