idnumber,salary,educ,salbegin,gender,minority,jobcat,male,logsal
119,25200,12,14100,0,0,clerical,0,10.1346
368,17000,12,9000,0,1,clerical,0,9.740969
82,21000,12,14250,0,1,clerical,0,9.952278
229,17250,12,10200,0,0,clerical,0,9.755568
440,24150,8,12750,0,0,clerical,0,10.09204
313,21300,12,11250,0,0,clerical,0,9.966462
47,30000,12,16500,0,0,clerical,0,10.30895
90,16200,8,9750,0,0,clerical,0,9.692766
141,35550,15,13350,0,0,clerical,0,10.4787
168,46875,16,17250,0,0,managerial,0,10.75524
166,21900,12,9750,0,0,clerical,0,9.994242
165,33300,15,13500,0,0,clerical,0,10.41331
240,54375,16,18750,0,0,managerial,0,10.90366
359,19950,12,10200,0,0,clerical,0,9.900985
401,22800,12,11250,0,0,clerical,0,10.03452
249,25500,12,12000,0,0,clerical,0,10.14643
196,20000,16,12000,0,1,clerical,0,9.903487
413,43500,16,19500,0,0,managerial,0,10.68052
444,24450,12,15750,0,0,clerical,0,10.10439
246,24900,12,11250,0,0,clerical,0,10.12262
393,27900,12,12450,0,0,clerical,0,10.23638
154,20850,12,12000,0,0,clerical,0,9.945109
222,27750,15,19500,0,0,clerical,0,10.23099
400,23850,12,12750,0,0,clerical,0,10.07954
21,38850,16,15000,0,0,clerical,0,10.56746
209,19800,8,10200,0,0,clerical,0,9.893437
322,22500,12,14250,0,0,clerical,0,10.02127
364,17400,12,10200,0,1,clerical,0,9.764226
262,24300,12,10950,0,0,clerical,0,10.09823
405,19650,12,13950,0,1,clerical,0,9.885833
176,35700,16,17250,0,0,clerical,0,10.48291
462,34410,16,19500,0,0,managerial,0,10.4461
466,23400,12,13500,0,0,clerical,0,10.06049
380,21000,12,13500,0,0,clerical,0,9.952278
172,29850,15,15000,0,1,clerical,0,10.30394
331,24450,12,12000,0,0,clerical,0,10.10439
182,18450,12,10200,0,1,clerical,0,9.82282
79,34800,16,14550,0,0,clerical,0,10.45737
259,19650,12,11250,0,0,clerical,0,9.885833
74,33900,15,19500,0,0,clerical,0,10.43117
351,27900,12,13500,0,0,clerical,0,10.23638
410,25200,8,18750,0,0,clerical,0,10.1346
76,29250,15,11550,0,0,clerical,0,10.28364
342,24450,12,14250,0,1,clerical,0,10.10439
411,16200,12,10200,0,0,clerical,0,9.692766
143,24450,12,13200,0,0,clerical,0,10.10439
181,15000,12,10200,0,1,clerical,0,9.615806
367,16950,12,10200,0,1,clerical,0,9.738023
122,32550,15,13500,0,0,clerical,0,10.39053
41,17000,12,10500,0,1,clerical,0,9.740969
20,26250,12,11550,0,0,clerical,0,10.17542
178,17100,12,10200,0,0,clerical,0,9.746834
402,20700,12,11250,0,0,clerical,0,9.937889
265,23400,12,11250,0,0,clerical,0,10.06049
78,22950,12,10500,0,0,clerical,0,10.04107
448,16350,12,10200,0,1,clerical,0,9.701983
195,26400,12,12750,0,1,clerical,0,10.18112
36,31350,8,11250,0,0,clerical,0,10.35297
58,26400,15,13500,0,0,clerical,0,10.18112
404,20000,12,10000,0,1,clerical,0,9.903487
93,25950,12,10950,0,0,clerical,0,10.16393
3,21450,12,12000,0,0,clerical,0,9.97348
23,15000,15,7200,0,1,clerical,0,9.615806
442,29700,12,13500,0,0,clerical,0,10.2989
140,22350,12,13500,0,0,clerical,0,10.01458
40,19200,15,9000,0,1,clerical,0,9.862665
345,22200,12,16500,0,0,clerical,0,10.00785
474,29400,12,14250,0,0,clerical,0,10.28875
8,21900,12,9750,0,0,clerical,0,9.994242
94,24600,12,10050,0,0,clerical,0,10.1105
253,17100,8,9200,0,1,clerical,0,9.746834
108,21000,12,11550,0,0,clerical,0,9.952278
80,51000,16,18000,0,0,clerical,0,10.83958
461,21600,8,13500,0,0,clerical,0,9.980449
354,20550,12,11250,0,1,clerical,0,9.930616
321,22050,12,12000,0,0,clerical,0,10.00107
10,24000,12,13500,0,0,clerical,0,10.08581
251,23100,12,11250,0,0,clerical,0,10.04759
180,17000,12,12750,0,1,clerical,0,9.740969
118,31650,12,14250,0,0,clerical,0,10.36249
378,15750,8,10200,0,0,clerical,0,9.664596
278,20850,8,12000,0,0,clerical,0,9.945109
75,24150,15,11550,0,0,clerical,0,10.09204
191,16500,12,10200,0,0,clerical,0,9.711116
247,19650,12,10950,0,0,clerical,0,9.885833
460,22500,12,12750,0,0,clerical,0,10.02127
148,19000,15,11100,0,1,clerical,0,9.852194
158,24000,12,12000,0,1,clerical,0,10.08581
135,26250,12,10950,0,0,clerical,0,10.17542
4,21900,8,13200,0,0,clerical,0,9.994242
46,22350,15,12750,0,0,clerical,0,10.01458
260,22350,12,11250,0,0,clerical,0,10.01458
403,21300,12,11250,0,1,clerical,0,9.966462
124,38550,16,16500,0,0,clerical,0,10.55971
237,22650,12,11250,0,0,clerical,0,10.02792
350,37650,12,15750,0,0,clerical,0,10.53609
311,22500,12,12000,0,0,clerical,0,10.02127
325,16800,8,10200,0,0,clerical,0,9.729135
468,55750,16,19980,0,0,managerial,0,10.92863
340,21750,8,12450,0,0,clerical,0,9.987369
365,21450,8,10200,0,1,clerical,0,9.97348
425,20850,12,13500,0,0,clerical,0,9.945109
244,22500,8,10950,0,0,clerical,0,10.02127
360,29400,12,15300,0,0,clerical,0,10.28875
314,29850,12,13500,0,0,clerical,0,10.30394
261,23400,12,11250,0,0,clerical,0,10.06049
73,26400,12,10500,0,0,clerical,0,10.18112
299,32550,15,18000,0,0,clerical,0,10.39053
153,26700,12,12900,0,0,clerical,0,10.19242
279,24450,12,12000,0,0,clerical,0,10.10439
239,27750,12,11225,0,0,clerical,0,10.23099
277,43000,16,17490,0,0,managerial,0,10.66896
221,24000,12,13800,0,0,clerical,0,10.08581
121,18750,15,10500,0,0,clerical,0,9.838949
95,28500,12,10500,0,0,clerical,0,10.25766
243,23100,12,10950,0,0,clerical,0,10.04759
312,25650,12,14250,0,0,clerical,0,10.1523
164,29400,15,16500,0,0,clerical,0,10.28875
99,20000,12,8500,0,1,clerical,0,9.903487
395,22650,12,11250,0,0,clerical,0,10.02792
337,26100,12,11550,0,0,clerical,0,10.16969
91,20100,12,11250,0,0,clerical,0,9.908475
215,19200,12,11100,0,1,clerical,0,9.862665
467,32850,16,19500,0,0,clerical,0,10.39971
264,19950,12,11250,0,0,clerical,0,9.900985
9,27900,15,12750,0,0,clerical,0,10.23638
366,20000,12,12000,0,1,clerical,0,9.903487
77,27600,12,11400,0,0,clerical,0,10.22557
120,37800,16,15750,0,0,managerial,0,10.54006
11,30300,16,16500,0,0,clerical,0,10.3189
370,36600,16,18000,0,0,clerical,0,10.5078
190,29100,8,16500,0,0,clerical,0,10.27849
167,18150,12,9750,0,0,clerical,0,9.806426
285,30750,8,15750,1,0,custodial,1,10.33364
415,31950,15,15750,1,1,clerical,1,10.37193
317,27750,12,11550,1,1,clerical,1,10.23099
445,28050,15,16500,1,1,clerical,1,10.24174
198,70875,19,43500,1,0,managerial,1,11.16867
290,51450,18,36240,1,0,managerial,1,10.84837
169,25500,12,14400,1,1,clerical,1,10.14643
51,35550,12,15000,1,0,clerical,1,10.4787
286,40050,15,25500,1,0,managerial,1,10.59788
216,30150,15,15750,1,0,clerical,1,10.31394
210,30600,15,16500,1,1,clerical,1,10.32876
273,30000,12,15750,1,0,custodial,1,10.30895
257,61875,19,36750,1,0,managerial,1,11.03287
156,26700,15,15000,1,1,clerical,1,10.19242
71,82500,17,34980,1,0,managerial,1,11.32055
336,47250,16,21240,1,0,managerial,1,10.76321
422,27150,15,16500,1,0,clerical,1,10.20913
316,27750,15,15000,1,1,clerical,1,10.23099
38,31350,15,15000,1,1,clerical,1,10.35297
219,25350,12,15000,1,0,clerical,1,10.14053
202,39600,15,16500,1,0,clerical,1,10.58658
464,47550,19,33000,1,0,managerial,1,10.76954
320,22050,12,15000,1,0,clerical,1,10.00107
455,43650,16,19500,1,0,managerial,1,10.68396
146,43950,18,23250,1,1,clerical,1,10.69081
173,69250,20,42480,1,0,managerial,1,11.14548
112,30750,12,15000,1,1,custodial,1,10.33364
429,30000,8,15750,1,1,custodial,1,10.30895
137,65000,21,37500,1,0,managerial,1,11.08214
283,68125,19,32010,1,0,managerial,1,11.1291
34,92000,19,39990,1,0,managerial,1,11.42954
355,25950,15,17250,1,0,clerical,1,10.16393
13,27750,15,14250,1,1,clerical,1,10.23099
414,30300,8,15750,1,1,custodial,1,10.3189
254,68125,18,32490,1,0,managerial,1,11.1291
387,65000,19,31980,1,0,managerial,1,11.08214
150,25800,12,15000,1,0,clerical,1,10.15813
29,135000,19,79980,1,0,managerial,1,11.81303
353,31200,12,15750,1,1,custodial,1,10.34817
45,30750,12,13500,1,0,custodial,1,10.33364
114,37800,14,16500,1,0,clerical,1,10.54006
356,28350,15,15000,1,0,clerical,1,10.25238
389,66875,19,32490,1,0,managerial,1,11.11058
433,33540,12,15750,1,0,clerical,1,10.42049
434,34950,16,20250,1,0,clerical,1,10.46167
386,28500,8,15750,1,0,custodial,1,10.25766
381,27000,17,18000,1,1,clerical,1,10.20359
69,56550,16,25000,1,0,managerial,1,10.94288
269,40200,15,17250,1,0,clerical,1,10.60162
127,30750,12,15000,1,1,custodial,1,10.33364
456,75000,19,42510,1,0,managerial,1,11.22524
65,21900,8,14550,1,0,clerical,1,9.994242
5,45000,15,21000,1,0,clerical,1,10.71442
252,25500,12,11400,1,1,clerical,1,10.14643
457,31650,15,14250,1,0,clerical,1,10.36249
374,29400,15,15750,1,0,clerical,1,10.28875
200,67500,17,34980,1,0,managerial,1,11.11988
372,21300,15,15750,1,0,clerical,1,9.966462
175,26250,8,15600,1,0,clerical,1,10.17542
373,22500,12,16500,1,0,clerical,1,10.02127
53,73750,18,26250,1,0,managerial,1,11.20844
308,34500,15,18000,1,0,clerical,1,10.44871
435,40350,15,16500,1,0,clerical,1,10.60535
417,37800,15,15000,1,0,clerical,1,10.54006
26,31050,15,12600,1,0,clerical,1,10.34335
438,32400,15,15000,1,0,clerical,1,10.38591
407,30300,15,15750,1,0,clerical,1,10.3189
275,33900,12,16500,1,0,clerical,1,10.43117
33,42000,15,15000,1,0,clerical,1,10.64542
258,21300,8,11550,1,0,clerical,1,9.966462
430,66250,19,34980,1,1,managerial,1,11.10119
301,31500,12,13500,1,1,clerical,1,10.35774
451,28500,15,14250,1,0,clerical,1,10.25766
427,26250,8,16050,1,1,clerical,1,10.17542
19,42300,12,14250,1,0,clerical,1,10.65254
377,25350,15,15750,1,0,clerical,1,10.14053
428,31950,15,15750,1,1,clerical,1,10.37193
17,46000,15,14250,1,0,clerical,1,10.7364
52,45150,15,15000,1,0,clerical,1,10.71775
385,30000,12,15750,1,0,custodial,1,10.30895
67,46000,16,21240,1,0,managerial,1,10.7364
436,30270,12,15750,1,0,clerical,1,10.31791
217,34620,16,27750,1,0,clerical,1,10.45219
12,28350,8,12000,1,1,clerical,1,10.25238
287,40350,16,19500,1,0,clerical,1,10.60535
292,25950,14,15000,1,0,clerical,1,10.16393
454,90625,19,31250,1,0,managerial,1,11.41448
136,22200,12,15000,1,0,clerical,1,10.00785
204,33150,15,16500,1,0,clerical,1,10.4088
100,78250,18,27480,1,0,managerial,1,11.26766
49,34800,15,16500,1,0,clerical,1,10.45737
406,60000,17,32490,1,0,managerial,1,11.0021
408,61250,19,33000,1,0,managerial,1,11.02272
431,86250,18,45000,1,0,managerial,1,11.36501
27,60375,19,27480,1,0,managerial,1,11.00833
302,22350,8,15000,1,1,clerical,1,10.01458
307,50000,16,32490,1,0,managerial,1,10.81978
344,35700,12,16500,1,0,clerical,1,10.48291
341,59400,12,33750,1,1,managerial,1,10.99205
106,91250,19,29490,1,0,managerial,1,11.42136
218,80000,15,15750,1,0,clerical,1,11.28978
2,40200,16,18750,1,0,clerical,1,10.60162
432,30750,12,15000,1,0,clerical,1,10.33364
111,30750,12,9000,1,1,custodial,1,10.33364
296,26850,12,15000,1,0,clerical,1,10.19802
295,24000,8,15750,1,0,clerical,1,10.08581
132,27300,12,17250,1,0,clerical,1,10.21464
376,29850,15,15750,1,0,clerical,1,10.30394
291,35250,12,15750,1,0,custodial,1,10.47022
288,38700,15,23730,1,0,managerial,1,10.56359
309,26250,15,15750,1,0,clerical,1,10.17542
284,73500,19,33000,1,0,managerial,1,11.20504
113,54875,16,27480,1,0,managerial,1,10.91281
116,30300,15,16500,1,0,clerical,1,10.3189
203,29100,12,15000,1,0,clerical,1,10.27849
453,24450,15,15750,1,0,clerical,1,10.10439
420,70000,19,35040,1,0,managerial,1,11.15625
64,53125,16,21000,1,0,managerial,1,10.8804
447,49000,15,20550,1,1,clerical,1,10.79958
270,28650,15,18000,1,0,clerical,1,10.26291
115,33450,15,14100,1,0,clerical,1,10.41781
303,35250,12,15750,1,1,custodial,1,10.47022
192,19650,12,12750,1,1,clerical,1,9.885833
326,29550,8,15750,1,1,custodial,1,10.29384
293,25050,15,14250,1,0,clerical,1,10.12863
133,27000,15,15750,1,0,clerical,1,10.20359
281,34500,8,15750,1,1,custodial,1,10.44871
470,26250,12,15750,1,1,clerical,1,10.17542
294,26700,12,12750,1,0,clerical,1,10.19242
220,29850,12,15750,1,0,clerical,1,10.30394
186,37500,15,20400,1,0,clerical,1,10.5321
44,29250,8,14250,1,0,clerical,1,10.28364
60,30900,12,15000,1,1,clerical,1,10.33851
55,27000,12,15000,1,0,clerical,1,10.20359
96,30750,8,15000,1,1,custodial,1,10.33364
449,70000,16,21750,1,0,managerial,1,11.15625
28,32550,15,14250,1,0,clerical,1,10.39053
234,50550,15,19500,1,0,clerical,1,10.83072
343,103500,16,60000,1,0,managerial,1,11.54733
155,35250,15,15000,1,1,clerical,1,10.47022
145,26700,12,13500,1,1,clerical,1,10.19242
310,44875,16,21240,1,0,clerical,1,10.71164
130,59375,20,30000,1,0,managerial,1,10.99163
233,26550,15,15000,1,0,clerical,1,10.18678
369,28050,14,15000,1,0,clerical,1,10.24174
335,31950,8,15750,1,0,custodial,1,10.37193
446,100000,16,44100,1,1,managerial,1,11.51293
416,35250,15,13500,1,0,clerical,1,10.47022
97,40200,17,19500,1,1,clerical,1,10.60162
7,36000,15,18750,1,0,clerical,1,10.49127
213,30750,8,15000,1,1,custodial,1,10.33364
179,25200,12,13050,1,1,clerical,1,10.1346
328,55000,18,32490,1,0,managerial,1,10.91509
274,83750,16,21750,1,0,managerial,1,11.33559
170,26550,12,15000,1,1,clerical,1,10.18678
174,31950,8,15000,1,0,custodial,1,10.37193
207,27300,15,17250,1,0,clerical,1,10.21464
56,26850,15,13500,1,0,clerical,1,10.19802
201,29340,12,19500,1,0,clerical,1,10.28671
199,51250,16,27480,1,0,managerial,1,10.84447
126,24300,15,15000,1,1,custodial,1,10.09823
197,54900,15,25500,1,0,managerial,1,10.91327
171,26700,12,13500,1,1,clerical,1,10.19242
231,40200,16,21000,1,0,managerial,1,10.60162
16,40800,12,15000,1,0,clerical,1,10.61644
109,30450,12,15000,1,1,clerical,1,10.32384
421,33900,15,15750,1,0,clerical,1,10.43117
306,30750,15,16500,1,0,clerical,1,10.33364
138,30900,12,15000,1,0,clerical,1,10.33851
184,38850,15,15000,1,0,clerical,1,10.56746
409,36000,19,19500,1,0,clerical,1,10.49127
211,28950,15,15000,1,1,clerical,1,10.27333
471,26400,15,15750,1,1,clerical,1,10.18112
282,27900,14,15000,1,1,clerical,1,10.23638
185,30750,8,15000,1,0,custodial,1,10.33364
256,52125,19,27480,1,0,managerial,1,10.8614
163,30900,15,15000,1,0,clerical,1,10.33851
162,45625,16,23250,1,0,managerial,1,10.72821
161,52650,16,19500,1,0,clerical,1,10.87142
160,66000,16,47490,1,0,managerial,1,11.09741
272,66875,18,31980,1,0,clerical,1,11.11058
329,62500,18,34980,1,0,managerial,1,11.04292
452,28800,12,18000,1,0,clerical,1,10.26813
289,65000,17,30750,1,0,managerial,1,11.08214
255,30600,12,15750,1,0,custodial,1,10.32876
31,36150,12,14250,1,0,clerical,1,10.49543
110,28350,15,18000,1,1,clerical,1,10.25238
230,22500,15,15000,1,1,clerical,1,10.02127
125,27450,12,15000,1,1,clerical,1,10.22012
103,97000,19,35010,1,0,managerial,1,11.48247
70,41100,15,20250,1,0,clerical,1,10.62376
206,33750,12,15000,1,0,custodial,1,10.42674
458,61875,19,28740,1,0,managerial,1,11.03287
363,35700,16,18000,1,1,clerical,1,10.48291
1,57000,15,27000,1,0,managerial,1,10.95081
235,75000,19,31500,1,0,managerial,1,11.22524
276,56500,16,21000,1,0,managerial,1,10.942
152,30750,8,15000,1,0,custodial,1,10.33364
212,38400,15,16500,1,1,clerical,1,10.55581
388,30150,14,16500,1,0,clerical,1,10.31394
89,68750,19,27480,1,0,managerial,1,11.13823
450,55000,19,34980,1,0,managerial,1,10.91509
104,27450,15,15750,1,0,clerical,1,10.22012
102,39900,14,15750,1,0,clerical,1,10.59413
101,60625,16,22500,1,0,managerial,1,11.01246
59,28050,15,14250,1,1,clerical,1,10.24174
32,110625,19,45000,1,0,managerial,1,11.6139
187,58750,16,21750,1,0,managerial,1,10.98105
151,42300,16,26250,1,0,managerial,1,10.65254
419,29400,15,16500,1,0,clerical,1,10.28875
232,55500,19,33750,1,0,managerial,1,10.92414
85,25950,15,17100,1,0,clerical,1,10.16393
305,30750,12,15750,1,0,custodial,1,10.33364
383,78500,17,28740,1,1,managerial,1,11.27085
6,32100,15,13500,1,0,clerical,1,10.37661
15,27300,12,13500,1,0,clerical,1,10.21464
205,66750,16,52500,1,0,managerial,1,11.10871
131,31500,15,15750,1,0,clerical,1,10.35774
271,27750,15,16500,1,0,clerical,1,10.23099
68,45250,16,21480,1,0,managerial,1,10.71996
66,78125,19,30000,1,0,managerial,1,11.26607
98,30000,8,15000,1,1,custodial,1,10.30895
382,24000,12,15750,1,1,clerical,1,10.08581
54,25050,12,13500,1,0,clerical,1,10.12863
63,55000,17,26250,1,0,managerial,1,10.91509
61,22500,8,9750,1,1,clerical,1,10.02127
300,26550,16,15000,1,1,clerical,1,10.18678
86,31650,15,15750,1,0,clerical,1,10.36249
129,68750,17,27510,1,0,managerial,1,11.13823
330,27300,15,17250,1,0,clerical,1,10.21464
18,103750,16,27510,1,0,managerial,1,11.54974
183,39300,15,15750,1,0,clerical,1,10.57898
42,35100,15,16500,1,0,clerical,1,10.46596
30,31200,15,14250,1,0,clerical,1,10.34817
39,36000,16,15000,1,1,clerical,1,10.49127
319,43410,15,15750,1,0,clerical,1,10.67844
35,81250,17,30000,1,0,managerial,1,11.30529
327,26700,12,15750,1,1,clerical,1,10.19242
57,33900,15,15750,1,0,clerical,1,10.43117
149,27600,12,15000,1,0,clerical,1,10.22557
268,22350,12,15000,1,1,clerical,1,10.01458
418,31200,15,15750,1,0,clerical,1,10.34817
43,23250,12,14250,1,0,clerical,1,10.05406
50,60000,16,23730,1,0,managerial,1,11.0021
22,21750,12,12750,1,1,clerical,1,9.987369
465,33900,12,16500,1,0,clerical,1,10.43117
375,27450,12,14700,1,0,clerical,1,10.22012
472,39150,15,15750,1,0,clerical,1,10.57516
105,31650,15,13500,1,0,clerical,1,10.36249
48,30750,12,14100,1,0,custodial,1,10.33364
87,24150,12,14100,1,0,clerical,1,10.09204
426,33300,16,17490,1,1,clerical,1,10.41331
37,29100,12,13500,1,1,clerical,1,10.27849
147,23700,15,13500,1,1,clerical,1,10.07323
62,48000,16,21750,1,0,managerial,1,10.77896
318,48750,16,21990,1,0,managerial,1,10.79446
88,72500,19,28740,1,0,managerial,1,11.19134
437,26250,8,16050,1,0,clerical,1,10.17542
