country,pop,birth,death,chldmort,infmort,life,food,energy,gnpcap,gnpgro,urban,school1,school2,school3
Haiti,5.9,35,13,22,123,54,1855,55,310,0.7,27,76,16,1
Honduras,4.4,42,9,7,76,62,2211,201,720,0.4,39,102,33,9
HongKong,5.4,14,5,0,9,76,2698,1264,6230,6.1,93,105,69,13
Hungary,10.6,12,14,1,20,71,3482,2974,1950,5.8,55,99,73,15
India,765.1,33,12,11,89,56,2189,201,270,1.7,25,90,34,9
Indonesi,162.2,32,12,12,96,55,2533,219,530,4.8,25,118,39,7
Ireland,3.6,19,9,0,10,74,3831,2627,4850,2.2,57,97,93,22
Israel,4.2,23,7,0,14,75,3060,1949,4990,2.5,90,98,74,34
Italy,57.1,10,9,0,12,77,3538,2606,6520,2.6,67,99,74,26
IvoryCoa,10.1,45,14,15,105,53,2505,166,660,0.9,45,77,20,2
Jamaica,2.2,25,6,1,20,73,2585,954,940,-0.7,53,106,58,6
Japan,120.8,13,6,0,6,77,2856,3116,11300,4.7,76,100,95,30
Jordan,3.5,39,7,3,49,65,2947,771,1560,5.8,69,99,79,37
Kenya,20.4,54,13,16,91,54,2151,103,290,1.9,20,97,19,1
Kuwait,1.7,34,3,1,22,72,3138,4569,14480,-0.3,92,103,82,16
Lesotho,1.5,41,14,14,106,54,2358,,470,6.5,17,111,21,2
Liberia,2.2,49,16,23,127,50,2311,345,470,-1.4,37,76,23,2
Libya,3.8,45,10,10,90,60,3612,3042,7170,-1.3,60,,,11
Madagasc,10.2,47,15,21,109,52,2469,33,240,-1.9,21,121,36,5
Malawi,7,54,22,35,156,45,2448,39,170,1.5,,62,4,1
Malaysia,15.6,30,6,2,28,68,2684,826,2000,4.4,38,97,53,6
Mali,7.5,48,20,43,174,46,1788,25,150,1.4,20,,,1
Mauritan,1.7,45,19,25,132,47,2078,127,420,0.1,31,37,12,
Mauritiu,1,20,7,1,25,66,2740,311,1090,2.7,54,106,51,1
Mexico,78.8,33,7,3,50,67,3177,1290,2080,2.7,69,116,55,15
Morocco,21.9,36,11,10,90,59,2678,237,560,2.2,44,80,31,8
Mozambiq,13.8,45,18,22,123,47,1678,86,160,,19,83,6,
Nepal,16.5,43,18,20,133,47,2034,17,160,0.1,7,77,23,5
Netherla,14.5,12,8,0,8,77,3343,5138,9290,2,88,95,102,31
NewZeala,3.3,16,8,0,11,74,3386,3823,7010,1.4,83,106,85,29
Nicaragu,3.3,43,10,6,69,59,2425,259,770,-2.1,56,99,43,11
Niger,6.4,51,21,28,140,44,2250,48,250,-2.1,15,28,7,1
Nigeria,99.7,50,16,21,109,50,2038,165,800,2.2,30,92,29,3
Norway,4.2,12,10,0,8,77,3432,8920,14370,3.3,73,97,96,29
Oman,1.2,44,13,17,109,54,,2683,6730,5.7,9,83,30,
Pakistan,96.2,44,15,16,115,51,2159,218,380,2.6,29,42,15,2
Panama,2.2,26,5,1,25,72,2419,634,2100,2.5,50,105,59,25
PapuaNG,3.5,37,13,7,68,52,2181,235,680,0.4,14,61,11,2
Paraguay,3.7,35,7,2,43,66,2796,281,860,3.9,41,101,31,10
Peru,18.6,33,11,11,94,59,2171,543,1010,0.2,68,116,61,22
Philippi,54.7,33,8,4,48,63,2341,255,580,2.3,39,107,68,29
Poland,37.2,19,10,1,19,72,3280,3438,2050,,60,101,77,16
Portugal,10.2,14,9,1,19,74,3161,1312,1970,3.3,31,120,47,12
Rwanda,6,52,19,26,127,48,1919,43,280,1.8,5,62,2,
S_Africa,32.4,37,13,7,78,55,2979,2184,2010,1.1,56,,,
S_Korea,41.1,21,6,2,27,69,2841,1241,2150,6.6,64,99,91,26
SauArabi,11.5,42,8,4,61,62,3128,3653,8850,5.3,72,68,38,10
Senegal,6.6,46,19,27,137,47,2342,110,370,-0.6,36,55,13,2
SierraLe,3.7,48,25,43,175,40,1817,82,350,1.1,25,45,14,1
Singapor,2.6,17,5,0,9,73,2771,2165,7420,7.6,100,115,71,12
Somalia,5.4,49,20,33,152,46,2072,82,280,-0.7,34,25,17,1
Spain,38.6,13,7,0,10,77,3358,1932,4290,2.6,77,108,89,26
SriLanka,15.8,25,6,2,36,70,2385,139,380,2.9,21,103,61,4
Sudan,21.9,45,17,18,112,48,1737,61,300,,21,49,19,2
Sweden,8.4,11,11,0,6,77,3097,6482,11890,1.8,86,98,83,38
Switzerl,6.5,11,9,0,8,77,3432,3952,16370,1.4,60,,,21
Syria,10.5,44,8,4,54,64,3168,838,1570,4,49,107,59,16
Tanzania,22.2,50,15,22,110,52,2335,39,290,,14,87,3,
Thailand,51.7,26,8,3,43,64,2462,343,800,4,18,97,30,23
Togo,3,49,16,12,97,51,2236,47,230,0.3,23,97,21,2
TrinToba,1.2,25,7,1,22,69,3006,3641,6020,2.3,64,96,76,4
Tunisia,7.1,32,9,8,78,63,2836,546,1190,4,56,116,32,6
Turkey,50.2,30,8,9,84,64,3167,712,1080,2.6,46,113,38,9
U_K,56.5,13,12,0,9,75,3679,3603,8460,1.6,92,101,83,20
U_S_A,239.3,16,9,0,11,76,3663,7278,16690,1.7,74,101,95,57
UnArEmir,1.4,30,4,1,35,70,3625,5102,19270,,79,97,58,8
Uruguay,3,19,10,1,29,72,2695,745,1650,1.4,85,109,67,26
Venezuel,17.3,31,5,2,37,70,2583,2409,3080,0.5,85,109,45,23
W_German,61,10,11,0,10,75,3474,4451,10940,2.7,86,99,74,29
YemenAR,8,48,21,34,154,45,2250,117,550,5.3,19,67,10,1
YemenPDR,2.1,46,19,30,145,46,2337,750,530,,37,66,19,
Yugoslav,23.1,16,9,2,27,72,3602,1926,2070,4.1,45,98,82,20
Zaire,30.6,45,15,20,102,51,2154,73,170,-2.1,39,98,57,1
Zambia,6.7,49,15,15,84,52,2137,412,390,-1.6,48,100,17,2
Zimbabwe,8.4,47,12,7,77,57,2054,427,680,1.6,27,131,39,3
