"","idnumber","salary","educ","salbegin","gender","minority","jobcat","male","logsal"
"70",473,21450,12,12750,0,0,1,0,9.97348
"71",347,23100,12,12000,0,0,1,0,10.04759
"72",83,17000,12,9000,0,1,1,0,9.740969
"73",177,28500,12,16500,0,0,1,0,10.25766
"74",339,23700,8,10650,0,0,1,0,10.07323
"75",248,22050,12,10950,0,0,1,0,10.00107
"76",423,22200,12,13800,0,0,1,0,10.00785
"77",139,20100,8,13200,0,0,1,0,9.908475
"78",128,19650,12,9750,0,1,1,0,9.885833
"79",144,16650,8,9750,0,0,1,0,9.720165
"80",238,27300,12,11250,0,0,1,0,10.21464
"81",357,17700,8,10200,0,0,1,0,9.78132
"82",390,24150,15,13500,0,0,1,0,10.09204
"83",443,21600,8,13500,0,0,1,0,9.980449
"84",119,25200,12,14100,0,0,1,0,10.1346
"85",368,17000,12,9000,0,1,1,0,9.740969
"86",82,21000,12,14250,0,1,1,0,9.952278
"87",229,17250,12,10200,0,0,1,0,9.755568
"88",440,24150,8,12750,0,0,1,0,10.09204
"89",313,21300,12,11250,0,0,1,0,9.966462
"90",47,30000,12,16500,0,0,1,0,10.30895
"91",90,16200,8,9750,0,0,1,0,9.692766
"92",141,35550,15,13350,0,0,1,0,10.4787
"93",168,46875,16,17250,0,0,3,0,10.75524
"94",166,21900,12,9750,0,0,1,0,9.994242
"95",165,33300,15,13500,0,0,1,0,10.41331
"96",240,54375,16,18750,0,0,3,0,10.90366
"97",359,19950,12,10200,0,0,1,0,9.900985
"98",401,22800,12,11250,0,0,1,0,10.03452
"99",249,25500,12,12000,0,0,1,0,10.14643
"100",196,20000,16,12000,0,1,1,0,9.903487
"101",413,43500,16,19500,0,0,3,0,10.68052
"102",444,24450,12,15750,0,0,1,0,10.10439
"103",246,24900,12,11250,0,0,1,0,10.12262
"104",393,27900,12,12450,0,0,1,0,10.23638
"105",154,20850,12,12000,0,0,1,0,9.945109
"106",222,27750,15,19500,0,0,1,0,10.23099
"107",400,23850,12,12750,0,0,1,0,10.07954
"108",21,38850,16,15000,0,0,1,0,10.56746
"109",209,19800,8,10200,0,0,1,0,9.893437
"110",322,22500,12,14250,0,0,1,0,10.02127
"111",364,17400,12,10200,0,1,1,0,9.764226
"112",262,24300,12,10950,0,0,1,0,10.09823
"113",405,19650,12,13950,0,1,1,0,9.885833
"114",176,35700,16,17250,0,0,1,0,10.48291
"115",462,34410,16,19500,0,0,3,0,10.4461
"116",466,23400,12,13500,0,0,1,0,10.06049
"117",380,21000,12,13500,0,0,1,0,9.952278
"118",172,29850,15,15000,0,1,1,0,10.30394
"119",331,24450,12,12000,0,0,1,0,10.10439
"120",182,18450,12,10200,0,1,1,0,9.82282
"121",79,34800,16,14550,0,0,1,0,10.45737
"122",259,19650,12,11250,0,0,1,0,9.885833
"123",74,33900,15,19500,0,0,1,0,10.43117
"124",351,27900,12,13500,0,0,1,0,10.23638
"125",410,25200,8,18750,0,0,1,0,10.1346
"126",76,29250,15,11550,0,0,1,0,10.28364
"127",342,24450,12,14250,0,1,1,0,10.10439
"128",411,16200,12,10200,0,0,1,0,9.692766
"129",143,24450,12,13200,0,0,1,0,10.10439
"130",181,15000,12,10200,0,1,1,0,9.615806
"131",367,16950,12,10200,0,1,1,0,9.738023
"132",122,32550,15,13500,0,0,1,0,10.39053
"133",41,17000,12,10500,0,1,1,0,9.740969
"134",20,26250,12,11550,0,0,1,0,10.17542
"135",178,17100,12,10200,0,0,1,0,9.746834
"136",402,20700,12,11250,0,0,1,0,9.937889
"137",265,23400,12,11250,0,0,1,0,10.06049
"138",78,22950,12,10500,0,0,1,0,10.04107
"139",448,16350,12,10200,0,1,1,0,9.701983
"140",195,26400,12,12750,0,1,1,0,10.18112
"141",36,31350,8,11250,0,0,1,0,10.35297
"142",58,26400,15,13500,0,0,1,0,10.18112
"143",404,20000,12,10000,0,1,1,0,9.903487
"144",93,25950,12,10950,0,0,1,0,10.16393
"145",3,21450,12,12000,0,0,1,0,9.97348
"146",23,15000,15,7200,0,1,1,0,9.615806
"147",442,29700,12,13500,0,0,1,0,10.2989
"148",140,22350,12,13500,0,0,1,0,10.01458
"149",40,19200,15,9000,0,1,1,0,9.862665
"150",345,22200,12,16500,0,0,1,0,10.00785
"151",474,29400,12,14250,0,0,1,0,10.28875
"152",8,21900,12,9750,0,0,1,0,9.994242
"153",94,24600,12,10050,0,0,1,0,10.1105
"154",253,17100,8,9200,0,1,1,0,9.746834
"155",108,21000,12,11550,0,0,1,0,9.952278
"156",80,51000,16,18000,0,0,1,0,10.83958
"157",461,21600,8,13500,0,0,1,0,9.980449
"158",354,20550,12,11250,0,1,1,0,9.930616
"159",321,22050,12,12000,0,0,1,0,10.00107
"160",10,24000,12,13500,0,0,1,0,10.08581
"161",251,23100,12,11250,0,0,1,0,10.04759
"162",180,17000,12,12750,0,1,1,0,9.740969
"163",118,31650,12,14250,0,0,1,0,10.36249
"164",378,15750,8,10200,0,0,1,0,9.664596
"165",278,20850,8,12000,0,0,1,0,9.945109
"166",75,24150,15,11550,0,0,1,0,10.09204
"167",191,16500,12,10200,0,0,1,0,9.711116
"168",247,19650,12,10950,0,0,1,0,9.885833
"169",460,22500,12,12750,0,0,1,0,10.02127
"170",148,19000,15,11100,0,1,1,0,9.852194
"171",158,24000,12,12000,0,1,1,0,10.08581
"172",135,26250,12,10950,0,0,1,0,10.17542
"173",4,21900,8,13200,0,0,1,0,9.994242
"174",46,22350,15,12750,0,0,1,0,10.01458
"175",260,22350,12,11250,0,0,1,0,10.01458
"176",403,21300,12,11250,0,1,1,0,9.966462
"177",124,38550,16,16500,0,0,1,0,10.55971
"178",237,22650,12,11250,0,0,1,0,10.02792
"179",350,37650,12,15750,0,0,1,0,10.53609
"180",311,22500,12,12000,0,0,1,0,10.02127
"181",325,16800,8,10200,0,0,1,0,9.729135
"182",468,55750,16,19980,0,0,3,0,10.92863
"183",340,21750,8,12450,0,0,1,0,9.987369
"184",365,21450,8,10200,0,1,1,0,9.97348
"185",425,20850,12,13500,0,0,1,0,9.945109
"186",244,22500,8,10950,0,0,1,0,10.02127
"187",360,29400,12,15300,0,0,1,0,10.28875
"188",314,29850,12,13500,0,0,1,0,10.30394
"189",261,23400,12,11250,0,0,1,0,10.06049
"190",73,26400,12,10500,0,0,1,0,10.18112
"191",299,32550,15,18000,0,0,1,0,10.39053
"192",153,26700,12,12900,0,0,1,0,10.19242
"193",279,24450,12,12000,0,0,1,0,10.10439
"194",239,27750,12,11225,0,0,1,0,10.23099
"195",277,43000,16,17490,0,0,3,0,10.66896
"196",221,24000,12,13800,0,0,1,0,10.08581
"197",121,18750,15,10500,0,0,1,0,9.838949
"198",95,28500,12,10500,0,0,1,0,10.25766
"199",243,23100,12,10950,0,0,1,0,10.04759
"200",312,25650,12,14250,0,0,1,0,10.1523
"201",164,29400,15,16500,0,0,1,0,10.28875
"202",99,20000,12,8500,0,1,1,0,9.903487
"203",395,22650,12,11250,0,0,1,0,10.02792
"204",337,26100,12,11550,0,0,1,0,10.16969
"205",91,20100,12,11250,0,0,1,0,9.908475
"206",215,19200,12,11100,0,1,1,0,9.862665
"207",467,32850,16,19500,0,0,1,0,10.39971
"208",264,19950,12,11250,0,0,1,0,9.900985
"209",9,27900,15,12750,0,0,1,0,10.23638
"210",366,20000,12,12000,0,1,1,0,9.903487
"211",77,27600,12,11400,0,0,1,0,10.22557
"212",120,37800,16,15750,0,0,3,0,10.54006
"213",11,30300,16,16500,0,0,1,0,10.3189
"214",370,36600,16,18000,0,0,1,0,10.5078
"215",190,29100,8,16500,0,0,1,0,10.27849
"216",167,18150,12,9750,0,0,1,0,9.806426
"217",285,30750,8,15750,1,0,2,1,10.33364
"218",415,31950,15,15750,1,1,1,1,10.37193
"219",317,27750,12,11550,1,1,1,1,10.23099
"220",445,28050,15,16500,1,1,1,1,10.24174
"221",198,70875,19,43500,1,0,3,1,11.16867
"222",290,51450,18,36240,1,0,3,1,10.84837
"223",169,25500,12,14400,1,1,1,1,10.14643
"224",51,35550,12,15000,1,0,1,1,10.4787
"225",286,40050,15,25500,1,0,3,1,10.59788
"226",216,30150,15,15750,1,0,1,1,10.31394
"227",210,30600,15,16500,1,1,1,1,10.32876
"228",273,30000,12,15750,1,0,2,1,10.30895
"229",257,61875,19,36750,1,0,3,1,11.03287
"230",156,26700,15,15000,1,1,1,1,10.19242
"231",71,82500,17,34980,1,0,3,1,11.32055
"232",336,47250,16,21240,1,0,3,1,10.76321
"233",422,27150,15,16500,1,0,1,1,10.20913
"234",316,27750,15,15000,1,1,1,1,10.23099
"235",38,31350,15,15000,1,1,1,1,10.35297
"236",219,25350,12,15000,1,0,1,1,10.14053
"237",202,39600,15,16500,1,0,1,1,10.58658
"238",464,47550,19,33000,1,0,3,1,10.76954
"239",320,22050,12,15000,1,0,1,1,10.00107
"240",455,43650,16,19500,1,0,3,1,10.68396
"241",146,43950,18,23250,1,1,1,1,10.69081
"242",173,69250,20,42480,1,0,3,1,11.14548
"243",112,30750,12,15000,1,1,2,1,10.33364
"244",429,30000,8,15750,1,1,2,1,10.30895
"245",137,65000,21,37500,1,0,3,1,11.08214
"246",283,68125,19,32010,1,0,3,1,11.1291
"247",34,92000,19,39990,1,0,3,1,11.42954
"248",355,25950,15,17250,1,0,1,1,10.16393
"249",13,27750,15,14250,1,1,1,1,10.23099
"250",414,30300,8,15750,1,1,2,1,10.3189
"251",254,68125,18,32490,1,0,3,1,11.1291
"252",387,65000,19,31980,1,0,3,1,11.08214
"253",150,25800,12,15000,1,0,1,1,10.15813
"254",29,135000,19,79980,1,0,3,1,11.81303
"255",353,31200,12,15750,1,1,2,1,10.34817
"256",45,30750,12,13500,1,0,2,1,10.33364
"257",114,37800,14,16500,1,0,1,1,10.54006
"258",356,28350,15,15000,1,0,1,1,10.25238
"259",389,66875,19,32490,1,0,3,1,11.11058
"260",433,33540,12,15750,1,0,1,1,10.42049
"261",434,34950,16,20250,1,0,1,1,10.46167
"262",386,28500,8,15750,1,0,2,1,10.25766
"263",381,27000,17,18000,1,1,1,1,10.20359
"264",69,56550,16,25000,1,0,3,1,10.94288
"265",269,40200,15,17250,1,0,1,1,10.60162
"266",127,30750,12,15000,1,1,2,1,10.33364
"267",456,75000,19,42510,1,0,3,1,11.22524
"268",65,21900,8,14550,1,0,1,1,9.994242
"269",5,45000,15,21000,1,0,1,1,10.71442
"270",252,25500,12,11400,1,1,1,1,10.14643
"271",457,31650,15,14250,1,0,1,1,10.36249
"272",374,29400,15,15750,1,0,1,1,10.28875
"273",200,67500,17,34980,1,0,3,1,11.11988
"274",372,21300,15,15750,1,0,1,1,9.966462
"275",175,26250,8,15600,1,0,1,1,10.17542
"276",373,22500,12,16500,1,0,1,1,10.02127
"277",53,73750,18,26250,1,0,3,1,11.20844
"278",308,34500,15,18000,1,0,1,1,10.44871
"279",435,40350,15,16500,1,0,1,1,10.60535
"280",417,37800,15,15000,1,0,1,1,10.54006
"281",26,31050,15,12600,1,0,1,1,10.34335
"282",438,32400,15,15000,1,0,1,1,10.38591
"283",407,30300,15,15750,1,0,1,1,10.3189
"284",275,33900,12,16500,1,0,1,1,10.43117
"285",33,42000,15,15000,1,0,1,1,10.64542
"286",258,21300,8,11550,1,0,1,1,9.966462
"287",430,66250,19,34980,1,1,3,1,11.10119
"288",301,31500,12,13500,1,1,1,1,10.35774
"289",451,28500,15,14250,1,0,1,1,10.25766
"290",427,26250,8,16050,1,1,1,1,10.17542
"291",19,42300,12,14250,1,0,1,1,10.65254
"292",377,25350,15,15750,1,0,1,1,10.14053
"293",428,31950,15,15750,1,1,1,1,10.37193
"294",17,46000,15,14250,1,0,1,1,10.7364
"295",52,45150,15,15000,1,0,1,1,10.71775
"296",385,30000,12,15750,1,0,2,1,10.30895
"297",67,46000,16,21240,1,0,3,1,10.7364
"298",436,30270,12,15750,1,0,1,1,10.31791
"299",217,34620,16,27750,1,0,1,1,10.45219
"300",12,28350,8,12000,1,1,1,1,10.25238
"301",287,40350,16,19500,1,0,1,1,10.60535
"302",292,25950,14,15000,1,0,1,1,10.16393
"303",454,90625,19,31250,1,0,3,1,11.41448
"304",136,22200,12,15000,1,0,1,1,10.00785
"305",204,33150,15,16500,1,0,1,1,10.4088
"306",100,78250,18,27480,1,0,3,1,11.26766
"307",49,34800,15,16500,1,0,1,1,10.45737
"308",406,60000,17,32490,1,0,3,1,11.0021
"309",408,61250,19,33000,1,0,3,1,11.02272
"310",431,86250,18,45000,1,0,3,1,11.36501
"311",27,60375,19,27480,1,0,3,1,11.00833
"312",302,22350,8,15000,1,1,1,1,10.01458
"313",307,50000,16,32490,1,0,3,1,10.81978
"314",344,35700,12,16500,1,0,1,1,10.48291
"315",341,59400,12,33750,1,1,3,1,10.99205
"316",106,91250,19,29490,1,0,3,1,11.42136
"317",218,80000,15,15750,1,0,1,1,11.28978
"318",2,40200,16,18750,1,0,1,1,10.60162
"319",432,30750,12,15000,1,0,1,1,10.33364
"320",111,30750,12,9000,1,1,2,1,10.33364
"321",296,26850,12,15000,1,0,1,1,10.19802
"322",295,24000,8,15750,1,0,1,1,10.08581
"323",132,27300,12,17250,1,0,1,1,10.21464
"324",376,29850,15,15750,1,0,1,1,10.30394
"325",291,35250,12,15750,1,0,2,1,10.47022
"326",288,38700,15,23730,1,0,3,1,10.56359
"327",309,26250,15,15750,1,0,1,1,10.17542
"328",284,73500,19,33000,1,0,3,1,11.20504
"329",113,54875,16,27480,1,0,3,1,10.91281
"330",116,30300,15,16500,1,0,1,1,10.3189
"331",203,29100,12,15000,1,0,1,1,10.27849
"332",453,24450,15,15750,1,0,1,1,10.10439
"333",420,70000,19,35040,1,0,3,1,11.15625
"334",64,53125,16,21000,1,0,3,1,10.8804
"335",447,49000,15,20550,1,1,1,1,10.79958
"336",270,28650,15,18000,1,0,1,1,10.26291
"337",115,33450,15,14100,1,0,1,1,10.41781
"338",303,35250,12,15750,1,1,2,1,10.47022
"339",192,19650,12,12750,1,1,1,1,9.885833
"340",326,29550,8,15750,1,1,2,1,10.29384
"341",293,25050,15,14250,1,0,1,1,10.12863
"342",133,27000,15,15750,1,0,1,1,10.20359
"343",281,34500,8,15750,1,1,2,1,10.44871
"344",470,26250,12,15750,1,1,1,1,10.17542
"345",294,26700,12,12750,1,0,1,1,10.19242
"346",220,29850,12,15750,1,0,1,1,10.30394
"347",186,37500,15,20400,1,0,1,1,10.5321
"348",44,29250,8,14250,1,0,1,1,10.28364
"349",60,30900,12,15000,1,1,1,1,10.33851
"350",55,27000,12,15000,1,0,1,1,10.20359
"351",96,30750,8,15000,1,1,2,1,10.33364
"352",449,70000,16,21750,1,0,3,1,11.15625
"353",28,32550,15,14250,1,0,1,1,10.39053
"354",234,50550,15,19500,1,0,1,1,10.83072
"355",343,103500,16,60000,1,0,3,1,11.54733
"356",155,35250,15,15000,1,1,1,1,10.47022
"357",145,26700,12,13500,1,1,1,1,10.19242
"358",310,44875,16,21240,1,0,1,1,10.71164
"359",130,59375,20,30000,1,0,3,1,10.99163
"360",233,26550,15,15000,1,0,1,1,10.18678
"361",369,28050,14,15000,1,0,1,1,10.24174
"362",335,31950,8,15750,1,0,2,1,10.37193
"363",446,100000,16,44100,1,1,3,1,11.51293
"364",416,35250,15,13500,1,0,1,1,10.47022
"365",97,40200,17,19500,1,1,1,1,10.60162
"366",7,36000,15,18750,1,0,1,1,10.49127
"367",213,30750,8,15000,1,1,2,1,10.33364
"368",179,25200,12,13050,1,1,1,1,10.1346
"369",328,55000,18,32490,1,0,3,1,10.91509
"370",274,83750,16,21750,1,0,3,1,11.33559
"371",170,26550,12,15000,1,1,1,1,10.18678
"372",174,31950,8,15000,1,0,2,1,10.37193
"373",207,27300,15,17250,1,0,1,1,10.21464
"374",56,26850,15,13500,1,0,1,1,10.19802
"375",201,29340,12,19500,1,0,1,1,10.28671
"376",199,51250,16,27480,1,0,3,1,10.84447
"377",126,24300,15,15000,1,1,2,1,10.09823
"378",197,54900,15,25500,1,0,3,1,10.91327
"379",171,26700,12,13500,1,1,1,1,10.19242
"380",231,40200,16,21000,1,0,3,1,10.60162
"381",16,40800,12,15000,1,0,1,1,10.61644
"382",109,30450,12,15000,1,1,1,1,10.32384
"383",421,33900,15,15750,1,0,1,1,10.43117
"384",306,30750,15,16500,1,0,1,1,10.33364
"385",138,30900,12,15000,1,0,1,1,10.33851
"386",184,38850,15,15000,1,0,1,1,10.56746
"387",409,36000,19,19500,1,0,1,1,10.49127
"388",211,28950,15,15000,1,1,1,1,10.27333
"389",471,26400,15,15750,1,1,1,1,10.18112
"390",282,27900,14,15000,1,1,1,1,10.23638
"391",185,30750,8,15000,1,0,2,1,10.33364
"392",256,52125,19,27480,1,0,3,1,10.8614
"393",163,30900,15,15000,1,0,1,1,10.33851
"394",162,45625,16,23250,1,0,3,1,10.72821
"395",161,52650,16,19500,1,0,1,1,10.87142
"396",160,66000,16,47490,1,0,3,1,11.09741
"397",272,66875,18,31980,1,0,1,1,11.11058
"398",329,62500,18,34980,1,0,3,1,11.04292
"399",452,28800,12,18000,1,0,1,1,10.26813
"400",289,65000,17,30750,1,0,3,1,11.08214
"401",255,30600,12,15750,1,0,2,1,10.32876
"402",31,36150,12,14250,1,0,1,1,10.49543
"403",110,28350,15,18000,1,1,1,1,10.25238
"404",230,22500,15,15000,1,1,1,1,10.02127
"405",125,27450,12,15000,1,1,1,1,10.22012
"406",103,97000,19,35010,1,0,3,1,11.48247
"407",70,41100,15,20250,1,0,1,1,10.62376
"408",206,33750,12,15000,1,0,2,1,10.42674
"409",458,61875,19,28740,1,0,3,1,11.03287
"410",363,35700,16,18000,1,1,1,1,10.48291
"411",1,57000,15,27000,1,0,3,1,10.95081
"412",235,75000,19,31500,1,0,3,1,11.22524
"413",276,56500,16,21000,1,0,3,1,10.942
"414",152,30750,8,15000,1,0,2,1,10.33364
"415",212,38400,15,16500,1,1,1,1,10.55581
"416",388,30150,14,16500,1,0,1,1,10.31394
"417",89,68750,19,27480,1,0,3,1,11.13823
"418",450,55000,19,34980,1,0,3,1,10.91509
"419",104,27450,15,15750,1,0,1,1,10.22012
"420",102,39900,14,15750,1,0,1,1,10.59413
"421",101,60625,16,22500,1,0,3,1,11.01246
"422",59,28050,15,14250,1,1,1,1,10.24174
"423",32,110625,19,45000,1,0,3,1,11.6139
"424",187,58750,16,21750,1,0,3,1,10.98105
"425",151,42300,16,26250,1,0,3,1,10.65254
"426",419,29400,15,16500,1,0,1,1,10.28875
"427",232,55500,19,33750,1,0,3,1,10.92414
"428",85,25950,15,17100,1,0,1,1,10.16393
"429",305,30750,12,15750,1,0,2,1,10.33364
"430",383,78500,17,28740,1,1,3,1,11.27085
"431",6,32100,15,13500,1,0,1,1,10.37661
"432",15,27300,12,13500,1,0,1,1,10.21464
"433",205,66750,16,52500,1,0,3,1,11.10871
"434",131,31500,15,15750,1,0,1,1,10.35774
"435",271,27750,15,16500,1,0,1,1,10.23099
"436",68,45250,16,21480,1,0,3,1,10.71996
"437",66,78125,19,30000,1,0,3,1,11.26607
"438",98,30000,8,15000,1,1,2,1,10.30895
"439",382,24000,12,15750,1,1,1,1,10.08581
"440",54,25050,12,13500,1,0,1,1,10.12863
"441",63,55000,17,26250,1,0,3,1,10.91509
"442",61,22500,8,9750,1,1,1,1,10.02127
"443",300,26550,16,15000,1,1,1,1,10.18678
"444",86,31650,15,15750,1,0,1,1,10.36249
"445",129,68750,17,27510,1,0,3,1,11.13823
"446",330,27300,15,17250,1,0,1,1,10.21464
"447",18,103750,16,27510,1,0,3,1,11.54974
"448",183,39300,15,15750,1,0,1,1,10.57898
"449",42,35100,15,16500,1,0,1,1,10.46596
"450",30,31200,15,14250,1,0,1,1,10.34817
"451",39,36000,16,15000,1,1,1,1,10.49127
"452",319,43410,15,15750,1,0,1,1,10.67844
"453",35,81250,17,30000,1,0,3,1,11.30529
"454",327,26700,12,15750,1,1,1,1,10.19242
"455",57,33900,15,15750,1,0,1,1,10.43117
"456",149,27600,12,15000,1,0,1,1,10.22557
"457",268,22350,12,15000,1,1,1,1,10.01458
"458",418,31200,15,15750,1,0,1,1,10.34817
"459",43,23250,12,14250,1,0,1,1,10.05406
"460",50,60000,16,23730,1,0,3,1,11.0021
"461",22,21750,12,12750,1,1,1,1,9.987369
"462",465,33900,12,16500,1,0,1,1,10.43117
"463",375,27450,12,14700,1,0,1,1,10.22012
"464",472,39150,15,15750,1,0,1,1,10.57516
"465",105,31650,15,13500,1,0,1,1,10.36249
"466",48,30750,12,14100,1,0,2,1,10.33364
"467",87,24150,12,14100,1,0,1,1,10.09204
"468",426,33300,16,17490,1,1,1,1,10.41331
"469",37,29100,12,13500,1,1,1,1,10.27849
"470",147,23700,15,13500,1,1,1,1,10.07323
"471",62,48000,16,21750,1,0,3,1,10.77896
"472",318,48750,16,21990,1,0,3,1,10.79446
"473",88,72500,19,28740,1,0,3,1,11.19134
"474",437,26250,8,16050,1,0,1,1,10.17542
