close,quarter,resid,t,volume,year
92.56766667,III,0.500856837,114,0.701888058,1916
103.5363254,IV,1.107869887,115,1.295795302,1916
94.78232323,I,0.40654042,116,0.646606931,1917
94.20881818,II,0.480449197,117,0.700595499,1917
88.82059932,III,0.1788499,118,0.521500329,1917
73.18560606,IV,0.327524366,119,0.609024248,1917
77.97542063,I,0.062416839,120,0.47027586,1918
79.6760303,II,0.14586711,121,0.514622605,1918
81.9588437,III,-0.377481435,122,0.306999024,1918
84.2576225,IV,0.34171833,123,0.634539041,1918
83.76811563,I,0.305515624,124,0.616245722,1919
98.56035714,II,1.033938647,125,1.285770816,1919
106.7210765,III,0.927164511,126,1.163839343,1919
110.1468182,IV,0.979779777,127,1.235622433,1919
99.46749827,I,0.72006876,128,0.960015609,1920
94.41957648,II,0.458276104,129,0.744402979,1920
87.6460101,III,0.162968298,130,0.558243669,1920
78.44271014,IV,0.518095868,131,0.802345364,1920
75.31666135,I,0.176771455,132,0.574744703,1921
74.29709235,II,0.329872536,133,0.675081509,1921
68.47991994,III,-0.101774931,134,0.44190175,1921
75.68154135,IV,0.238930017,135,0.626274839,1921
84.04071544,I,0.382682218,136,0.728970674,1922
92.90180223,II,0.801343443,137,1.117089484,1922
97.75706522,III,0.349811491,138,0.71711221,1922
97.90599206,IV,0.577983255,139,0.90848798,1922
101.3780063,I,0.603501075,140,0.939898824,1923
97.16003608,II,0.461239047,141,0.822277688,1923
90.14404344,III,0.051496532,142,0.550594601,1923
90.94519697,IV,0.469600835,143,0.843754374,1923
97.44998785,I,0.503268444,144,0.880405472,1924
91.52111111,II,0.184954285,145,0.6461406,1924
101.4971789,III,0.450537932,146,0.850347159,1924
108.1341751,IV,0.938373453,147,1.397750332,1924
121.2741943,I,1.029118328,148,1.544720848,1925
124.939899,II,0.791577297,149,1.229529622,1925
139.0154934,III,0.872322387,150,1.345548115,1925
152.6216484,IV,1.406842084,151,2.31831592,1925
154.080339,I,1.092625024,152,1.709565145,1926
143.2357626,II,0.755256194,153,1.23192806,1926
159.8711905,III,0.99918343,154,1.587742449,1926
154.9227536,IV,0.935605507,155,1.504763721,1926
157.4566899,I,1.075687319,156,1.748421785,1927
167.4424762,II,1.168483958,157,1.93789284,1927
185.399578,III,1.106583991,158,1.840224322,1927
193.2968968,IV,1.273120765,159,2.196149661,1927
199.447698,I,1.396678423,160,2.510896707,1928
212.5314033,II,1.676148066,161,3.355434908,1928
225.0117184,III,1.428408732,162,2.646952707,1928
268.1502576,IV,1.889926117,163,4.244349771,1928
308.9150185,I,1.865621143,164,4.187236806,1929
312.5082424,II,1.572285421,165,3.156796973,1929
356.6064394,III,1.750410225,166,3.813816795,1929
266.6101072,IV,1.871534225,167,4.352704749,1929
265.8920407,I,1.513884499,168,3.078017937,1930
265.818254,II,1.660413285,169,3.604013178,1930
231.2024242,III,0.99944784,170,1.882143133,1930
182.7977609,IV,1.209531615,171,2.348832978,1930
177.0805195,I,1.202390201,172,2.359137561,1931
147.4065079,II,1.073748364,173,2.098595672,1931
133.9238785,III,0.697341,174,1.457278043,1931
95.63165527,IV,0.909872997,175,1.823771925,1931
80.24590431,I,0.590707172,176,1.341301907,1932
54.24699134,II,0.291893114,177,1.006844866,1932
61.87369945,III,1.078888296,178,2.23872568,1932
61.49107937,IV,0.267706564,179,1.006934286,1932
58.47414683,I,0.170309992,180,0.924774135,1933
80.22893142,II,1.539394643,181,3.681258073,1933
99.76335507,III,1.284098473,182,2.887610217,1933
96.15860317,IV,0.587686563,183,1.457297046,1933
104.0308995,I,0.863228713,184,1.944075943,1934
98.76218615,II,0.121829537,185,0.938140106,1934
92.17751371,III,-0.238044964,186,0.663067257,1934
98.09820335,IV,-0.041300182,187,0.817759291,1934
101.891924,I,-0.25319788,188,0.670291263,1935
112.050733,II,0.120472811,189,0.986852152,1935
127.0797273,III,0.449445634,190,1.389536409,1935
140.4646756,IV,0.819506166,191,2.038793666,1935
151.2500399,I,0.96836083,192,2.398001634,1936
153.3505916,II,0.15503844,193,1.07770235,1936
165.2394134,III,0.232375525,194,1.180315261,1936
178.9414839,IV,0.734313728,195,1.97669871,1936
186.5659209,I,0.803785353,196,2.148356887,1937
174.0726667,II,-0.066721337,197,0.912192138,1937
174.8741775,III,-0.041831676,198,0.948360063,1937
129.5211571,IV,0.382410965,199,1.470071054,1937
124.4090142,I,-0.208224654,200,0.826016475,1938
115.2257677,II,-0.349657832,201,0.727388743,1938
139.1586146,III,0.040968727,202,1.090577143,1938
150.7900084,IV,0.210515595,203,1.310912965,1938
145.4196722,I,-0.238215501,204,0.849215592,1939
132.1394657,II,-0.599566632,205,0.600415699,1939
142.8121739,III,0.091873835,206,1.216603444,1939
150.1834603,IV,-0.302880457,207,0.832068337,1939
147.3683397,I,-0.61658812,208,0.617175099,1940
132.9021061,II,-0.100749315,209,1.049461692,1940
126.302303,III,-1.168396725,210,0.366325205,1940
132.2060663,IV,-0.488957299,211,0.733767592,1940
124.7326658,I,-1.023983373,212,0.436371048,1941
119.0531746,II,-1.095490174,213,0.412570845,1941
127.2454618,III,-0.825422612,214,0.548941852,1941
116.4276292,IV,-0.388447844,215,0.863142244,1941
106.7601996,I,-1.181370183,216,0.396773096,1942
99.97904762,II,-1.499333825,217,0.293302215,1942
106.7767426,III,-1.403233063,218,0.328061825,1942
115.2508177,IV,-0.727098724,219,0.655454839,1942
126.6234831,I,-0.25553708,220,1.06739804,1943
137.9913795,II,-0.142251467,221,1.214937861,1943
139.4075758,III,-0.675874905,222,0.724225882,1943
135.1433532,IV,-0.725682631,223,0.700412444,1943
137.5794696,I,-0.576506574,224,0.826594603,1944
140.5922568,II,-0.511677977,225,0.896687224,1944
146.8186884,III,-0.55784517,226,0.870614472,1944
148.241873,IV,-0.5284608,227,0.911724763,1944
156.1607576,I,-0.155360155,228,1.346533127,1945
164.4091198,II,-0.182535377,229,1.3328279,1945
169.324269,III,-0.461171209,230,1.026040478,1945
189.3563876,IV,-0.064062946,231,1.552630764,1945
197.3355868,I,-0.095607606,232,1.530564452,1946
206.6062763,II,-0.367616991,233,1.186434853,1946
191.4763182,III,-0.254793387,234,1.351476055,1946
170.8247861,IV,-0.342930176,235,1.25932599,1946
178.0809649,I,-0.685552837,236,0.909887103,1947
171.2039683,II,-0.798402415,237,0.82730829,1947
180.1387807,III,-0.771825184,238,0.864850175,1947
180.9578542,IV,-0.670909975,239,0.973958148,1947
171.5657047,I,-0.862296615,240,0.818909622,1948
185.8624091,II,-0.270954824,241,1.506286669,1948
183.051443,III,-0.807602397,242,0.896893914,1948
179.4021465,IV,-0.676527993,243,1.041367053,1948
176.6783673,I,-0.993903945,244,0.772233105,1949
171.7184531,II,-0.995236287,245,0.785579851,1949
177.8373578,III,-0.765860786,246,1.006627384,1949
191.5743509,IV,-0.525718533,247,1.303960478,1949
203.1001518,I,-0.357059952,248,1.57273841,1950
217.6915391,II,-0.189469845,249,1.895072668,1950
215.0566515,III,-0.186632652,250,1.936802347,1950
229.1675,IV,-0.124557698,251,2.10045176,1950
248.9707456,I,-0.202135206,252,1.981212999,1951
252.2629437,II,-0.579237964,253,1.385188267,1951
263.9604704,III,-0.473112849,254,1.570330191,1951
265.2140327,IV,-0.660810904,255,1.327115485,1951
266.9207633,I,-0.741252971,256,1.248672301,1952
264.1261905,II,-0.881658225,257,1.106592954,1952
275.0460534,III,-0.925402391,258,1.080309117,1952
276.6976381,IV,-0.552163074,259,1.600453829,1952
286.3940885,I,-0.486158146,260,1.744011723,1953
272.9989105,II,-0.762502175,261,1.349636232,1953
268.1449275,III,-0.957740581,262,1.132789264,1953
276.3258682,IV,-0.730764633,263,1.450401449,1953
292.6387593,I,-0.546290199,264,1.779961033,1954
320.5617965,II,-0.432943214,265,2.034622521,1954
346.6792208,III,-0.313529369,266,2.340094231,1954
375.8695317,IV,-0.108101975,267,2.933454763,1954
405.8631187,I,-0.03584021,268,3.219094227,1955
428.4552273,II,-0.309981744,269,2.498551371,1955
465.2962212,III,-0.384350219,270,2.368342758,1955
471.270873,IV,-0.462797229,271,2.235995294,1955
484.3140397,I,-0.38000441,272,2.480642178,1956
497.1918543,II,-0.496134272,273,2.255836823,1956
505.4853543,III,-0.625829016,274,2.023957683,1956
485.0492387,IV,-0.598553316,275,2.124750369,1956
475.1700539,I,-0.703327293,276,1.954822344,1957
497.1733261,II,-0.56028732,277,2.304476313,1957
491.4661212,III,-0.737093172,278,1.973200727,1957
439.0155657,IV,-0.466819628,279,2.642261166,1957
446.6615519,I,-0.687157354,280,2.166465568,1958
459.6366667,II,-0.543246678,281,2.557173841,1958
505.8821068,III,-0.345550606,282,3.185435076,1958
554.4597987,IV,-0.149914479,283,3.960262572,1958
597.378254,I,-0.072197071,284,4.37632027,1959
626.4316162,II,-0.391623074,285,3.251309876,1959
652.9533911,III,-0.564354184,286,2.7974205,1959
651.7061164,IV,-0.461278827,287,3.171609514,1959
631.6552391,I,-0.530565704,288,3.026823136,1960
626.6648593,II,-0.500156557,289,3.191781497,1960
616.130912,III,-0.649990592,290,2.810877911,1960
597.7093095,IV,-0.566835914,291,3.125200368,1960
650.9243389,I,-0.154230813,292,4.830961692,1961
689.7893102,II,-0.28373561,293,4.343054957,1961
706.7749638,III,-0.593471298,294,3.260807162,1961
718.7301515,IV,-0.426848632,295,3.942539505,1961
710.4308852,I,-0.591383706,296,3.423326752,1962
636.1365758,II,-0.369816351,297,4.373651253,1962
593.7690603,III,-0.644236304,298,3.403115876,1962
619.2856594,IV,-0.483688229,299,4.091239275,1962
675.4641483,I,-0.504470242,300,4.103209656,1963
715.6999336,II,-0.372698805,301,4.793878241,1963
717.5653059,III,-0.498777849,302,4.328212663,1963
750.2362112,IV,-0.362780758,303,5.079134858,1963
794.0926369,I,-0.378284378,304,5.12290516,1964
820.5655,II,-0.430367639,305,4.981933117,1964
847.6949423,III,-0.533656955,306,4.603438065,1964
874.0107337,IV,-0.509158588,307,4.833987729,1964
893.5808802,I,-0.386881736,308,5.598024322,1965
904.4238788,II,-0.406471886,309,5.625916779,1965
894.4376479,III,-0.458507534,310,5.473968163,1965
951.0935368,IV,-0.109305727,311,7.95623835,1965
963.1667775,I,-0.056734989,312,8.596653227,1966
907.6592929,II,-0.159126682,313,7.955968313,1966
828.3577319,III,-0.423730995,314,6.261090437,1966
795.1746667,IV,-0.283955022,315,7.383603683,1966
846.5976977,I,-0.014635054,316,9.91261781,1967
875.0178939,II,-0.065494688,317,9.662676808,1967
908.1404275,III,-0.052505913,318,10.04099843,1967
886.7238485,IV,-0.008941663,319,10.75911243,1967
855.5768284,I,-0.097557396,320,10.10211475,1968
901.804533,II,0.231085287,321,14.39801157,1968
903.950719,III,0.0897858,322,12.82746356,1968
962.659793,IV,0.215853311,323,14.93263378,1968
927.6004461,I,-0.09281047,324,11.25568627,1969
926.2804762,II,-0.091306819,325,11.57052035,1969
832.0612698,III,-0.233179571,326,10.30641349,1969
820.9387934,IV,-0.076752335,327,12.3723904,1969
772.2521136,I,-0.246083131,328,10.72422936,1970
720.9695166,II,-0.255099436,329,10.91298636,1970
734.7172367,III,-0.209151532,330,11.7336499,1970
784.8340606,IV,-0.142408895,331,12.88234776,1970
876.6741754,I,0.163950097,332,17.97472744,1971
919.4861991,II,0.022516135,333,16.02864985,1971
888.1429365,III,-0.207578839,334,13.08181258,1971
854.7156566,IV,-0.127690832,335,14.55808143,1971
919.4147266,I,0.080120258,336,18.41356995,1972
949.7265253,II,-0.092527108,337,15.92143404,1972
944.9459565,III,-0.241692299,338,14.09502622,1972
988.5354665,IV,-0.045976366,339,17.61858009,1972
986.0726323,I,-0.107865135,340,17.02319065,1973
920.1381436,II,-0.330378461,341,14.00857643,1973
899.1077342,III,-0.318183543,342,14.57876992,1973
890.2264962,IV,-0.087123768,343,18.88603983,1973
854.1929703,I,-0.351220511,344,14.91277684,1974
836.4914264,II,-0.572141934,345,12.29612534,1974
721.1957424,III,-0.539727598,346,13.06296333,1974
625.741628,IV,-0.413239573,347,15.24797459,1974
716.3434083,I,-0.095695904,348,21.54757325,1975
824.395101,II,-0.143420511,349,21.134497,1975
830.0249278,III,-0.480271414,350,15.52604547,1975
839.1896377,IV,-0.467645185,351,16.17883042,1975
963.1988533,I,0.060771412,352,28.24097225,1976
988.9716847,II,-0.392127959,353,18.47878436,1976
989.7356926,III,-0.442403983,354,18.08696051,1976
957.7982994,IV,-0.36153357,355,20.18623378,1976
952.8315473,I,-0.339015584,356,21.25417301,1977
923.9892612,II,-0.389147945,357,20.8124315,1977
877.9402514,III,-0.44562776,358,20.25284825,1977
823.7555556,IV,-0.411443388,359,21.58070825,1977
767.0100786,I,-0.477582834,360,20.80254834,1978
824.4910758,II,-0.030014078,361,33.52041336,1978
866.0941232,III,-0.082510862,362,32.76180552,1978
823.3103081,IV,-0.316290963,363,26.71389948,1978
836.7996172,I,-0.316209391,364,27.5240871,1979
847.0032908,II,-0.215701982,365,31.35770626,1979
863.0006498,III,-0.12752348,366,35.2908905,1979
830.8130876,IV,-0.175973397,367,34.64857039,1979
847.5062359,I,0.107384192,368,47.40798901,1980
828.1287302,II,-0.197920264,369,36.00861446,1980
934.5353391,III,0.05092657,370,47.60663413,1980
955.4048865,IV,0.045448005,371,48.81100706,1980
964.935712,I,-0.016772411,372,47.28971837,1981
993.5478038,II,0.000429217,373,49.60775621,1981
909.1898629,III,-0.143680562,374,44.29116752,1981
863.9859091,IV,-0.134576937,375,46.09626638,1981
832.9646991,I,-0.052622175,376,51.60533018,1982
832.015487,II,-0.0765144,377,51.97517389,1982
855.927316,III,0.162422898,378,68.09011912,1982
1016.519163,IV,0.385436389,379,87.80069572,1982
1093.766618,I,0.326342847,380,85.39562759,1983
1200.918623,II,0.356188676,381,90.79052581,1983
1213.394194,III,0.183746621,382,78.85591183,1983
1253.280635,IV,0.246166599,383,86.63005929,1983
1195.106736,I,0.311901611,384,95.49574203,1984
1139.087434,II,0.182956364,385,86.65471198,1984
1179.865779,III,0.222977934,386,93.11573094,1984
1199.854001,IV,0.135998665,387,88.13319378,1984
1263.407368,I,0.354295659,388,113.2079948,1985
1286.585259,II,0.221411391,389,102.3622787,1985
1329.098796,III,0.156853987,390,99.11014562,1985
1433.82455,IV,0.333037454,391,122.0928008,1985
1648.313231,I,0.493496543,392,148.0724731,1986
1825.517128,II,0.358692854,393,133.6807736,1986
1822.833175,III,0.365554152,394,139.0686484,1986
1874.924321,IV,0.372638099,395,144.7196669,1986
2186.694795,I,0.577910186,396,183.6281388,1987
2325.924164,II,0.489990997,397,173.8044528,1987
2569.179964,III,0.512425478,398,183.7172334,1987
2018.255906,IV,0.620998272,399,211.6847786,1987
1989.720236,I,0.417512771,400,178.5441029,1988
2043.328142,II,0.340468071,401,170.9051989,1988
2078.525073,III,0.192641905,402,152.4285714,1988
2130.643968,IV,0.103477931,403,144.1768366,1988
2274.030747,I,0.20832732,404,165.5864824,1989
2427.786758,II,0.206099687,405,170.8805566,1989
2646.183558,III,0.11877909,406,161.9743914,1989
2687.653481,IV,0.088035601,407,162.4847217,1989
2664.515638,I,0.033784074,408,159.2247721,1990
2798.961789,II,-0.044127047,409,152.3964503,1990
2722.268991,III,-0.037155614,410,158.7977823,1990
2530.005783,IV,-0.095671361,411,154.9939104,1990
2790.25113,I,0.099898411,412,195.0626493,1991
2940.698939,II,-0.061571887,413,171.7965393,1991
2998.209985,III,-0.144648401,414,163.6598064,1991
2988.167497,IV,-0.044521313,415,187.2730614,1991
3243.916334,I,0.067879379,416,216.9603073,1992
3336.2197,II,-0.074898849,417,194.7618135,1992
3310.260075,III,-0.153475242,418,186.4451867,1992
3246.777818,IV,-0.064699241,419,211.0182929,1992
3360.697973,I,0.139472519,420,268.0687059,1993
3471.870184,II,0.079489412,421,261.5125113,1993
3572.911679,III,0.019337521,422,255.0978886,1993
3681.537026,IV,0.058687929,423,274.9007328,1993
3863.432395,I,0.148235748,424,311.5205721,1994
3702.093766,II,-0.002111555,425,277.7498161,1994
3798.788899,III,-0.05349632,426,273.4267837,1994
3810.276267,IV,0.007071251,427,301.0855765,1994
3962.98145,I,0.072213002,428,333.0939397,1995
4377.66072,II,0.054825044,429,339.3459388,1995
4690.260641,III,0.02831891,430,342.6099323,1995
4944.122345,IV,0.070855576,431,370.6666308,1995
5436.78025,I,0.177880354,432,427.7748078,1996
5622.689615,II,0.093678778,433,407.7929478,1996
5661.918771,III,-0.013527546,434,379.9397417,1996
6250.143753,IV,0.082933889,435,433.9931363,1996
6841.87071,I,0.215776065,436,514.1529073,1997
7166.480652,II,0.137278713,437,493.1277941,1997
7935.219289,III,0.176242352,438,531.9620721,1997
7820.992715,IV,0.200499619,439,565.5308513,1997
8282.515278,I,0.267442515,440,627.496647,1998
8996.814799,II,0.210528287,441,615.201511,1998
8495.146198,III,0.330824333,442,720.1553036,1998
8730.107759,IV,0.303674918,443,727.5142839,1998
9474.142652,I,0.362450869,444,800.9679527,1999
10667.12967,II,0.32886854,445,804.1172998,1999
10900.57968,III,0.214306679,446,744.5537395,1999
10817.6849,IV,0.354032971,447,889.0987018,1999
10771.16803,I,0.516435028,448,1086.158498,2000
10702.50763,II,0.379757803,449,983.9868443,2000
10881.77639,III,0.317509033,450,960.3965453,2000
10586.47963,IV,0.451651435,451,1140.892775,2000
10512.87833,I,0.501004687,452,1245.251153,2001
10668.88983,II,0.416839495,453,1189.389483,2001
9933.914896,III,0.456363543,454,1285.731045,2001
9640.816745,IV,0.418548452,455,1286.558528,2001
10105.26622,I,0.451276546,456,1381.61431,2002
9912.701549,II,0.408670762,457,1376.158168,2002
8487.593116,III,0.486021649,458,1545.566669,2002
8400.168887,IV,0.384972768,459,1452.347165,2002
8117.916451,I,0.320305774,460,1415.451306,2003
8684.524672,II,0.323086848,461,1475.886947,2003
9310.570085,III,0.204190142,462,1362.72619,2003
9856.439481,IV,0.142920044,463,1333.006827,2003
10516.18511,I,0.324827036,464,1663.060139,2004
