year,month,prccem,ipcem,prcpet,rresc,rnonc,ip,rdefs,milemp,gprc,gcem,gprcpet,gres,gnon,gip,gdefs,gmilemp,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1968,7,300,1.1448,13.8,107000,177971,58.4,1.7112,3545,0,0.0190481,0.0072728,0.0286014,-0.0106026,-0.0662494,0,-0.000564,0,0,0,0,0,0,1,0,0,0,0,0
1968,8,300,1.2337,13.8,108962,181390,60.1,1.7079,3526,0,0.0747879,0,0.0181704,0.0190288,0.0286939,-0.0019303,-0.0053741,0,0,0,0,0,0,0,1,0,0,0,0
1968,9,300,1.1875,13.8,109101,185263,62.5,1.7079,3490,0,-0.0381676,0,0.0012749,0.021127,0.0391567,0,-0.0102623,0,0,0,0,0,0,0,0,1,0,0,0
1968,10,300,1.2434,13.8,108467,187246,62.8,1.7079,3454,0,0.0459993,0,-0.0058281,0.0106468,0.0047885,0,-0.0103688,0,0,0,0,0,0,0,0,0,1,0,0
1968,11,300,0.9027,13.8,107202,187406,62.5,1.7078,3433,0,-0.3202145,0,-0.0117311,0.0008541,-0.0047885,-0.0000586,-0.0060985,0,0,0,0,0,0,0,0,0,0,1,0
1968,12,300,0.64988,13.8,105181,179591,60.7,1.7059,3408,0,-0.3286026,0,-0.0190322,-0.0425953,-0.0292228,-0.0011132,-0.0073089,0,0,0,0,0,0,0,0,0,0,0,1
1969,1,309,0.52324,13.8,108352,184421,61.3,1.7059,3418,0.0295588,-0.2167475,0,0.0297025,0.0265391,0.0098361,0,0.00293,1,0,0,0,0,0,0,0,0,0,0,0
1969,2,309,0.62604,13.8,110668,178650,63.1,1.7022,3432,0,0.179374,0,0.0211495,-0.0317926,0.0289409,-0.0021712,0.0040876,0,1,0,0,0,0,0,0,0,0,0,0
1969,3,309,0.76132,14.3,115177,183043,63.9,1.7023,3452,0,0.1956395,0.0355909,0.0399353,0.0242925,0.0125986,0.0000587,0.0058106,0,0,1,0,0,0,0,0,0,0,0,0
1969,4,309,0.98932,14.5,113594,183954,63.3,1.7023,3465,0,0.2619641,0.0138891,-0.0138394,0.0049646,-0.0094341,0,0.0037589,0,0,0,1,0,0,0,0,0,0,0,0
1969,5,309,1.0985,14.5,111637,184324,63.2,1.7025,3459,0,0.1046831,0,-0.0173782,0.0020094,-0.001581,0.0001175,-0.0017331,0,0,0,0,1,0,0,0,0,0,0,0
1969,6,309,1.2114,14.5,111096,183913,65.2,1.7017,3460,0,0.0978311,0,-0.0048578,-0.0022323,0.0311551,-0.00047,0.0002891,0,0,0,0,0,1,0,0,0,0,0,0
1969,7,309,1.1545,14.5,111343,185458,61.3,1.7017,3458,0,-0.0481094,0,0.0022208,0.0083656,-0.0616796,0,-0.0005782,0,0,0,0,0,0,1,0,0,0,0,0
1969,8,309,1.2536,14.5,112101,181624,63.8,1.7002,3459,0,0.0823521,0,0.0067847,-0.0208898,0.0399733,-0.0008819,0.0002891,0,0,0,0,0,0,0,1,0,0,0,0
1969,9,309,1.2303,14.5,110235,187158,65.7,1.6996,3449,0,-0.0187614,0,-0.0167858,0.0300146,0.0293457,-0.000353,-0.0028952,0,0,0,0,0,0,0,0,1,0,0,0
1969,10,309,1.1948,14.5,105135,179759,65.7,1.6996,3387,0,-0.0292792,0,-0.0473692,-0.0403361,0,0,-0.0181398,0,0,0,0,0,0,0,0,0,1,0,0
1969,11,309,0.98034,14.5,101329,179566,63.8,1.6985,3351,0,-0.1978346,0,-0.0368726,-0.0010742,-0.0293457,-0.0006474,-0.0106858,0,0,0,0,0,0,0,0,0,0,1,0
1969,12,309,0.69093,14.5,97137,175159,61.6,1.6955,3298,0,-0.3498609,0,-0.0422503,-0.0248487,-0.0350913,-0.0017678,-0.0159426,0,0,0,0,0,0,0,0,0,0,0,1
1970,1,323,0.47705,14.5,98527,173603,60.7,1.6955,3255,0.044311,-0.3704172,0,0.0142083,-0.0089231,-0.0147181,0,-0.0131239,1,0,0,0,0,0,0,0,0,0,0,0
1970,2,323,0.62926,14.5,102163,174343,62.2,1.6897,3220,0,0.2769232,0,0.036239,0.0042535,0.0244113,-0.0034267,-0.0108109,0,1,0,0,0,0,0,0,0,0,0,0
1970,3,323,0.73452,14.5,106289,176258,62.4,1.6866,3173,0,0.1546727,0,0.0395922,0.0109242,0.0032103,-0.0018364,-0.0147038,0,0,1,0,0,0,0,0,0,0,0,0
1970,4,323,0.93977,14.5,99428,172371,61.9,1.6866,3116,0,0.2464179,0,-0.066728,-0.0222997,-0.0080451,0,-0.0181274,0,0,0,1,0,0,0,0,0,0,0,0
1970,5,324,1.0611,14.5,95727,173051,62,1.6803,3084,0.0030912,0.1214262,0,-0.0379334,0.0039372,0.0016142,-0.0037423,-0.0103227,0,0,0,0,1,0,0,0,0,0,0,0
1970,6,324,1.1336,14.5,92394,175316,63.2,1.6794,3066,0,0.0660923,0,-0.0354383,0.0130037,0.0191699,-0.0005358,-0.0058537,0,0,0,0,0,1,0,0,0,0,0,0
1970,7,324,1.1553,14.3,97457,178430,59.5,1.6794,3045,0,0.0189617,-0.0138891,0.0533492,0.0176063,-0.060328,0,-0.0068729,0,0,0,0,0,0,1,0,0,0,0,0
1970,8,324,1.214,14.3,101219,178090,61.5,1.6776,3020,0,0.0495606,0,0.0378752,-0.0019073,0.0330609,-0.0010724,-0.0082441,0,0,0,0,0,0,0,1,0,0,0,0
1970,9,324,1.0896,14.3,102434,175405,62.9,1.6767,2984,0,-0.1081101,0,0.0119322,-0.0151915,0.022509,-0.0005366,-0.0119921,0,0,0,0,0,0,0,0,1,0,0,0
1970,10,324,1.0947,14.3,107156,172690,61.4,1.6767,2946,0,0.0046697,0,0.045067,-0.0155995,-0.0241363,0,-0.0128164,0,0,0,0,0,0,0,0,0,1,0,0
1970,11,324,0.88968,14.3,111889,175378,59.8,1.6748,2917,0,-0.2073737,0,0.0432216,0.0154456,-0.0264042,-0.0011338,-0.0098926,0,0,0,0,0,0,0,0,0,0,1,0
1970,12,324,0.60883,15.4,115276,178084,59.2,1.6723,2874,0,-0.3793228,0.0741079,0.0298219,0.0153117,-0.0100841,-0.0014939,-0.0148509,0,0,0,0,0,0,0,0,0,0,0,1
1971,1,340,0.50405,15.6,116071,174541,60,1.6723,2861,0.0482021,-0.1888635,0.0129035,0.0068728,-0.0200957,0.013423,0,-0.0045336,1,0,0,0,0,0,0,0,0,0,0,0
1971,2,343,0.60452,15.6,114012,173494,61.5,1.6675,2840,0.0087848,0.1817593,0,-0.0178984,-0.0060167,0.0246926,-0.0028744,-0.0073672,0,1,0,0,0,0,0,0,0,0,0,0
1971,3,361,0.77598,15.6,119482,173273,61.6,1.6652,2802,0.0511475,0.2496919,0,0.046862,-0.0012746,0.0016247,-0.0013803,-0.0134706,0,0,1,0,0,0,0,0,0,0,0,0
1971,4,361,1.0332,15.6,125515,175802,61.7,1.6652,2770,0,0.2862893,0,0.0492595,0.01449,0.0016221,0,-0.0114861,0,0,0,1,0,0,0,0,0,0,0,0
1971,5,361,1.1015,15.6,130076,173139,62.2,1.6606,2737,0,0.0640121,0,0.0356936,-0.0152636,0.0080711,-0.0027663,-0.0119849,0,0,0,0,1,0,0,0,0,0,0,0
1971,6,361,1.2606,15.6,132080,172172,63.8,1.659,2715,0,0.1349149,0,0.0152889,-0.0056008,0.0253982,-0.0009639,-0.0080705,0,0,0,0,0,1,0,0,0,0,0,0
1971,7,371,1.1807,15.6,133982,176340,59.7,1.659,2685,0.0273241,-0.0654803,0,0.0142977,0.02392,-0.0664211,0,-0.0111112,0,0,0,0,0,0,1,0,0,0,0,0
1971,8,374,1.2889,15.6,133805,170028,61.7,1.6555,2657,0.0080537,0.0876817,0,-0.0013219,-0.0364508,0.0329519,-0.0021119,-0.0104831,0,0,0,0,0,0,0,1,0,0,0,0
1971,9,374,1.2169,15.6,135012,169374,64.5,1.6547,2627,0,-0.0574825,0,0.0089801,-0.0038538,0.0443813,-0.0004834,-0.0113552,0,0,0,0,0,0,0,0,1,0,0,0
1971,10,374,1.256,15.6,137248,171807,64.8,1.6547,2608,0,0.0316255,0,0.0164258,0.0142625,0.0046404,0,-0.0072589,0,0,0,0,0,0,0,0,0,1,0,0
1971,11,374,1.0267,15.6,138468,171423,63.6,1.6529,2579,0,-0.2015823,0,0.0088497,-0.0022376,-0.0186922,-0.0010884,-0.0111819,0,0,0,0,0,0,0,0,0,0,1,0
1971,12,374,0.71855,15.6,140115,169033,61.9,1.655,2519,0,-0.3568698,0,0.0118243,-0.0140402,-0.0270932,0.0012697,-0.0235397,0,0,0,0,0,0,0,0,0,0,0,1
1972,1,374,0.59444,15.4,143896,174678,63.8,1.655,2462,0,-0.1896156,-0.0129035,0.0266273,0.0328503,0.030233,0,-0.022888,1,0,0,0,0,0,0,0,0,0,0,0
1972,2,375,0.74802,15.4,146157,165659,66.2,1.6594,2426,0.0026702,0.22981,0,0.0155906,-0.0530128,0.0369272,0.0026551,-0.0147302,0,1,0,0,0,0,0,0,0,0,0,0
1972,3,375,0.88344,15.4,153866,171957,66.8,1.659,2385,0,0.1663937,0,0.0514007,0.037313,0.0090227,-0.000241,-0.0170447,0,0,1,0,0,0,0,0,0,0,0,0
1972,4,385,1.0543,15.4,153779,168528,68,1.659,2341,0.0263173,0.1768089,0,-0.0005656,-0.0201425,0.0178046,0,-0.0186209,0,0,0,1,0,0,0,0,0,0,0,0
1972,5,386,1.1578,15.4,153213,169942,67.6,1.6584,2319,0.002594,0.0936446,0,-0.0036874,0.0083553,-0.0058997,-0.0003617,-0.0094421,0,0,0,0,1,0,0,0,0,0,0,0
1972,6,386,1.2862,15.4,152635,171232,69.5,1.6553,2323,0,0.1051706,0,-0.0037797,0.0075622,0.0277188,-0.001871,0.0017234,0,0,0,0,0,1,0,0,0,0,0,0
1972,7,386,1.2345,15.4,151779,168476,65,1.6553,2332,0,-0.0410261,0,-0.0056239,-0.0162261,-0.0669395,0,0.0038668,0,0,0,0,0,0,1,0,0,0,0,0
1972,8,392,1.3828,15.6,151363,169912,68.7,1.6491,2344,0.0154245,0.1134443,0.0129035,-0.0027446,0.0084873,0.0553619,-0.0037526,0.0051326,0,0,0,0,0,0,0,1,0,0,0,0
1972,9,393,1.2959,15.6,152864,171537,71.4,1.6474,2356,0.0025478,-0.064905,0,0.0098677,0.0095183,0.0385487,-0.0010314,0.0051064,0,0,0,0,0,0,0,0,1,0,0,0
1972,10,393,1.315,15.6,154304,173342,72.1,1.6474,2371,0,0.0146313,0,0.009376,0.0104675,0.0097561,0,0.0063465,0,0,0,0,0,0,0,0,0,1,0,0
1972,11,393,0.94786,15.6,156550,170391,71.2,1.6441,2370,0,-0.3273852,0,0.0144508,-0.0171707,-0.0125612,-0.0020052,-0.0004219,0,0,0,0,0,0,0,0,0,0,1,0
1972,12,393,0.70313,15.6,156101,175248,69.1,1.6451,2348,0,-0.298665,0,-0.0028722,0.0281063,-0.0299381,0.0006081,-0.0093261,0,0,0,0,0,0,0,0,0,0,0,1
1973,1,393,0.65557,15.6,158632,177312,69.7,1.6451,2334,0,-0.0700368,0,0.0160838,0.0117088,0.0086456,0,-0.0059804,1,0,0,0,0,0,0,0,0,0,0,0
1973,2,393,0.77338,15.6,161951,175633,73.1,1.6472,2314,0,0.1652655,0,0.0207068,-0.0095143,0.0476281,0.0012757,-0.0086059,0,1,0,0,0,0,0,0,0,0,0,0
1973,3,396,0.93998,15.7,163084,180204,73.2,1.6458,2291,0.0076046,0.1950881,0.0063898,0.0069716,0.025693,0.001367,-0.0008503,-0.0099892,0,0,1,0,0,0,0,0,0,0,0,0
1973,4,405,1.0758,16,156017,177095,73.1,1.6458,2274,0.0224729,0.1349612,0.018928,-0.0443004,-0.0174032,-0.001367,0,-0.007448,0,0,0,1,0,0,0,0,0,0,0,0
1973,5,402,1.2734,16.6,153705,177401,73.6,1.6429,2256,-0.007435,0.1686259,0.036814,-0.0149298,0.0017264,0.0068167,-0.0017636,-0.0079471,0,0,0,0,1,0,0,0,0,0,0,0
1973,6,402,1.376,17.1,150983,178615,76,1.6377,2253,0,0.0774903,0.0296758,-0.0178679,0.0068199,0.0320883,-0.0031702,-0.0013307,0,0,0,0,0,1,0,0,0,0,0,0
1973,7,403,1.3602,17.2,149658,179106,72.1,1.6377,2251,0.0024845,-0.011549,0.0058309,-0.0088146,0.0027452,-0.0526793,0,-0.0008881,0,0,0,0,0,0,1,0,0,0,0,0
1973,8,403,1.4567,17.2,147602,178573,74.4,1.6273,2237,0,0.0685418,0,-0.0138332,-0.0029803,0.0314019,-0.0063706,-0.0062389,0,0,0,0,0,0,0,1,0,0,0,0
1973,9,403,1.3209,18.2,143450,180775,77.1,1.6286,2232,0,-0.0978603,0.0565122,-0.0285329,0.0122557,0.0356473,0.0007985,-0.0022376,0,0,0,0,0,0,0,0,1,0,0,0
1973,10,404,1.3765,18.2,140989,178691,77.1,1.6286,2227,0.0024783,0.0412308,0,-0.0173047,-0.0115951,0,0,-0.0022427,0,0,0,0,0,0,0,0,0,1,0,0
1973,11,405,1.1026,19,137696,178972,75.4,1.6312,2218,0.0024722,-0.221873,0.0430173,-0.0236335,0.0015713,-0.022296,0.0015952,-0.0040495,0,0,0,0,0,0,0,0,0,0,1,0
1973,12,405,0.7729,19.9,134437,178169,70.9,1.6299,2202,0,-0.3552766,0.0462807,-0.0239527,-0.0044968,-0.0615368,-0.0007973,-0.0072399,0,0,0,0,0,0,0,0,0,0,0,1
1974,1,437,0.60979,24.3,128450,174148,70.7,1.6299,2199,0.0760461,-0.237035,0.1997566,-0.045556,-0.022827,-0.0028249,0,-0.0013633,1,0,0,0,0,0,0,0,0,0,0,0
1974,2,442,0.76639,27.5,128012,177274,72.9,1.6273,2195,0.0113767,0.2285765,0.1237097,-0.0034157,0.017791,0.0306431,-0.0015964,-0.0018207,0,1,0,0,0,0,0,0,0,0,0,0
1974,3,444,0.92874,27.5,125834,172069,73.3,1.6292,2187,0.0045147,0.1921376,0,-0.0171604,-0.029801,0.005472,0.0011669,-0.0036513,0,0,1,0,0,0,0,0,0,0,0,0
1974,4,455,1.1028,27.5,124044,176743,72.9,1.6292,2174,0.0244729,0.1717788,0,-0.0143272,0.0268011,-0.005472,0,-0.005962,0,0,0,1,0,0,0,0,0,0,0,0
1974,5,456,1.1824,27.5,120870,174841,74,1.6331,2156,0.0021954,0.0696938,0,-0.0259208,-0.0108197,0.0149764,0.002391,-0.0083141,0,0,0,0,1,0,0,0,0,0,0,0
1974,6,457,1.3211,27.5,115353,170860,76.1,1.6305,2162,0.0021906,0.1109185,0,-0.0467186,-0.0230325,0.0279832,-0.0015934,0.0027791,0,0,0,0,0,1,0,0,0,0,0,0
1974,7,497,1.1715,30.6,117359,167631,71.6,1.6305,2162,0.0839066,-0.1201798,0.106814,0.0172406,-0.0190794,-0.0609532,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1974,8,497,1.2652,30.7,118258,164010,73.7,1.6252,2153,0,0.0769453,0.0032627,0.0076311,-0.0218377,0.0289077,-0.0032558,-0.0041715,0,0,0,0,0,0,0,1,0,0,0,0
1974,9,498,1.2389,30.7,115290,160213,76,1.6261,2157,0.0020101,-0.0210064,0,-0.025418,-0.0234232,0.0307306,0.0005536,0.0018561,0,0,0,0,0,0,0,0,1,0,0,0
1974,10,500,1.246,30.8,108597,164566,74.9,1.6261,2156,0.004008,0.0057146,0.003252,-0.0598069,0.0268075,-0.0145794,0,-0.0004637,0,0,0,0,0,0,0,0,0,1,0,0
1974,11,500,0.87384,31.5,103251,161674,71.1,1.6278,2154,0,-0.3547965,0.0224729,-0.0504809,-0.0177297,-0.0520666,0.0010449,-0.0009281,0,0,0,0,0,0,0,0,0,0,1,0
1974,12,500,0.66188,30.4,99354,164120,65.5,1.6276,2140,0,-0.277813,-0.035545,-0.0384737,0.0150159,-0.0820372,-0.0001229,-0.0065207,0,0,0,0,0,0,0,0,0,0,0,1
1975,1,547,0.52612,30.4,96263,165959,64.3,1.6276,2145,0.0898407,-0.229555,0,-0.0316052,0.0111429,-0.0184905,0,0.0023337,1,0,0,0,0,0,0,0,0,0,0,0
1975,2,554,0.54681,31.2,93980,160153,65.3,1.6272,2146,0.0127159,0.038572,0.0259755,-0.024002,-0.0356112,0.0154324,-0.0002458,0.0004661,0,1,0,0,0,0,0,0,0,0,0,0
1975,3,554,0.63536,31.4,90696,152680,64.1,1.6265,2137,0,0.1500904,0.0063898,-0.0355687,-0.0477854,-0.0185477,-0.0004303,-0.0042027,0,0,1,0,0,0,0,0,0,0,0,0
1975,4,561,0.82162,31.7,93520,155860,64.7,1.6265,2127,0.0125562,0.2570862,0.0095088,0.0306621,0.0206139,0.0093168,0,-0.0046904,0,0,0,1,0,0,0,0,0,0,0,0
1975,5,565,0.95382,31.9,94180,154944,64.6,1.6252,2124,0.0071048,0.149197,0.0062893,0.0070325,-0.0058944,-0.0015468,-0.0007996,-0.0014114,0,0,0,0,1,0,0,0,0,0,0,0
1975,6,565,1.0806,34.9,95925,154285,67.3,1.6251,2128,0,0.1247968,0.0898809,0.0183588,-0.0042622,0.0409459,-0.0000615,0.0018815,0,0,0,0,0,1,0,0,0,0,0,0
