obs,resid,ojfro,ojfin,frz,cojfro
78,-0.003063927,36,30.29924011,0,0
79,-5.836393022,33.90000153,30.5,0,-5.833329095
80,-0.003063927,33.90000153,30.5,0,0
81,-0.003063927,33.90000153,30.39962006,0,0
82,-3.542889027,32.70000076,30.29924011,0,-3.5398251
83,-5.201842898,31,30.39962006,0,-5.19877897
84,-0.003063927,31,30.29924011,0,0
85,-3.017515748,30.60000038,30.39962006,3,-1.29032135
86,-0.525517611,30.60000038,30.5,0,0
87,6.730287374,32.90000153,30.29924011,1,7.516343515
88,0.235272009,33.09999847,30.39962006,0,0.607893432
89,-0.124411779,33.09999847,30.29924011,0,0
90,-0.1640435,33.09999847,30.39962006,0,0
91,6.251901683,35.20000076,30.39962006,0,6.344418083
92,-0.032458417,35.20000076,30.5,0,0
93,0.06083723,35.20000076,30.60000038,0,0
94,0.015934153,35.20000076,30.60000038,0,0
95,0.349915943,35.20000076,30.60000038,0,0
96,0.240013689,35.20000076,30.60000038,0,0
97,5.920166775,37.29999924,30.70000076,1,5.965904627
98,13.3810448,42.20000076,30.79924011,0,13.13673358
99,-11.34862405,37.29999924,30.89962006,0,-11.61137781
100,0.135522226,37.29999924,31,0,0
101,0.040449332,37.29999924,31.20000076,0,0
102,5.631558484,39.40000153,31.29924011,0,5.630033061
103,-0.015066008,39.40000153,31.29924011,0,0
104,1.65E-05,39.40000153,31.39962006,0,0
105,-10.62920958,35.20000076,31.70000076,0,-10.6599
106,0.002985037,35.20000076,31.79924011,0,0
107,-6.42926476,32.90000153,31.89962006,0,-6.5340886
108,0.075945623,32.90000153,31.89962006,0,0
109,0.138318895,32.90000153,32.09846878,0,0
110,0.111108346,32.90000153,32.20000076,0,0
111,0.061556813,32.90000153,32.09846878,0,0
112,0.02678584,32.90000153,32.29924011,0,0
113,-12.77028998,28.70000076,32.29924011,0,-12.76595917
114,-0.000834716,28.70000076,32.40000153,0,0
115,7.318441515,30.79999924,32.59846878,0,7.31706766
116,6.815125491,32.90000153,32.59846878,0,6.818189418
117,-0.003063927,32.90000153,32.70000076,0,0
118,-0.003063927,32.90000153,32.70000076,0,0
119,-0.003063927,32.90000153,32.90000153,0,0
120,28.56835636,42.29999924,33,0,28.57142029
121,-5.08167362,45.5,33.20000076,22,7.56501376
122,-5.55852141,45.5,33.20000076,3,0
123,2.580170286,49.70000076,33.40000153,8,9.230770908
124,1.187813879,51.79999924,33.20000076,0,4.225348978
125,-1.134639345,51.79999924,33.20000076,0,0
126,7.02223204,56.09999847,33.20000076,0,8.301156951
127,-0.766430774,56.09999847,33.20000076,0,0
128,-0.312067861,56.09999847,33.20000076,0,0
129,0.452065755,56.09999847,33.20000076,0,0
130,0.224772486,56.09999847,33.20000076,0,0
131,2.623146394,56.09999847,33.20000076,0,0
132,2.107201203,56.09999847,33.09846878,0,0
133,-14.68733951,45.5,33.20000076,0,-18.89482845
134,0.116690002,45.5,33.20000076,6,0
135,1.847264392,45.5,33.20000076,0,0
136,0.465183018,45.09999847,33.20000076,0,-0.879124233
137,11.04951611,50,33.20000076,0,10.86474876
138,0.177135208,50,33.09846878,0,0
139,-0.100568433,50,33.09846878,0,0
140,-0.116208172,50,33,0,0
141,0.037545456,50,33.40000153,0,0
142,0.172835481,50,33.09846878,0,0
143,0.033229859,50,33,0,0
144,-19.75573885,39.79999924,33,0,-20.40000153
145,0.470993376,39.79999924,33.20000076,0,0
146,-0.30418731,39.79999924,33.09846878,2,0
147,0.333667254,39.79999924,33.40000153,0,0
148,0.245805811,39.79999924,33.40000153,0,0
149,0.045763834,39.79999924,33.29924011,0,0
150,-0.045278889,39.79999924,33.29924011,0,0
151,-0.053584762,39.79999924,33.5,0,0
152,-0.024534324,39.79999924,33.40000153,0,0
153,6.028793149,42.20000076,33.40000153,0,6.030154703
154,2.188265168,43.09999847,33.70000076,0,2.13269596
155,0.009034001,43.09999847,33.70000076,0,0
156,0.212711608,43.09999847,33.59846878,0,0
157,15.24683474,50.09999847,33.70000076,2,16.24129988
158,-1.79273121,50.09999847,33.70000076,3,0
159,-0.43602777,50.09999847,33.59846878,0,0
160,-0.212375348,50.09999847,33.29924011,0,0
161,-11.94982722,44.20000076,33.20000076,0,-11.7764429
162,-0.121414293,44.20000076,33.20000076,0,0
163,0.536184544,44.5,33.29924011,0,0.678731294
164,-0.064631628,44.5,33.40000153,0,0
165,0.058122769,44.5,33.29924011,0,0
166,-0.577171883,44.20000076,33.29924011,0,-0.674155589
167,0.230858501,44.20000076,33.40000153,0,0
168,0.478618476,44.20000076,33.40000153,0,0
169,-11.16215451,39.79999924,33.59846878,3,-9.954754412
170,-1.201501698,39.5,33.59846878,1,-0.753766942
171,-10.79981293,35.20000076,33.5,0,-10.88607402
172,-0.01433579,35.20000076,33.40000153,0,0
173,-0.033104312,35.20000076,33.29924011,0,0
174,0.452626836,35.40000153,33.29924011,0,0.568183973
175,0.755861016,35.70000076,33.40000153,0,0.847455435
176,-0.011245565,35.70000076,33.5,0,0
177,-0.474489251,35.5,33.79924011,0,-0.560226215
178,-0.237286309,35.40000153,33.59846878,0,-0.281685843
179,0.04415601,35.29999924,33.59846878,0,-0.282492329
180,-0.22472192,35.09999847,33.5,0,-0.566574412
181,39.71815256,52.90000153,33.5,20,50.71226161
182,-4.892547957,51.90000153,33.40000153,0,-1.890359114
183,8.164976689,56.70000076,33.29924011,0,9.248553171
184,11.37044067,63.79999924,33.20000076,0,12.522043
185,-0.323151472,63.79999924,33.29924011,0,0
186,-0.636604182,63.79999924,33.40000153,0,0
187,2.196085726,65.5,33.5,0,2.66457803
188,0.018397591,65.5,33.40000153,0,0
189,0.583267434,65.5,33.40000153,0,0
190,0.11791536,65.5,33.5,0,0
191,2.154691422,65.5,33.5,0,0
192,1.577127084,65.5,33.40000153,0,0
193,2.82459251,65.5,33.59846878,0,0
194,-0.593169256,65.5,33.5,5,0
195,0.418594746,65.5,33.40000153,0,0
196,0.094125237,65.40000153,33.40000153,0,-0.152669426
197,-9.681299098,59.29999924,33.40000153,0,-9.327220407
198,-0.045013874,59.29999924,33.5,0,0
199,-0.074048521,59.29999924,33.59846878,0,0
200,-0.291938154,59.20000076,33.59846878,0,-0.168631493
201,0.001192007,59.20000076,33.59846878,0,0
202,0.143518913,59.20000076,33.59846878,0,0
203,0.027180894,59.20000076,33.59846878,0,0
204,0.53637491,59.20000076,33.59846878,0,0
205,0.391983826,59.20000076,33.70000076,0,0
206,-21.2905503,47.20000076,33.70000076,3,-20.27027001
207,0.045343753,47.20000076,33.70000076,0,0
208,-3.701799926,45.40000153,33.90000153,0,-3.813557644
209,-12.16375839,39.90000153,34,0,-12.11453704
210,-0.06131884,39.90000153,34.20000076,0,0
211,-0.087762023,39.90000153,34.20000076,0,0
212,-0.053020653,39.90000153,34.20000076,0,0
213,-0.000510367,39.90000153,34.29924011,0,0
214,0.084885777,39.90000153,34.40000153,0,0
215,0.015082966,39.90000153,34.5,0,0
216,0.320599375,39.90000153,34.70000076,0,0
217,-9.540474816,36,34.79924011,0,-9.774439541
218,2.470911109,38.59999847,35,9,7.222217984
219,-3.041371827,37.90000153,35,0,-1.813463668
220,-0.961754355,37.70000076,35,0,-0.527706477
221,5.86630812,40.09999847,35,0,6.366041545
222,-0.162626074,40.09999847,35,0,0
223,-0.283908747,40.09999847,35.20000076,0,0
224,-0.2061875,40.09999847,35.40000153,0,0
225,0.004596754,40.09999847,35.59846878,0,0
226,0.260785185,40.09999847,35.5,0,0
227,0.051376752,40.09999847,35.5,0,0
228,0.96792598,40.09999847,35.40000153,0,0
229,0.708022028,40.09999847,35.5,0,0
230,-23.66827058,30.10000038,35.40000153,0,-24.93765205
231,-1.2743541,30.10000038,35.29924011,4,0
232,1.543047374,30.60000038,35.20000076,0,1.661129547
233,-3.606897872,29.5,35.40000153,0,-3.594772444
234,-0.27500756,29.5,35.70000076,0,0
235,2.32065558,30.20000076,35.79924011,0,2.372883942
236,-0.090916082,30.20000076,35.70000076,0,0
237,-0.099258115,30.20000076,35.79924011,0,0
238,1.655969917,30.70000076,35.79924011,0,1.655629097
239,14.12071417,35,35.79924011,0,14.00651182
240,-0.264577996,34.90000153,36,0,-0.285709926
241,5.872606421,36.79999924,36.09846878,0,5.444119278
242,0.041239285,36.70000076,36.29924011,0,-0.27173499
243,6.527260367,39.09999847,36.29924011,1,6.539503164
244,0.535234276,39.20000076,36.29924011,0,0.255760339
245,0.185991683,39.20000076,36.5,0,0
246,0.051199721,39.20000076,36.70000076,0,0
247,-0.025438291,39.20000076,36.79924011,0,0
248,5.331043727,41.29999924,36.70000076,0,5.35713886
249,-0.009361343,41.29999924,36.90000153,0,0
250,-0.002212741,41.29999924,36.90000153,0,0
251,0.026252641,41.29999924,37.09846878,0,0
252,0.002985037,41.29999924,37.09846878,0,0
253,-0.014836297,42.20000076,37.29924011,4,2.17918049
254,8.858013527,46.20000076,37.29924011,0,9.478672814
255,2.458013691,47.40000153,37.5,0,2.597404206
256,-0.149433344,47.40000153,37.5,0,0
257,-7.813579051,43.70000076,37.79924011,0,-7.805908531
258,-3.53350058,42.20000076,38,0,-3.432494219
259,-0.100524997,42.20000076,38.20000076,0,0
260,0.002570031,42.20000076,38.09846878,0,0
261,0.118640128,42.20000076,38.20000076,0,0
262,0.02113193,42.20000076,38.40000153,0,0
263,0.428487143,42.20000076,38.70000076,0,0
264,0.312974275,42.20000076,38.90000153,0,0
265,-10.35702562,42.20000076,39.09846878,19,0
266,-5.728798949,42.20000076,39.09846878,5,0
267,-13.07189917,37.5,39.20000076,0,-11.13744236
268,-1.468374643,37.5,39,0,0
269,-0.662638401,37.5,39.09846878,0,0
270,-0.687694204,37.5,39.20000076,0,0
271,-1.668646172,37.09999847,39.40000153,0,-1.066670736
272,0.431951524,37.29999924,39.20000076,0,0.539085637
273,1.094401885,37.5,39.40000153,0,0.536195086
274,-5.874882063,35.20000076,39.5,0,-6.133331299
275,1.792951071,35.09999847,39.70000076,0,-0.284097405
276,0.598332718,35.20000076,39.70000076,3,0.284906818
277,2.839890325,35.29999924,40,0,0.284086568
278,2.324587674,36.59999847,40.20000076,7,3.682717465
279,3.933047701,37.90000153,40.29924011,0,3.551921055
280,1.932382761,38.5,40.29924011,0,1.583109367
281,8.141748624,41.79999924,40.5,0,8.57142659
282,2.949709273,43.09999847,40.59846878,0,3.110046078
283,3.351595756,44.59999847,40.59846878,0,3.480278545
284,1.284031521,45.20000076,40.70000076,0,1.345296658
285,0.021041273,45.20000076,40.59846878,0,0
286,0.525815351,45.20000076,40.59846878,0,0
287,0.276307475,45.20000076,40.70000076,0,0
288,1.17629891,45.20000076,41,0,0
289,0.671275747,45.09999847,41.20000076,0,-0.221243998
290,1.180478047,45.09999847,41.40000153,0,0
291,0.885691285,45.09999847,41.40000153,0,0
292,0.445480609,45.09999847,41.29924011,0,0
293,0.212572079,45.09999847,41.5,0,0
294,0.001381243,45.09999847,41.70000076,0,0
295,0.012540549,45.09999847,42,0,0
296,0.028000553,45.09999847,42,0,0
297,-0.003063927,45.09999847,42.09846878,0,0
298,-0.003063927,45.09999847,41.90000153,0,0
299,-0.003063927,45.09999847,42.20000076,0,0
300,-0.003063927,45.09999847,42.59846878,0,0
301,-0.003063927,45.09999847,43.09846878,0,0
302,-0.003063927,45.09999847,43.70000076,0,0
303,-0.003063927,45.09999847,44.40000153,0,0
304,-0.003063927,45.09999847,44.70000076,0,0
305,-2.442085017,44,45,0,-2.439021089
306,2.496932605,45.09999847,45.40000153,0,2.499996532
307,-2.442085017,44,45.5,0,-2.439021089
308,-0.003063927,44,47,0,0
309,-0.003063927,44,46.79924011,0,0
310,2.496932605,45.09999847,46.79924011,0,2.499996532
311,-0.003063927,45.09999847,47,0,0
312,-0.003063927,45.09999847,47.59846878,0,0
313,-0.134313398,45.29999924,49,1,0.443460687
314,-0.839465138,45,49.90000153,0,-0.662249983
315,-0.07249128,45,50.20000076,0,0
316,-0.06819935,45,50.59846878,0,0
317,-0.020370761,45,51.20000076,0,0
318,-0.035011978,45,51.29924011,0,0
319,-0.027112474,45,52.79924011,0,0
320,-0.002212741,45,53.70000076,0,0
321,0.915144921,45.40000153,54.20000076,0,0.88889228
322,1.104306586,45.90000153,55.29924011,0,1.101321549
323,2.501334597,47,56.20000076,0,2.396510757
324,1.139775411,47.5,56.29924011,0,1.063829787
325,4.34884521,49.5,56.79924011,0,4.210526316
326,0.515150291,49.70000076,56.79924011,0,0.404041945
327,0.061556813,49.70000076,56.59846878,0,0
328,0.02678584,49.70000076,57,0,0
329,-0.00433081,49.70000076,57.40000153,0,0
330,-0.000834716,49.70000076,57.90000153,0,0
331,-0.40104216,49.5,58.59846878,0,-0.402416016
332,-0.003063927,49.5,58.70000076,0,0
333,-0.003063927,49.5,59.20000076,0,0
334,4.037340113,51.5,59.90000153,0,4.04040404
335,0.967809859,52,59.90000153,0,0.970873786
336,-0.003063927,52,60,0,0
337,-0.577774084,52,60.09846878,1,0
338,-2.480478688,51.40000153,59.90000153,2,-1.153843219
339,-0.420793735,51.40000153,59.90000153,0,0
340,0.960258117,52,60.29924011,0,1.167312172
341,-0.150641605,52,60.40000153,0,0
342,-6.223473265,48.79999924,60.59846878,0,-6.153847621
343,-2.345103844,47.70000076,60.79924011,0,-2.254095269
344,-0.050309834,47.70000076,60.70000076,0,0
345,0.027955014,47.70000076,60.90000153,0,0
346,0.061618173,47.70000076,61.59846878,0,0
347,0.116921769,47.70000076,61.79924011,0,0
348,-4.110799293,45.59999847,62.29924011,0,-4.402520451
349,-2.115939441,44.5,62.59846878,0,-2.412277436
350,16.45879035,60.59999847,63.20000076,35,36.17977185
351,-7.779894457,60.09999847,63.59846878,2,-0.825082529
352,-2.622232471,60.09999847,64.0984726,0,0
353,-2.363225761,60.09999847,64.5984726,0,0
354,4.91786213,63.5,64.69695282,0,5.657240619
355,-1.146963147,63.5,65,0,0
356,7.761633723,69,65,0,8.661417323
357,2.007618234,70.40000153,65.30000305,0,2.028987719
358,1.024718328,70.40000153,66,0,0
359,7.511598818,75.5,66.19695282,0,7.244315857
360,5.242057483,76.59999847,66.5,0,1.456951621
361,2.403335721,76.59999847,67.0984726,1,0
362,3.20507224,76.59999847,67.5984726,3,0
363,3.239686385,76.69999695,67.80000305,1,0.130546313
364,2.039437832,76.69999695,68.69695282,0,0
365,0.888778969,76.69999695,69.30000305,0,0
366,-0.136709255,76.69999695,69.80000305,0,0
367,-0.06477484,76.69999695,70.40000153,0,0
368,0.053474392,76.69999695,70.19695282,0,0
369,0.01363322,76.69999695,70.69695282,0,0
370,0.091785928,76.69999695,71.5984726,0,0
371,4.063630351,79.69999695,71.90000153,0,3.91134305
372,4.169773467,82.69999695,72.69695282,0,3.764115577
373,-1.815605314,82.69999695,73.69695282,4,0
374,-0.08233855,82.69999695,74.5984726,0,0
375,0.267747044,82.69999695,75.0984726,0,0
376,0.074278646,82.69999695,75.90000153,0,0
377,0.080611901,82.69999695,76.40000153,0,0
378,-0.102577797,82.69999695,76.69695282,0,0
379,-0.089399581,82.69999695,77.5,0,0
380,0.015883379,82.69999695,78,0,0
381,0.118640128,82.69999695,79.19695282,0,0
382,0.02113193,82.69999695,80.5,0,0
383,0.428487143,82.69999695,81.19695282,0,0
384,0.312974275,82.69999695,82,0,0
385,-0.012242797,82.69999695,83.5,1,0
386,0.279473936,82.69999695,84.69695282,0,0
387,-4.98639973,82.69999695,85.5,9,0
388,-3.813614735,80.80000305,86.30000305,0,-2.297453406
389,-0.650284463,80.80000305,86.69695282,0,0
390,-2.592519434,79.19999695,87.30000305,0,-1.980205499
391,-0.165122842,79.19999695,88.80000305,0,0
392,-0.289745193,79.19999695,89.5984726,0,0
393,-0.190184281,79.19999695,89.5984726,0,0
394,0.010645718,79.19999695,91,0,0
395,-4.808092997,75.09999847,91.30000305,0,-5.17676595
396,0.130386302,75.09999847,91.69695282,0,0
397,3.106645726,76.59999847,93,0,1.997336925
398,-4.254089637,89,93.80000305,37,16.18799187
399,6.35107751,99.19999695,94.80000305,0,11.46067073
400,6.751658155,107.4000015,95.69695282,0,8.266133901
401,-1.832754771,107.4000015,96.0984726,0,0
402,-0.372539637,107.4000015,96.40000153,0,0
403,-1.192105946,107.4000015,96.90000153,0,0
404,-0.872797261,107.4000015,96.69695282,0,0
405,-0.676511759,106.5999985,96.69695282,0,-0.744881788
406,0.612605932,106.0999985,97.80000305,0,-0.469043159
407,-2.983777765,102.6999969,97.90000153,0,-3.204525518
408,0.872914877,99.5,98.19695282,0,-3.115868591
409,1.095657994,99.40000153,99,3,-0.100500979
410,3.457971816,107.3000031,99,16,7.94768753
411,0.294642041,106.3000031,98.80000305,0,-0.931966423
412,-1.364253911,103.6999969,98.80000305,0,-2.44591348
413,-3.367830421,100.1999969,99,0,-3.375120639
414,-2.61829787,98,99.69695282,0,-2.195605804
415,-0.401858307,98.09999847,100.4000015,0,0.102039259
416,-0.730773153,97.59999847,100.5985031,0,-0.509684004
417,0.303427491,97.80000305,100.1968994,0,0.204922726
418,0.381892328,97.69999695,101.1968994,0,-0.102255726
419,0.417382805,97.69999695,101.5,0,0
420,0.527217171,96.30000305,101.6968994,0,-1.432951832
421,1.996759064,96.59999847,101.1968994,0,0.311521716
422,1.566381337,95.59999847,101.1968994,0,-1.035196704
423,1.599143014,95.19999695,101,0,-0.418411645
424,0.910336391,95,100.9000015,0,-0.210080835
425,1.523363286,96,101.3000031,0,1.052631579
426,-0.537479749,95.5,101.5985031,0,-0.520833333
427,0.150627241,95.59999847,101.8000031,0,0.104710444
428,0.067940599,95.59999847,102,0,0
429,0.519948633,96.09999847,101.5985031,0,0.523012561
430,-0.003063927,96.09999847,102.5,0,0
431,0.413170758,96.5,102.1968994,0,0.416234685
432,-0.003063927,96.5,102.3000031,0,0
433,-9.651029975,100.5,103.1968994,24,4.14507772
434,10.14566633,114.9000015,103.5985031,0,14.32835973
435,1.550868385,118.5999985,103.8000031,0,3.220188772
436,0.288664525,120.8000031,103.8000031,0,1.854978588
437,0.90607409,122.4000015,103.6968994,0,1.324502015
438,1.762861327,125.5,103.6968994,0,2.53267846
439,-2.492580864,123.0999985,104.1968994,0,-1.912351813
440,1.235886097,124.5999985,103.8000031,0,1.218521542
441,3.670039824,128.3000031,103.1968994,0,2.969506118
442,1.700957633,130.3000031,103.9000015,0,1.558846417
443,2.125761993,129.6999969,104.1968994,0,-0.460480498
444,1.738965631,129.5,104,0,-0.154199655
445,1.691284455,127.3000031,104.0985031,0,-1.698839342
446,-11.09748558,133.1000061,104.1968994,32,4.556168824
447,-3.949880844,133.1999969,104.0985031,0,0.075124598
448,-1.733572305,132.8999939,104.4000015,0,-0.225227521
449,-1.666330742,133.5,104.8000031,0,0.451471882
450,-1.327356137,132.3999939,104.8000031,0,-0.823974609
451,-2.353935519,130.5,105.0985031,0,-1.435040773
452,-4.220893287,126,104.5985031,0,-3.448275862
453,-1.642491407,123.9000015,103.3000031,0,-1.666665456
454,-2.777603982,119.3000031,105,0,-3.712670232
455,-3.497679309,114.9000015,105.5985031,0,-3.688182241
456,1.621669743,112.8000031,105.9000015,0,-1.827674888
457,-10.09395938,104.4000015,105.5,9,-7.446809662
458,-3.176429825,102.1999969,104,7,-2.107284047
459,-2.69443308,97.59999847,102.5985031,0,-4.500977115
460,-2.286095945,94.40000153,102.3000031,0,-3.278685449
461,0.022619344,94.09999847,102.9000015,0,-0.317799838
462,-0.239739736,94.30000305,103.0985031,0,0.212544719
463,-0.477853458,94.19999695,102.5,0,-0.106051008
464,-0.021734022,94.19999695,102.6968994,0,0
465,-0.264042087,93.69999695,102.4000015,0,-0.53078558
466,2.711238541,96,103.5985031,0,2.454645813
467,3.718600474,98.59999847,103.5985031,0,2.708331744
468,4.302996131,101.4000015,103.5,0,2.839759731
469,7.246511358,106.9000015,104,0,5.424063035
470,2.014166281,106.9000015,104.0985031,0,0
471,1.845455488,107.4000015,104.3000031,0,0.467726841
472,2.67323498,109.5,105.0985031,0,1.955305814
473,0.377128118,109.6999969,105.4000015,0,0.182645615
474,0.281606691,110,105.5,0,0.273475898
475,0.143388299,110.0999985,106,0,0.090907704
476,0.845440642,111,105.9000015,0,0.817440089
477,-0.363425662,110.5999985,105.6968994,0,-0.360361735
478,-0.003063927,110.5999985,106.1968994,0,0
479,5.964385047,117.1999969,106.3000031,0,5.967448974
480,10.83311123,129.8999939,105.8000031,0,10.83617515
481,1.690556019,132.1000061,106.3000031,0,1.693619946
482,6.052953961,140.1000061,106.0985031,0,6.056017888
483,1.638611799,142.3999939,106.3000031,0,1.641675726
484,-1.337329361,140.5,107,0,-1.334265434
485,1.064551731,142,107.5,0,1.067615658
486,-0.636862446,141.1000061,107.6968994,0,-0.633798519
487,0.351294668,141.6000061,108.5985031,0,0.354358596
488,0.279417626,142,108.6968994,0,0.282481553
489,-0.214333682,141.6999969,108.5985031,0,-0.211269755
490,-0.708780245,140.6999969,109.4000015,0,-0.705716317
491,0.068013618,140.8000031,109.8000031,0,0.071077545
492,-1.210448097,139.1000061,110,0,-1.20738417
493,-1.944122222,136.3999939,111.0985031,0,-1.941058295
494,-6.381361096,127.6999969,111.6968994,0,-6.378297168
495,-2.666894458,126.5,112.0985031,3,-0.93970006
496,-0.525517611,126.5,113,0,0
497,3.89932354,131.6999969,114.1968994,0,4.110669524
498,5.496290758,139.1999969,114.3000031,0,5.694760952
499,0.950769299,140.6000061,114.0985031,0,1.005753726
500,-0.312281505,140.3000031,113.4000015,0,-0.213373427
501,-4.565589407,134,113.5985031,0,-4.490379839
502,-1.791550588,131.6000061,114.9000015,0,-1.791040221
503,-6.374086286,123.0999985,114.9000015,0,-6.458972063
504,-1.122205047,121.6999969,115.4000015,0,-1.137288012
505,0.167187337,137.6000061,117.5985031,23,13.06492157
506,14.25173263,162.3999939,117.4000015,0,18.02324614
507,-0.929433503,162.8000031,117.1968994,0,0.246311065
508,-2.939994194,159.8999939,117.1968994,0,-1.781332372
509,-0.33233514,159.6999969,117.6968994,0,-0.12507627
510,-0.460465642,160,117.8000031,0,0.187854137
511,-0.309984966,160.3999939,118.1968994,0,0.249996185
512,0.272583277,160.8000031,119.3000031,0,0.249382276
513,-5.472191508,150.8999939,120.4000015,0,-6.156721995
514,-2.315890761,147.1999969,122.3000031,0,-2.451953014
515,-15.38849036,120.9000015,122.9000015,0,-17.86684509
516,-0.749945533,117.8000031,122,0,-2.56410127
517,0.362491877,114.4000015,122.3000031,0,-2.886249098
518,2.622898347,114.4000015,121.4000015,0,0
519,-0.876930724,111.6999969,120.9000015,0,-2.36014383
520,0.683480729,111.6999969,121.0985031,0,0
521,-0.658878116,111,121.8000031,0,-0.626675888
522,0.048207925,111,121.9000015,0,0
523,0.099005079,111,121.5985031,0,0
524,-3.4264901,107.1999969,121.6968994,0,-3.423426173
525,0.183507512,107.4000015,121.4000015,0,0.18657144
526,8.004383328,116,122.1968994,0,8.007447255
527,9.738318014,127.3000031,122.3000031,0,9.741381941
528,3.296226605,131.5,121.9000015,0,3.299290532
529,2.7345833,135.1000061,121.8000031,0,2.737647227
530,-0.299147671,134.6999969,122.0985031,0,-0.296083743
531,-0.003063927,134.6999969,122.1968994,0,0
532,-0.300015602,134.3000031,122.4000015,0,-0.296951674
533,-6.034341604,126.1999969,123.1968994,0,-6.031277676
534,-6.104487964,118.5,123.9000015,0,-6.101424037
535,-2.534709497,115.5,123.6968994,0,-2.53164557
536,-0.868864793,114.5,123.5985031,0,-0.865800866
537,-1.749788818,112.5,123.3000031,0,-1.746724891
538,-5.336397261,106.5,124.4000015,0,-5.333333333
539,-2.162691206,104.1999969,124,0,-2.159627279
540,-5.185399872,98.80000305,123.8000031,0,-5.182335945
541,-7.290517728,91.59999847,124.1968994,0,-7.287453801
542,-3.05982754,88.80000305,124.5,0,-3.056763612
543,-0.678746453,88.19999695,124.6968994,0,-0.675682526
544,0.903969043,89,125.5,0,0.90703297
545,0.334018153,89.30000305,125.8000031,0,0.337082081
546,9.179463137,97.5,125.5,0,9.182527064
547,7.176423252,104.5,125.3000031,0,7.179487179
548,-0.003063927,104.5,124.1968994,0,0
