prca,prcw,qtya,qtyw,mon,tues,wed,thurs,speed2,wave2,speed3,wave3,avgprc,totqty,lavgprc,ltotqty,t,lavgp_1,gavgprc,gavgp_1
0.5857143,0.6428571,3620,1153,0,0,0,0,5,3.5,20,4.5,0.5995181,4773,-0.5116291,8.470731,53,-0.2451616,-0.2664675,0.014719
0.4125,0.4483333,2800,6800,1,0,0,0,10,5.5,15,3.5,0.4378819,9600,-0.825806,9.169518,54,-0.5116291,-0.3141769,-0.2664675
0.6,0.7071428,5940,1300,0,1,0,0,10,3.5,30,5.5,0.6192384,7240,-0.479265,8.887377,55,-0.825806,0.346541,-0.3141769
0.7722222,0.87,2320,540,0,0,1,0,10,5,15,5.5,0.7906837,2860,-0.2348572,7.958577,56,-0.479265,0.2444078,0.346541
0.7166667,0.748,3075,2900,0,0,0,1,20,6.5,15,3.5,0.7318745,5975,-0.3121462,8.695339,57,-0.2348572,-0.077289,0.2444078
0.6833333,0.6944444,1120,950,0,0,0,0,25,6.5,25,5,0.6884326,2070,-0.3733379,7.635304,58,-0.3121462,-0.0611917,-0.077289
0.6,0.6388889,1560,2980,1,0,0,0,15,3.5,20,6.5,0.6255262,4540,-0.4691621,8.420682,59,-0.3733379,-0.0958242,-0.0611917
0.5083333,0.6214285,3380,2690,0,1,0,0,15,4,20,4,0.5584529,6070,-0.582585,8.711114,60,-0.4691621,-0.1134229,-0.0958242
0.9166667,1,630,620,0,0,1,0,15,5,20,3.5,0.958,1250,-0.0429075,7.130899,61,-0.582585,0.5396775,-0.1134229
1.083333,1.15625,1500,1305,0,0,0,1,10,5,15,4,1.117257,2805,0.1108766,7.939159,62,-0.0429075,0.1537841,0.5396775
0.6,0.5954546,1460,3050,0,0,0,0,10,8,25,5,0.596926,4510,-0.5159621,8.414052,63,0.1108766,-0.6268386,0.1537841
0.7,1,335,950,1,0,0,0,5,3,18,8,0.9217899,1285,-0.081438,7.158514,64,-0.5159621,0.4345241,-0.6268386
0.74,0.775,1420,410,0,1,0,0,5,7,20,3.5,0.7478415,1830,-0.2905642,7.512071,65,-0.081438,-0.2091262,0.4345241
0.62,0.675,1530,950,0,0,1,0,15,7,10,3,0.6410686,2480,-0.4446189,7.816014,66,-0.2905642,-0.1540547,-0.2091262
0.6117647,0.6153846,4440,4225,0,0,0,1,10,4,25,7,0.6135297,8665,-0.4885265,9.067047,67,-0.4446189,-0.0439077,-0.1540547
0.8071429,0.8416667,1530,340,0,0,0,0,10,5,20,7,0.8134199,1870,-0.2065078,7.533694,68,-0.4885265,0.2820188,-0.0439077
1.15,1.216667,660,480,1,0,0,0,25,8,35,6.5,1.17807,1140,0.1638778,7.038784,69,-0.2065078,0.3703855,0.2820188
0.9,1.333333,360,690,0,1,0,0,10,6.5,35,8,1.184762,1050,0.1695416,6.956545,70,0.1638778,0.0056638,0.3703855
0.8,0.8416667,3440,830,0,0,1,0,10,4,35,8,0.8080992,4270,-0.2130705,8.359369,71,0.1695416,-0.3826121,0.0056638
0.63125,0.64375,3270,5320,0,0,0,1,10,4,15,6.5,0.6389916,8590,-0.447864,9.058354,72,-0.2130705,-0.2347935,-0.3826121
0.5266666,0.5911765,6190,3270,0,0,0,0,10,4,15,4,0.5489655,9460,-0.5997198,9.154828,73,-0.447864,-0.1518558,-0.2347935
0.65,0.6916667,1482,2550,1,0,0,0,10,4,20,4,0.6763517,4032,-0.391042,8.302018,74,-0.5997198,0.2086777,-0.1518558
0.75,0.6166667,200,675,0,1,0,0,10,4,15,4,0.6471429,875,-0.4351882,6.774224,75,-0.391042,-0.0441462,0.2086777
0.5066667,0.5866667,6660,4280,0,0,1,0,10,3,20,4,0.5379647,10940,-0.6199623,9.300181,76,-0.4351882,-0.1847742,-0.0441462
0.65625,0.723,1400,1725,0,0,0,1,10,3,15,4,0.693096,3125,-0.3665868,8.04719,77,-0.6199623,0.2533756,-0.1847742
0.645,0.7571428,3480,990,0,0,0,0,10,3,15,3,0.669837,4470,-0.4007209,8.405144,78,-0.3665868,-0.0341341,0.2533756
0.68125,0.795,2960,1560,1,0,0,0,15,3.5,15,3,0.7205088,4520,-0.3277976,8.416267,79,-0.4007209,0.0729233,-0.0341341
0.65,0.7357143,930,680,0,1,0,0,15,4,25,3,0.6862023,1610,-0.3765828,7.383989,80,-0.3277976,-0.0487852,0.0729233
0.6,0.925,190,180,0,0,1,0,5,4,25,3.5,0.7581081,370,-0.2769292,5.913503,81,-0.3765828,0.0996536,-0.0487852
0.71875,0.75,4820,2350,0,0,0,1,5,3,25,4,0.7289923,7170,-0.316092,8.877661,82,-0.2769292,-0.0391628,0.0996536
0.7807692,0.81875,4750,890,0,0,0,0,10,4,10,4,0.7867627,5640,-0.2398287,8.637639,83,-0.316092,0.0762634,-0.0391628
0.7475,0.7555556,4600,1260,0,1,0,0,10,4,15,4,0.7492321,5860,-0.2887065,8.675905,84,-0.2398287,-0.0488778,0.0762634
0.855,0.9363636,1620,1330,0,0,1,0,10,3,15,4,0.8916826,2950,-0.1146451,7.989561,85,-0.2887065,0.1740614,-0.0488778
0.8533334,0.8657143,3330,2520,0,0,0,1,10,5,15,4,0.8586667,5850,-0.1523744,8.674197,86,-0.1146451,-0.0377293,0.1740614
0.5807692,0.6692308,9120,1660,0,0,0,0,10,5,15,3,0.5943913,10780,-0.5202174,9.285448,87,-0.1523744,-0.367843,-0.0377293
0.60625,0.66,1620,1440,1,0,0,0,10,3.5,18,3,0.6315441,3060,-0.4595875,8.02617,88,-0.5202174,0.0606299,-0.367843
0.5333334,0.6055555,1260,1260,0,1,0,0,10,3,15,3.5,0.5694444,2520,-0.5630941,7.832014,89,-0.4595875,-0.1035066,0.0606299
0.4333333,0.5166667,3420,970,0,0,1,0,10,3,15,3.5,0.4517464,4390,-0.7946344,8.387085,90,-0.5630941,-0.2315403,-0.1035066
0.38,0.475,4890,2050,0,0,0,1,10,3,15,3,0.408062,6940,-0.8963363,8.845057,91,-0.7946344,-0.1017019,-0.2315403
0.3088235,0.3375,5700,900,0,0,0,0,10,3.5,15,3,0.3127339,6600,-1.162403,8.794825,92,-0.8963363,-0.2660663,-0.1017019
0.3208333,0.64375,2290,1160,1,0,0,0,15,4.5,15,3.5,0.4294082,3450,-0.8453473,8.14613,93,-1.162403,0.3170552,-0.2660663
0.875,0.9333333,540,690,0,1,0,0,12,4.5,25,4,0.9077235,1230,-0.0968154,7.114769,94,-0.8453473,0.7485319,0.3170552
1.235714,1.25,1000,250,0,0,1,0,12,5,25,4.5,1.238571,1250,0.2139584,7.130899,95,-0.0968154,0.3107738,0.7485319
1.25,1.25,2500,1480,0,0,0,1,15,6,18,4.5,1.25,3980,0.2231435,8.289037,96,0.2139584,0.0091851,0.3107738
1.73,1.708333,3040,740,0,0,0,0,15,9,20,5,1.725758,3780,0.5456666,8.237479,97,0.2231435,0.322523,0.0091851
