year,educ,meduc,feduc,age,agesq,kids,black,east,northcen,west,farm,othrural,town,smcity,y74,y76,y78,y80,y82,y84
72,12,12,12,53,2809,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72,12,9,14,45,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,12,6,10,51,2601,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,13,0,0,46,2116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,8,8,8,36,1296,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,9,6,6,50,2500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,8,0,0,50,2500,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,12,6,8,44,1936,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,12,8,8,42,1764,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,16,12,13,42,1764,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,15,10,12,53,2809,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,12,14,12,36,1296,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72,11,7,7,42,1764,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,16,8,13,40,1600,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72,12,7,8,52,2704,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,12,8,6,43,1849,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,14,4,8,36,1296,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,14,7,12,48,2304,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0
72,7,3,6,49,2401,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
72,12,8,8,41,1681,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
72,12,8,16,47,2209,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,12,12,12,48,2304,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,12,11,9,47,2209,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,12,12,9,36,1296,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,8,4,8,44,1936,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,9,7,7,46,2116,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,14,8,8,46,2116,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,8,0,0,50,2500,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,9,3,8,45,2025,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,12,8,8,43,1849,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,12,8,7,53,2809,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
72,12,9,11,35,1225,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,14,8,12,51,2601,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,11,6,9,45,2025,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,14,12,12,44,1936,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,14,12,14,49,2401,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,14,9,12,38,1444,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
72,16,8,10,51,2601,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72,16,12,12,53,2809,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,12,12,12,49,2401,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,12,6,7,46,2116,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,12,8,13,48,2304,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
72,12,13,8,43,1849,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
72,13,3,12,49,2401,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
72,12,5,6,36,1296,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,15,12,9,36,1296,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,12,10,10,35,1225,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,15,16,16,42,1764,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
72,9,8,8,54,2916,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72,12,12,8,45,2025,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
72,8,0,0,53,2809,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72,15,16,16,48,2304,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,12,8,8,53,2809,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,12,3,2,41,1681,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72,12,6,4,51,2601,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72,12,8,8,54,2916,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,8,2,2,44,1936,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72,12,4,7,35,1225,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72,8,0,0,42,1764,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72,10,12,9,51,2601,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,12,14,10,38,1444,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72,12,6,8,51,2601,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,11,7,7,49,2401,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,12,10,12,39,1521,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72,12,12,16,53,2809,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,12,7,12,50,2500,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72,11,8,10,36,1296,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
72,12,9,12,36,1296,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72,13,12,12,41,1681,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,12,12,12,43,1849,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,12,12,13,43,1849,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,18,10,12,52,2704,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72,19,14,8,47,2209,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,16,20,15,44,1936,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,16,16,14,35,1225,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,12,8,4,51,2601,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,12,8,12,46,2116,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,6,0,0,54,2916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,12,8,8,43,1849,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,13,13,12,47,2209,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,12,8,12,36,1296,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
72,12,8,13,42,1764,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,8,8,8,49,2401,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,11,7,8,54,2916,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72,12,4,7,46,2116,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,10,7,7,50,2500,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,13,11,14,48,2304,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,14,10,10,53,2809,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,12,5,4,38,1444,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,15,16,12,44,1936,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,8,12,6,48,2304,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,9,0,3,37,1369,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0
72,11,5,8,46,2116,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,12,9,7,48,2304,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,13,11,12,41,1681,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72,16,6,8,49,2401,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,12,9,6,38,1444,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72,12,10,8,44,1936,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,12,8,6,47,2209,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
72,10,8,8,42,1764,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,12,12,12,51,2601,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,13,12,13,48,2304,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,12,8,6,44,1936,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,15,8,11,37,1369,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72,10,0,4,47,2209,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,12,3,7,39,1521,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,10,6,6,46,2116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,16,6,6,50,2500,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,16,8,16,35,1225,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,12,10,8,48,2304,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,12,0,0,51,2601,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,10,8,8,42,1764,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,11,9,14,42,1764,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,16,12,12,45,2025,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,16,12,6,36,1296,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,12,8,8,41,1681,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,12,10,12,39,1521,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,13,12,8,46,2116,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,11,12,9,48,2304,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,12,8,8,38,1444,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,14,12,10,44,1936,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0
72,12,16,13,47,2209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,16,12,12,49,2401,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72,12,6,6,42,1764,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,12,10,11,54,2916,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,13,6,11,35,1225,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,12,12,9,48,2304,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0
74,12,4,4,50,2500,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,15,17,8,52,2704,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,12,12,11,40,1600,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0
74,8,7,8,52,2704,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
74,11,3,8,52,2704,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0
74,16,8,12,44,1936,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0
74,12,6,12,53,2809,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,15,12,11,42,1764,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0
74,15,9,9,43,1849,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
74,13,3,10,39,1521,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
74,12,4,5,53,2809,5,0,0,0,1,0,0,1,0,1,0,0,0,0,0
74,20,8,9,43,1849,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,13,8,12,42,1764,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0
74,13,8,8,54,2916,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0
74,15,18,12,38,1444,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0
74,11,9,9,41,1681,4,1,0,0,1,0,0,0,1,1,0,0,0,0,0
74,16,12,13,43,1849,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,14,16,12,46,2116,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,12,8,8,54,2916,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0
74,9,4,8,45,2025,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0
74,13,9,9,38,1444,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,12,7,12,44,1936,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0
74,9,4,4,50,2500,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,12,12,12,39,1521,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,12,8,8,52,2704,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
74,12,12,16,52,2704,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0
74,12,0,6,49,2401,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
74,13,14,13,47,2209,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,12,12,10,39,1521,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0
74,12,8,8,42,1764,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,7,5,9,45,2025,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,14,16,12,40,1600,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,10,6,3,54,2916,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0
74,12,9,9,46,2116,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,12,0,0,52,2704,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0
74,18,9,11,44,1936,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0
74,13,7,8,42,1764,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,12,5,12,53,2809,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,12,7,7,39,1521,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,17,14,16,54,2916,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,12,12,12,38,1444,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,14,15,12,51,2601,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,14,12,10,44,1936,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,17,16,10,47,2209,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,12,12,8,53,2809,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,12,8,4,51,2601,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,13,6,8,49,2401,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,14,8,8,54,2916,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,12,12,12,36,1296,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,10,6,6,42,1764,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0
74,11,10,10,40,1600,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0
74,12,12,16,38,1444,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,15,6,6,48,2304,6,1,0,1,0,0,0,0,1,1,0,0,0,0,0
74,12,12,10,43,1849,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
74,12,12,12,51,2601,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
74,12,14,12,38,1444,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,13,11,12,37,1369,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0
74,16,14,12,40,1600,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,12,6,0,50,2500,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0
74,12,7,7,54,2916,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
74,13,13,5,51,2601,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,12,12,14,41,1681,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,12,8,8,48,2304,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,15,4,8,40,1600,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0
74,12,4,4,46,2116,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,12,8,8,39,1521,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0
74,8,8,8,35,1225,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,12,12,11,37,1369,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,12,8,8,53,2809,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0
74,12,8,8,40,1600,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0
74,12,11,12,35,1225,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0
74,10,12,8,47,2209,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0
74,10,8,8,44,1936,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0
74,12,5,12,36,1296,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,17,14,13,47,2209,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,8,8,8,51,2601,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
74,12,8,12,49,2401,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,12,2,3,52,2704,5,0,0,0,1,0,0,1,0,1,0,0,0,0,0
74,12,6,8,42,1764,6,0,0,0,1,0,0,1,0,1,0,0,0,0,0
74,16,11,12,37,1369,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0
74,12,8,8,40,1600,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0
74,12,12,12,48,2304,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0
74,18,18,15,36,1296,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0
74,17,15,9,44,1936,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0
74,10,8,5,46,2116,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,10,6,10,42,1764,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,12,0,0,53,2809,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
74,12,8,8,38,1444,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,17,8,12,38,1444,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,13,16,12,40,1600,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,18,9,10,46,2116,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,12,12,12,48,2304,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0
74,12,10,14,35,1225,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,16,20,12,52,2704,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,12,16,12,51,2601,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,16,12,16,41,1681,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0
74,12,12,8,36,1296,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0
74,10,8,10,37,1369,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,16,19,7,40,1600,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0
74,8,6,8,39,1521,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,12,11,10,38,1444,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
74,11,6,7,38,1444,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,10,4,7,43,1849,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,12,7,12,44,1936,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,10,8,8,51,2601,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,12,8,12,47,2209,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0
74,11,8,8,44,1936,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0
74,12,8,8,45,2025,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,12,13,12,41,1681,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
74,16,12,15,47,2209,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,12,8,11,36,1296,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0
74,12,3,8,54,2916,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
74,13,10,8,46,2116,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,12,8,8,48,2304,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0
74,12,6,10,39,1521,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0
74,7,8,8,50,2500,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0
74,12,12,8,38,1444,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,14,6,6,37,1369,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,12,5,8,42,1764,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,12,8,11,35,1225,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,12,12,15,42,1764,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0
74,13,8,12,37,1369,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0
74,10,5,5,36,1296,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0
74,12,8,11,42,1764,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,12,8,8,44,1936,6,0,1,0,0,0,0,1,0,1,0,0,0,0,0
74,12,12,8,53,2809,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
74,12,8,8,54,2916,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0
74,12,4,5,42,1764,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0
74,12,12,8,44,1936,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0
74,12,11,12,41,1681,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,15,10,11,42,1764,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,12,3,9,41,1681,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0
74,16,16,16,37,1369,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0
74,12,8,10,36,1296,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0
74,4,8,8,35,1225,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0
74,10,10,10,48,2304,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,8,8,7,46,2116,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,10,3,8,53,2809,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,12,9,8,45,2025,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,12,8,8,50,2500,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,8,9,2,43,1849,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,16,16,16,48,2304,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0
74,14,12,14,37,1369,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,12,12,13,42,1764,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,13,16,11,35,1225,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,5,0,0,51,2601,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,12,3,5,38,1444,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,12,6,6,37,1369,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,16,4,4,52,2704,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,14,9,12,53,2809,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,7,4,0,37,1369,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,10,0,0,50,2500,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,12,7,12,39,1521,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0
74,8,8,10,40,1600,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,10,12,11,43,1849,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0
74,6,3,5,44,1936,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
74,17,12,13,46,2116,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,12,10,12,54,2916,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0
74,12,12,14,35,1225,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,11,8,8,44,1936,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
74,12,6,9,45,2025,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
74,12,8,8,46,2116,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,12,8,8,38,1444,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0
